brd4_unstim	brd4_2	brd4_24	h3k27ac_unstim	h3k27ac_2h	h3k27ac_24h	rna_unstim	rna_2h	rna_24h	brd4_log2_2_v_0	brd4_log2_24_v_0	h3k27ac_log2_2_v_0	h3k27ac_log2_24_v_0	rna_log2_2_v_0	rna_log2_24_v_0
Emc2	308.30165	95.1303	383.31915	570.98455	763.5565	550.38515	27.213468253299	23.3764062458691	38.9047009678924	-1.6963657777056	0.314203464004587	0.419283205478974	-0.0530101638582199	-0.219267679029896	0.515623656456475
Crmp1	28.1792	10.47285	44.5961	75.8574	355.03905	163.9174	0.550341727262379	1.3639835413866	2.04306223233956	-1.42797655498634	0.662286895181912	2.22661588288895	1.11160717666805	1.30942661208594	1.89233352571089
Rab5a	155.8123	70.67935	154.65975	340.74985	486.71875	450.5536	34.2117566911157	47.3666163047044	46.6197238356914	-1.14044844850863	-0.0107113397652334	0.514375331075845	0.402985724166859	0.469378429904946	0.446448273389764
Tpd52l1	125.4656	56.9792	180.9136	154.4192	474.0688	309.3952	1.92948419069222	0.823920214574815	3.73028008034356	-1.138784590912	0.528009003115452	1.61824430382043	1.00259867084532	-1.22763867918171	0.951068733165737
Ndufa10l1	42.4873	19.75875	70.7004	63.68305	248.0741	77.90935	11.9607849300089	8.54343601367676	13.8476117396125	-1.10453998516789	0.734686711759332	1.96178978127318	0.290887045183465	-0.485423752705243	0.211325110064619
Itgbl1	7188.7566	3420.97255	4744.5081	16751.93165	2948.4528	10403.33745	114.075992437051	103.15872645479	32.9943289251323	-1.0713357292358	-0.599483737553035	-2.50629745679131	-0.687281033595456	-0.145129337410513	-1.78970522493243
Gemin8	735.7096	355.6208	706.8016	2050.6456	1612.0536	1775.6608	18.1890382795006	11.266157587169	20.9892261396639	-1.04879670785842	-0.0578311109207146	-0.347178468004651	-0.207722167961993	-0.691073707723305	0.20657971181833
Leprot	5097.99715	2477.6474	3869.4421	12637.0353	9804.09775	8626.07185	49.9873079248227	36.2127485097479	58.9054832937469	-1.04095967816932	-0.397804994669913	-0.366201267551427	-0.550882403054247	-0.465064152505906	0.236840102935568
Pik3r4	428.19005	219.84915	582.55755	1247.1563	1948.7931	1356.8226	7.67694721756759	3.69853386629426	11.9643454896338	-0.961737317022577	0.444149306809294	0.643938647871078	0.121589823141109	-1.05357924281731	0.640136842226736
Snap91	45.1668	23.1952	19.817	56.8442	217.6944	63.2016	0.133334613183511	0.778969583908925	0.170786474503858	-0.961436418776112	-1.18852412820351	1.93721923708552	0.152947928140954	2.54651564962887	0.357142377267191
Tusc3	788.7354	415.753	897.8487	2243.6756	4497.6613	2345.1382	27.5901993551718	36.5809937678596	79.5984621502683	-0.923814721346456	0.186930956129501	1.00331092175318	0.0638088437402047	0.406938387174783	1.52858467699889
Ubqln2	516.0189	278.4985	759.423	2157.3559	2911.0312	2526.7983	11.6264903429183	11.7714107449234	20.6574975464274	-0.889754350386474	0.557479785718646	0.432266103934772	0.228046308503208	0.0178715704559598	0.829249836315081
Fancb	85.3736	46.18185	53.0653	80.83665	88.06695	155.7637	3.80551298529949	3.14295047278651	1.77856444028639	-0.886464048314866	-0.686021240810108	0.123591166900325	0.946277618774302	-0.275971404892037	-1.09737769640624
Lamp2	743.49495	405.44455	867.20205	2692.8481	2680.42115	2971.2712	148.531370695115	150.246651681549	227.85584913733	-0.874818323206249	0.222045223945164	-0.00667315567821625	0.141947440208327	0.0165651712983754	0.617353736662327
