GENE	test_TSS_SIGNAL	test_DISTAL_SIGNAL	regionID
2178	Emc2	146.3855	0	1_RASMC_H3K27AC_PDGF_2H_REP2_23481_lociStitched_1,1_RASMC_H3K27AC_PDGF_2H_REP2_23481_lociStitched_1
1538	Crmp1	20.9457	0	1_RASMC_H3K27AC_PDGF_2H_REP2_8620_lociStitched_1,1_RASMC_H3K27AC_PDGF_2H_REP2_8620_lociStitched_1
6213	Rab5a	99.68	0	1_RASMC_H3K27AC_PDGF_2H_REP2_8596_lociStitched_1,1_RASMC_H3K27AC_PDGF_2H_REP2_8596_lociStitched_1
8089	Tpd52l1	86.9536	0	1_RASMC_H3K27AC_PDGF_2H_REP2_203_lociStitched_1,1_RASMC_H3K27AC_PDGF_2H_REP2_203_lociStitched_1
4721	Ndufa10l1	20.7407	0	1_RASMC_H3K27AC_PDGF_2H_REP2_21894_lociStitched_1,1_RASMC_H3K27AC_PDGF_2H_REP2_21894_lociStitched_1
3491	Itgbl1	366.7418	3908.2415	1_RASMC_H3K27AC_UNSTIM_NEW_11099_lociStitched_1,1_RASMC_H3K27AC_UNSTIM_NEW_11099_lociStitched_1,8_RASMC_H3K27AC_PDGF_24H_REP2_6768_lociStitched_1,8_RASMC_H3K27AC_PDGF_24H_REP2_6768_lociStitched_2,1_RASMC_H3K27AC_UNSTIM_NEW_11101_lociStitched,4_RASMC_H3K27AC_UNSTIM_REP1_4756_lociStitched
2774	Gemin8	360.6	144.128	5_RASMC_H3K27AC_UNSTIM_NEW_32665_lociStitched_1,5_RASMC_H3K27AC_UNSTIM_NEW_32665_lociStitched_1,5_RASMC_H3K27AC_UNSTIM_NEW_32665_lociStitched_2,5_RASMC_H3K27AC_UNSTIM_NEW_32665_lociStitched_3
3833	Leprot	555.8	2381.1477	3_RASMC_H3K27AC_PDGF_24H_NEW_23227_lociStitched,3_RASMC_H3K27AC_PDGF_24H_NEW_23227_lociStitched,3_RASMC_H3K27AC_PDGF_24H_NEW_23228_lociStitched,6_RASMC_H3K27AC_PDGF_24H_REP2_13854_lociStitched_1,6_RASMC_H3K27AC_PDGF_24H_REP2_13854_lociStitched_2,6_RASMC_H3K27AC_PDGF_24H_REP2_13854_lociStitched_3,5_RASMC_H3K27AC_PDGF_24H_NEW_23226_lociStitched
5470	Pik3r4	330.336	30.107	4_RASMC_H3K27AC_PDGF_24H_NEW_29260_lociStitched_1,4_RASMC_H3K27AC_PDGF_24H_NEW_29260_lociStitched_1,4_RASMC_H3K27AC_PDGF_24H_NEW_29260_lociStitched_2
7251	Snap91	46.3904	0	1_RASMC_H3K27AC_PDGF_2H_REP2_25347_lociStitched_1,1_RASMC_H3K27AC_PDGF_2H_REP2_25347_lociStitched_1
8298	Tusc3	494.4	102.7392	5_RASMC_H3K27AC_PDGF_24H_REP2_7119_lociStitched_1,5_RASMC_H3K27AC_PDGF_24H_REP2_7119_lociStitched_1,5_RASMC_H3K27AC_PDGF_24H_REP2_7119_lociStitched_2,5_RASMC_H3K27AC_PDGF_24H_REP2_7119_lociStitched_3
8389	Ubqln2	330.6	54.0038	6_RASMC_H3K27AC_PDGF_24H_REP2_18678_lociStitched_1,6_RASMC_H3K27AC_PDGF_24H_REP2_18678_lociStitched_1,6_RASMC_H3K27AC_PDGF_24H_REP2_18678_lociStitched_2,6_RASMC_H3K27AC_PDGF_24H_REP2_18678_lociStitched_3
2454	Fancb	13.334	71.9202	4_RASMC_H3K27AC_PDGF_24H_NEW_31161_lociStitched_1,4_RASMC_H3K27AC_PDGF_24H_NEW_31161_lociStitched_1,4_RASMC_H3K27AC_PDGF_24H_NEW_31161_lociStitched_2,4_RASMC_H3K27AC_PDGF_24H_NEW_31161_lociStitched_4
3789	Lamp2	220.2	327.1087	5_RASMC_H3K27AC_PDGF_2H_NEW_30822_lociStitched,5_RASMC_H3K27AC_PDGF_2H_NEW_30822_lociStitched,5_RASMC_H3K27AC_PDGF_2H_NEW_30821_lociStitched_1,5_RASMC_H3K27AC_PDGF_2H_NEW_30821_lociStitched_2,5_RASMC_H3K27AC_PDGF_2H_NEW_30821_lociStitched_3
