brd4_unstim	brd4_2	brd4_24	h3k27ac_unstim	h3k27ac_2h	h3k27ac_24h	rna_unstim	rna_2h	rna_24h	brd4_log2_2_v_24	h3k27ac_log2_2_v_24	rna_log2_2_v_24
Myct1	1005.0259	2083.2264	692.081	2138.6313	2796.7825	1035.6901	3.46459472900047	5.81895204949698	5.40104858556801	-1.58980683303663	-1.43317567950215	-0.107519831523554
Phex	244.56675	561.10155	186.61845	665.78235	639.716	219.5389	0.38176201209671	1.02530335881607	0.619848525639448	-1.58817027311749	-1.54295497419958	-0.726063218628497
Lrrc7	2551.4393	3658.4503	1444.1981	4098.11765	9509.7991	2215.41135	0.119971456028734	0.140647655925128	0.806082678674271	-1.34096401037002	-2.10184026530978	2.51884231290203
Ptgs2	4744.5534	9157.93035	4094.2364	7489.2052	11567.6952	6540.1577	2.8781718908734	129.595081772542	16.3099902956211	-1.16142718718508	-0.822704115643456	-2.99018313917211
Ndufa8	100.00485	146.63715	66.81125	83.6308	24.5685	59.7608	72.3284530486118	72.1434832472813	123.159740608089	-1.13408769522704	1.2823896827934	0.771589747543699
Klhl41	1463.372	2854.5296	1320.1529	1523.0058	3258.8392	1450.0129	1.32769242410699	9.18328816654785	0.745428144229383	-1.11254799033283	-1.16829243213672	-3.62286962197531
Postn	3962.67145	6065.7078	2991.49035	8908.1532	12528.9221	6454.3675	257.1622909121	531.490996555607	1273.28620320653	-1.01981159235222	-0.9569146709833	1.26043957995044
RGD1566265	931.8786	1502.5904	768.3278	3324.229	4391.8523	2010.6384	14.4819654539569	16.311651088175	28.942238774176	-0.967657930088677	-1.1271758908422	0.827273702179521
Tmx4	3073.21515	4640.10715	2456.01655	8191.48705	9166.50225	5416.8321	20.3760560896018	39.5863243944772	30.4476942659844	-0.91783783823295	-0.758921962108035	-0.378669138510917
Aig1	5462.79235	8610.6983	4654.2096	9098.18245	15582.65035	6124.7709	16.3767667352821	25.1115773864589	67.3309376873512	-0.887594057049194	-1.34721284719742	1.42291690222515
Spry2	4920.9762	11340.56045	6135.32245	16539.9986	46002.54235	19797.0575	20.2486299520963	272.250683296048	70.0970238174966	-0.886280866224949	-1.21642758066667	-1.95751057318983
Serpinb9	3302.09605	6149.3107	3383.3652	9364.02245	10077.6595	7573.79945	70.9432730445102	94.0315737402807	87.6679275744581	-0.861965792400452	-0.412071491952631	-0.10109611970709
Nov	6320.3148	7470.1296	4126.3586	17275.3186	11593.2428	9975.6758	866.63589594119	877.358642747031	244.499759638746	-0.85626406901959	-0.216797680928291	-1.84333365477
Lmcd1	15636.9453	20418.9663	11298.738	53500.33485	42045.55175	24209.7364	279.821322550324	960.450617923763	213.537538468026	-0.853748190928695	-0.796365806132977	-2.16922173061059
