PDGF_2H_LOW	PDGF_2H_MEAN	PDGF_2H_HIGH	PDGF_24H_LOW	PDGF_24H_MEAN	PDGF_24H_HIGH
NFIA	-0.0655890401775573	-0.0500951945709448	-0.0354509684887592	0.0862358517947498	0.0977956086332666	0.110180531967725
BTD	-0.0573960578094888	-0.0493217852201906	-0.0421783447220889	0.123957232781819	0.12895248192359	0.133845461234145
NFIX	-0.060776914497361	-0.0467860578685752	-0.0329220632660043	0.0844268943948055	0.0950065869064287	0.106586232805319
TEAD3	-0.0447040136834404	-0.0329401084938696	-0.022021706410419	-0.161892385116866	-0.150993315022932	-0.139621646459662
E2F3	-0.0372223453358059	-0.0304018025871008	-0.0230754259610796	0.101001738916061	0.106371344352681	0.11143304737376
KLF16	-0.0315115379704801	-0.0250879622581955	-0.0184633299500768	0.1206608613925	0.125085216009062	0.129203511148908
CHD2	-0.0304699989069123	-0.0240396121383694	-0.0172179114468697	0.126512091535238	0.130791828738005	0.135185640418905
E2F6	-0.0318442782548012	-0.0234489894849055	-0.0151176597689666	0.102236823539403	0.10820931887683	0.113868806903339
MAZ	-0.0258607614001676	-0.0209055836219296	-0.0164799988723096	0.11285574158812	0.116235719064134	0.119706857112572
TEAD1	-0.0255436521748831	-0.0156537721568158	-0.00527806532251373	-0.146610444187726	-0.137317239011233	-0.127417530906674
KLF13	-0.0254516388318226	-0.0114046693031249	0.0030280085679921	0.0814110275740733	0.0925093313793899	0.104200070997609
TFAP2A	-0.0166644334319818	-0.0101928943874631	-0.00401581276459418	0.133858301498094	0.138377298679438	0.143010838408511
ZFP281	-0.0141686151365173	-0.0088072228572696	-0.00390474197466508	0.107756435710017	0.111443484273431	0.115248895192051
SP1	-0.0109770736926079	-0.00755665519161859	-0.00427663017206703	0.113342708736444	0.115643974916766	0.117936634648813
SMAD6	-0.022017717484174	-0.0062053015081751	0.00954964004349573	0.115925670332378	0.128393322042546	0.139609042968314
CTCF	0.00177764058055536	0.0056168657238336	0.00961637073347713	0.092341934558612	0.0954204439955733	0.0984269722470702
MLX	-0.0125516714172154	0.0112268565364661	0.0348852414890345	0.0487875276437531	0.0670455480859681	0.0836805821933522
EGR3	0.00286174253205594	0.0123059513904352	0.0215141769863784	0.0972024946433826	0.104233375453576	0.110448939498354
SMAD3	0.00663773149388092	0.0126084638713767	0.0187391525617554	0.0474075430850337	0.052202982376244	0.0572247034586075
KLF3	0.00361605541267034	0.0130085135136062	0.0238238197423013	0.116816669661872	0.123551602932443	0.130817128562996
NOTCH1	0.000638173153354194	0.0144387847196201	0.0279460149104364	-0.0361612769936967	-0.0238625349075277	-0.0111809726987612
TEF	0.00595816739455694	0.0147901400414745	0.023978414399371	-0.147252329429646	-0.138656810286449	-0.129936090401733
RFX5	0.00789028336469325	0.0148481834484063	0.0221354563294557	0.0307698081380216	0.0370016664401444	0.0432251010099615
ID1	0.00516618023874226	0.0155601520046922	0.0261989176353039	-0.0635611490407184	-0.0539181246143718	-0.0431363805456751
YY1	0.0120977354130698	0.0160656992444696	0.0200042974480949	0.0776685515471285	0.0806721047097551	0.0838692740378173
RARA	0.00871211685545797	0.016145075213055	0.0237663425439991	0.0303024552675518	0.0362577307376141	0.0421467148821653
CREB3L2	0.00117652573759652	0.0179622698987099	0.0338708620373267	0.0675775547740445	0.0792884250109364	0.0913334681264725
RARG	0.00922763968229887	0.018420771377882	0.0277926852333982	0.0261518513074316	0.0337834507724548	0.0416410062636646
DEAF1	0.00756725335417492	0.0191431721471457	0.0308767442369751	0.0808904000145593	0.0883821958859306	0.0963027999403029
HSF2	0.00784555911992726	0.0199484518424849	0.03237369327392	-0.0955326602088815	-0.0842431247004182	-0.0737729009572463
IRF3	0.0133703221177635	0.0209623395004721	0.0291975511104036	-0.00752365284605896	-0.00140657838194036	0.0057701776498134
RELA	0.0160424318001013	0.0213503080199594	0.0264131698293751	0.0438602076477881	0.0488284915979875	0.0534765137647486
NFKB2	0.0104755851282901	0.0226692545696302	0.0350020187987886	0.045481552983906	0.0554386700509141	0.0655835366765465
AHR	0.00961776611515283	0.0232552407995816	0.0361833627962648	0.0893131964926898	0.0986023609163049	0.109277693857403
STAT3	0.0199571752176914	0.0236556755407858	0.0274900094037771	0.0458846845113065	0.0490298411182016	0.0522927477052731
NR2F6	0.0106280684750524	0.0243881564167989	0.0382965882379858	0.00713438939143975	0.0176569653570674	0.0288539990945155
TCF3	0.0191236156497601	0.0254220274680896	0.031711330046525	-0.0104257438650781	-0.00456468149561229	0.00104392404699867
DBP	0.0160398065785008	0.0275308298113238	0.0392399176516416	-0.118486456397122	-0.107622237576476	-0.096464227407713
FOXO1	0.0213661643102377	0.0275555764466262	0.0332562019715279	-0.0803698736509831	-0.0749487316273257	-0.0695636439945874
EGR2	0.0211269779874231	0.0285010494733263	0.0350994882021383	0.0760375867531752	0.0813364265281832	0.0871709125986154
ZBTB7A	0.012627146465286	0.02854109265856	0.0454149790314822	0.0899527418607835	0.102828374521169	0.115719470404847
