PDGF_2H_LOW	PDGF_2H_MEAN	PDGF_2H_HIGH	PDGF_24H_LOW	PDGF_24H_MEAN	PDGF_24H_HIGH
BTD	-0.0567666568757756	-0.0494348635150344	-0.0415188139071344	0.123617853605502	0.129071449584295	0.133690699387447
NFIA	-0.065090165636699	-0.0502366806664998	-0.0356372879136457	0.0858969375097319	0.0982299915083562	0.109949395535151
NFIX	-0.0596798200892247	-0.0463702811805041	-0.0325398624009412	0.0841210514284146	0.0951575021198731	0.106127139121423
E2F3	-0.036613645657914	-0.0300581783834739	-0.0227335343187822	0.101722834175889	0.106433831267107	0.111481642258651
TEAD3	-0.0444888200342239	-0.0331084459134681	-0.0210237831761511	-0.162190058810306	-0.151006311386794	-0.140060414433849
KLF16	-0.0317854709359184	-0.0248896544868114	-0.0186664268225996	0.120683689813074	0.124980955894134	0.129267540400848
CHD2	-0.0305674330043223	-0.0237988222529106	-0.0169733412844065	0.126285483754385	0.130689695611271	0.135084266251995
E2F6	-0.0318717539065203	-0.0237749956841918	-0.0158324288474013	0.102260123548953	0.107999978341784	0.114201253544531
MAZ	-0.0255885810052314	-0.0207215365823164	-0.0157967578276122	0.112608981172894	0.116200711100417	0.119514327468667
TEAD1	-0.0257584431627492	-0.0154543750062999	-0.0062643987497828	-0.14652475607389	-0.137161161473761	-0.127693688078289
SP1	-0.0109851516700969	-0.00750339952727266	-0.00401563350906544	0.113232203353236	0.115573261132579	0.118162257538122
ZFP281	-0.0140937640988174	-0.00912196694060336	-0.00383952643691606	0.107761573218731	0.111244882029009	0.114800510194867
TFAP2A	-0.0166328154218664	-0.0103064408417268	-0.0036435765456212	0.133810633422319	0.138158325824907	0.142948625524317
KLF13	-0.0253615727992493	-0.0114697550422755	0.0026454773634907	0.0801132155371333	0.0924924970216918	0.103187901930599
SMAD6	-0.0228072828432513	-0.00638088728608865	0.00832151136798397	0.115599800893801	0.127485867857846	0.138934825775166
CTCF	0.00162464486963431	0.00560090985431329	0.00982965043386148	0.0923677585532407	0.0953655248597959	0.0985984888037483
