TF	24_V_0_GAINED	24_V_0_LOST	2_V_0_GAINED	2_V_0_LOST
NFIA	0	0	0	1
BTD	1	0	0	0
NFIX	1	0	0	1
CHD2	0	1	0	0
E2F6	0	0	1	0
KLF13	0	0	0	1
ZFP281	1	0	0	0
SP1	0	0	0	1
NOTCH1	1	0	0	0
TEF	1	0	0	0
RARA	1	0	0	0
RARG	1	0	0	0
HSF2	0	1	0	0
NFKB2	0	0	1	0
AHR	0	1	1	0
DBP	1	0	0	0
FOXO1	0	0	1	0
ZBTB7A	1	0	0	0
HMGA2	0	0	1	0
THRB	0	0	0	1
RXRA	1	0	0	1
ZFPM1	1	0	0	0
NR2F2	0	0	0	1
ZFP91	0	1	0	0
ETS1	0	0	1	0
ARNTL	1	0	0	0
GATA2	1	0	0	0
STAT6	1	0	0	0
IRF1	1	0	0	0
ATF6	0	0	1	0
RUNX1	1	0	1	0
BCL6	1	0	0	0
CEBPB	1	0	0	0
SOX4	0	0	0	1
TGIF1	1	0	1	0
ELK3	0	0	1	0
TBX2	1	0	0	0
MAFG	1	0	1	0
NFIL3	1	0	0	0
PRRX2	1	0	0	0
OSR1	0	1	0	1
ATF4	0	0	1	0
SOX9	1	0	1	0
HEY2	0	1	0	0
HOXA2	0	0	0	1
MYC	0	0	1	0
JUND	1	0	0	0
JUN	1	0	0	0
JUNB	0	0	1	0
FOSL1	0	0	1	0
