GENE	BRD4_DELTA_IN_2HR	BRD4_DELTA_IN_24HR	BRD4_DELTA_OUT_2HR	BRD4_DELTA_OUT_24HR	EXP_DELTA_IN_2HR	EXP_DELTA_IN_24HR	EXP_DELTA_OUT_2HR	EXP_DELTA_OUT_24HR
NFIA	-0.2613	-0.318	-0.0501	0.0978	-0.3798	0.4126	0.2516	0.5764
BTD	-0.1646	0.3039	-0.0493	0.129	-0.2468	0.5714	0.2464	0.592
NFIX	-0.3014	0.3078	-0.0468	0.095	-0.0227	0.6954	0.2382	0.5696
TEAD3	0.257	0.0983	-0.0329	-0.151	0.1323	-0.5893	0.2312	0.5677
E2F3	0.0368	-0.0356	-0.0304	0.1064	1.4668	0.9248	0.2376	0.5752
KLF16	0.0915	0.1481	-0.0251	0.1251	1.2828	0.2424	0.2354	0.5725
CHD2	-0.103	-0.3186	-0.024	0.1308	-0.6322	0.1176	0.2285	0.5737
E2F6	0.0491	-0.3375	-0.0234	0.1082	0.9711	0.0985	0.2408	0.5779
MAZ	-0.015	0.2034	-0.0209	0.1162	0.0423	0.2445	0.2332	0.5689
TEAD1	0.294	0.1747	-0.0157	-0.1373	0.0537	-0.2206	0.2266	0.5625
KLF13	-0.3429	-0.0305	-0.0114	0.0925	1.4725	0.082	0.2705	0.5947
TFAP2A	0.1173	0.0593	-0.0102	0.1384	1.0781	1.3939	0.2351	0.5701
ZFP281	0.1963	0.4264	-0.0088	0.1114	1.6379	0.2475	0.2344	0.5689
SP1	-0.301	0.0259	-0.0076	0.1156	0.4243	0.1893	0.2315	0.5685
SMAD6	-0.1502	0.0518	-0.0062	0.1284	-4.0468	0.07	0.2479	0.6019
CTCF	0.0775	-0.1209	0.0056	0.0954	-0.214	0.1976	0.2316	0.5687
MLX	-0.1257	0.2261	0.0112	0.067	0.5752	0.9973	0.1943	0.5785
EGR3	0.3395	0.0818	0.0123	0.1042	5.3044	-0.3274	0.2522	0.585
SMAD3	0.1027	-0.0053	0.0126	0.0522	0.3577	0.5108	0.2325	0.5699
KLF3	0.0296	-0.1606	0.013	0.1236	-0.7052	0.0701	0.2438	0.5776
NOTCH1	0.2425	0.2791	0.0144	-0.0239	3.7619	1.8133	0.2381	0.5842
TEF	-0.0897	0.1089	0.0148	-0.1387	-0.9401	0.7264	0.2385	0.5715
RFX5	-0.1615	-0.3186	0.0148	0.037	-0.8536	0.1875	0.2338	0.5684
ID1	-0.0295	0.092	0.0156	-0.0539	-1.1776	-0.6821	0.2347	0.5719
YY1	0.1045	-0.0689	0.0161	0.0807	0.5664	0.493	0.2318	0.5685
RARA	-0.0325	0.2175	0.0161	0.0363	0.789	0.5138	0.233	0.5698
CREB3L2	-0.0652	-0.0812	0.018	0.0793	0.1526	0.4595	0.2444	0.5831
RARG	-0.1726	0.3426	0.0184	0.0338	0.2667	0.7621	0.2384	0.5701
DEAF1	0.0049	-0.002	0.0191	0.0884	-0.2478	0.1829	0.2395	0.5765
HSF2	0.359	-0.7008	0.0199	-0.0842	-0.2359	0.6552	0.234	0.5656
IRF3	-0.0432	-0.194	0.021	-0.0014	-0.1341	0.7198	0.2338	0.5697
RELA	-0.0098	-0.0105	0.0214	0.0488	0.721	0.579	0.2325	0.5691
NFKB2	0.3072	0.1254	0.0227	0.0554	1.4064	0.9654	0.2502	0.5826
AHR	0.3548	-0.5776	0.0233	0.0986	1.5018	1.3371	0.257	0.5733
STAT3	0.0924	-0.1265	0.0237	0.049	0.886	0.5693	0.2318	0.5685
NR2F6	-0.1471	0.1	0.0244	0.0177	0.7411	0.7246	0.2297	0.569
TCF3	0.2027	0.1068	0.0254	-0.0046	0.1903	0.5686	0.2329	0.569
DBP	-0.2103	0.1698	0.0275	-0.1076	-1.8113	1.2786	0.2435	0.5703
FOXO1	0.1154	-0.3686	0.0276	-0.0749	1.5771	0.0183	0.2321	0.5685
EGR2	0.2983	-0.1149	0.0285	0.0813	5.6217	2.0323	0.234	0.5705
ZBTB7A	0.112	0.2528	0.0285	0.1028	2.0191	0.9898	0.2763	0.5839
HMGA2	0.6344	-0.1891	0.029	-0.2236	3.4587	3.9068	0.2429	0.5578
MAFF	-0.0662	0.0676	0.03	-0.0662	1.8799	0.024	0.2331	0.5692
THRB	-0.8477	-1.1073	0.0301	0.0564	-0.5491	-0.4553	0.2431	0.571
RXRB	0.1221	0.1038	0.0315	0.0296	-0.7052	0.3629	0.242	0.578
RXRA	0.014	0.3276	0.0317	0.0202	-0.9863	1.1947	0.2326	0.5714
