RASMC_RNA_0H	RASMC_RNA_PDGF_24H	LOG2_FOLD_CHANGE	P_VALUE
A3galt2	49.8558429333472	106.518152665087	1.09526481480321	0.0116836023980548
AA926063	0.104379805853796	0.267388530437844	1.35709495906218	0.398854090736594
Aaas	16.3772034770387	23.9975352617822	0.551197209498967	0.103618476874859
Aacs	46.89106338518	49.9765512446268	0.0919383515751777	0.491158468120823
Aaed1	65.6899546989953	69.4048225458171	0.0793631403083867	0.765317961078634
Aagab	19.0933044126112	30.7724576312769	0.688572861968627	0.00370425609507659
Aak1	1.85450800601336	4.22314738956919	1.18728210261574	0.0605374432382478
Aamdc	0.429827551444822	0.949748065731692	1.14378690788388	0.44653567241191
Aamp	58.7069052408915	112.965381036751	0.944278605723961	0.0241622525079321
Aar2	6.1548848065698	10.2334209718973	0.733484749182272	0.0866686708615553
Aard	0.45406382143314	0.446916734246539	-0.0228890256526668	0.989196626245203
Aars	109.891076781093	173.473399433633	0.65864021224154	0.00166815551455801
Aars2	4.12326868549379	6.5342248426818	0.66422762381383	0.0137998293028086
Aarsd1	10.1910964072766	13.2999794182433	0.384114741213014	0.428876040569787
Aasdhppt	39.7694275569644	60.7154780481332	0.610404550010268	0.0402124786631744
Aass	3.75796428883208	5.76395555680757	0.617107854415615	0.0948719769456003
Aatf	15.8744758671848	25.5690808926949	0.687691343600009	0.0350041460050608
Abca1	7.90831599262971	11.1364493796275	0.493846910208409	0.117752569052485
Abca2	6.72310083458424	13.0934000455889	0.961641086923409	9.49975611380282e-06
Abca5	1.58648701078006	1.9272436431438	0.280703260052958	0.506720826340128
Abca7	3.35887836868234	13.353761803926	1.99119475275492	0.0196831313512478
Abca8a	3.89847539667882	4.06536119627067	0.0604735078244802	0.745342646868911
Abcb10	7.56560947777012	6.03980975773711	-0.324953200984635	0.0370086700716014
Abcb1a	0.502274806954868	0.797687514888309	0.667346783277585	0.544091920882728
Abcb1b	19.7130453302496	28.496454332216	0.531631757846646	0.0372948050210876
Abcb6	9.9192985616258	10.6020660251828	0.096035420392301	0.630004678415848
Abcb7	6.07632702793338	7.7768441442651	0.355985308243106	0.40020536962446
Abcb8	13.6689139767494	17.5748550367785	0.36261416710333	0.0779280327529611
Abcc1	8.73084447354702	12.3684837645126	0.502475545622933	0.0561348412516469
Abcc10	2.42959404438024	3.83559034168426	0.658733365088658	0.282632654761677
Abcc3	8.01798513986848	6.01033407024897	-0.41579456170497	0.0461915546304643
Abcc4	2.46608637276823	8.26092538686811	1.74408007114362	0.0409793193098217
Abcc5	10.174638388091	12.0475429463006	0.243761422637918	0.316811405976126
Abcc9	1.58215133564121	6.42734579720649	2.0223354899982	0.00167597457322173
Abcd1	5.39479288575079	10.4995173228316	0.960683528105155	0.0252241382607866
Abcd3	18.6314635753269	25.5754642631474	0.457019420839756	0.0765814109061439
Abcd4	18.2508249017311	25.0808719992717	0.458625835443241	0.0709893757358034
Abce1	61.3466389394741	70.5395467654973	0.201448002454921	0.163561163265697
Abcf1	46.4788892715765	52.9484494052177	0.18801284315168	0.134930616843903
Abcf2	39.9862653450902	55.1341609476846	0.463441943044279	0.0746954417722835
Abcf3	20.0644687832035	40.3415178500934	1.00762240583596	0.00752630335135564
Abcg1	0.921603133861447	3.74213035015422	2.02164228534637	0.0174105110819521
Abcg3	2.29411526416254	2.79956025453877	0.287262352219924	0.289238911713055
Abcg3l1	4.5694226192929	8.34658478383276	0.869174121681268	0.0737863242284907
Abcg3l2	3.25068042313546	3.17993397457384	-0.0317449196168821	0.933707763597951
Abcg3l3	11.0437904728649	18.5379558208732	0.747246744929314	0.217166179170509
Abcg3l4	0.120216130861401	0.720150993372734	2.5826689337751	0.394397059592702
Abhd1	6.60587808178946	17.7697671517109	1.42760252838693	0.00325805586931384
Abhd11	9.64533876129049	13.6433170219721	0.500290626968498	0.369232945192317
Abhd12	24.0676424532518	41.5132322010504	0.786476434392126	0.0225241980598986
Abhd13	4.69070023413581	6.20298833886415	0.403160106454655	0.102970553372031
Abhd14a	3.21368699106151	4.08212360472937	0.345090447907775	0.442418243218503
Abhd14b	27.3987743966573	49.2814355757084	0.846932922648123	0.0114117716532151
Abhd16a	30.5444069640953	46.4409344219573	0.604488770464138	0.0671500469873859
Abhd17a	35.1093123331507	75.1682150478389	1.09826900663878	0.0420679858009339
Abhd17b	11.9663454299113	17.6215292160257	0.558356513708228	0.000702578301353698
Abhd17c	13.4842758135412	13.1742255280391	-0.0335598895031977	0.707264213484803
