RASMC_RNA_PDGF_2H	RASMC_RNA_PDGF_JQ1_2H	LOG2_FOLD_CHANGE	P_VALUE
A3galt2	79.9216493533161	21.9892767297224	-1.8617862046055	0.0310882813320338
AA926063	0.815474722803193	0.0968692399936133	-3.07352963065481	0.2403485135309
Aaas	12.0823921160831	6.86034293077494	-0.816553513068967	0.0827518086543914
Aacs	33.7294484871697	28.8203288702689	-0.226921930655703	0.243578966630029
Aaed1	49.0306580653912	38.3832998073162	-0.353205379726338	0.139334762213285
Aagab	18.361500767929	20.2092091157612	0.138328881660976	0.604757050846972
Aak1	2.6972437727439	2.08342630378025	-0.372527846966623	0.245931365061258
Aamdc	0.722948442875377	1.85424415173904	1.35886654873322	0.0792008197313565
Aamp	67.7700555249374	61.8313137279085	-0.132310294653997	0.239875414518087
Aar2	7.39924144188298	6.1429104736966	-0.268455017860331	0.250052330447215
Aard	0.186821761332838	0.211280527193099	0.177497293941475	0.829150992030051
Aars	133.510614894062	62.8346602197969	-1.08732196073014	0.0112551900541204
Aars2	3.75993233780567	3.29222332837668	-0.191644495514955	0.672768629147705
Aarsd1	8.19031889501193	5.95560785808553	-0.459670861138395	0.0721574355523787
Aasdhppt	24.6738904469039	36.7768468960597	0.575812583984158	0.0383126340817423
Aass	2.85615218054149	0.625191911433897	-2.19170183224018	0.0073719281322504
Aatf	13.6312095944423	18.6579365126602	0.452875850716837	0.106464815239862
Abca1	2.11407506363504	2.29436807014559	0.118070249012195	0.665295944757829
Abca2	5.35025008486039	4.43044650315238	-0.272154226667161	0.504643156477005
Abca5	1.19448372640974	2.70393102878023	1.17867115345413	0.0403371207219786
Abca7	3.35571921878936	1.92888237804	-0.798856835526742	0.337843418967527
Abca8a	3.18755543842612	1.44032644832746	-1.14605459985609	0.229926890405456
Abcb10	4.01829508663322	6.33965048891388	0.657819791982029	0.215700352427202
Abcb1a	1.1064456288843	0.877646701985941	-0.334220355701447	0.598786322576526
Abcb1b	47.240237738284	41.1260589214066	-0.199963399064631	0.384170237549821
Abcb6	6.28588553204941	4.14584647895503	-0.600449306128549	0.04614658294513
Abcb7	4.36148202285266	1.76921248600119	-1.30171111416478	0.252070006838603
Abcb8	10.0052937791369	5.33290078598861	-0.907771135522533	0.0410974032301675
Abcc1	6.29615463563668	5.93208473948595	-0.0859317675924701	0.667639142957591
Abcc10	0.599735436303095	1.35798793582856	1.17907253862216	0.0759377167263077
Abcc3	2.68894082706694	2.40801001098127	-0.159196617635941	0.539995712701843
Abcc4	2.7348858376959	1.85331066524551	-0.561375875332606	0.391697657625826
Abcc5	7.510309226901	4.68221155637998	-0.681682188776846	0.160867461153921
Abcc9	1.28528192868189	0.872482433886356	-0.558886861390454	0.312160745127181
Abcd1	3.67000822226796	1.8427225954902	-0.993944392098053	0.102456417183153
Abcd3	9.99981826284118	23.6325280121424	1.24080018450303	0.00101504254266077
Abcd4	9.427868906353	10.7123723528237	0.18427441018293	0.37862419120324
Abce1	81.8619167320663	43.795496705606	-0.902409915144525	0.046704594928091
Abcf1	57.9795602061281	54.9138135391066	-0.078375286114257	0.469831781609574
Abcf2	49.2791091414332	43.8480209286348	-0.168464447099153	0.268145166689118
Abcf3	24.2997744089352	20.7578100655366	-0.227288671985103	0.114632978489914
Abcg1	1.35433907238608	0.498949342688453	-1.4406237231064	0.143281721969229
Abcg3	2.48354261561127	1.27686821569057	-0.959789868892812	0.21206637781581
Abcg3l1	13.7264878513662	8.08080252250334	-0.764392052883308	0.420404622029592
Abcg3l2	2.56199869095817	1.45509397742751	-0.816157405757902	0.371832751126913
Abcg3l3	7.85070061610087	4.86379203460382	-0.690739865922107	0.232144769132055
Abcg3l4	1.02651381818196	0.620046239929793	-0.727305334524342	0.670213192550343
Abhd1	5.55089597041058	8.27498164018947	0.576035455256336	0.00867954128397872
Abhd11	6.70115504010208	6.98632007296581	0.060122954059572	0.734769583354823
Abhd12	19.6990553223059	34.2507095579598	0.79800742990228	0.0182027935474736
Abhd13	5.98952844029129	6.23690448731186	0.0583877423765949	0.840832868744567
Abhd14a	3.65666693314493	3.56115670357868	-0.0381833042251916	0.934247087643017
Abhd14b	18.3762658510236	21.9495807245687	0.256349748448927	0.194352163129921
Abhd16a	44.9728095445812	26.2428556517793	-0.777128297662931	0.0280766108636908
Abhd17a	54.3343774124379	49.3233204162711	-0.139595357070956	0.471450014314905
Abhd17b	10.9985359283369	23.7792004133683	1.1123887126332	0.0300553287584611
Abhd17c	13.3600393775661	13.2388091740853	-0.0131509019337893	0.902947933692651
Abhd2	44.2858469630847	54.4305232578194	0.297570194661499	0.370601805694566
Abhd3	0.589064434241804	2.19610905578344	1.89845234279441	0.0114602648036442
Abhd4	54.5871008314093	48.0181845443387	-0.18497921666381	0.496462027311307
Abhd5	23.5515758637241	38.4830299593745	0.708398798604589	0.0059569715223662
Abhd6	4.86194936520829	6.56354391939542	0.432940125374424	0.206752904561672
Abhd8	13.3670347151601	9.9438347926144	-0.426805227039456	0.102698962228982
Abi1	38.4432603106666	39.4148660258107	0.0360091767816928	0.706556741220172
Abi2	20.9157895746332	13.6563440933754	-0.615021146055108	0.0769467208901533
Abl1	0.42592889662393	0.396304194893324	-0.104004372722754	0.835779484969786
Abl2	7.59822437644916	4.19604261382917	-0.856632985989424	0.113311852934468
Abr	6.19357278961086	8.2325213532171	0.410562474309823	0.0250339113339155
Abra	2.30191363960502	0.488724113487494	-2.23574151565478	0.208297604701931
Abracl	111.246543191375	66.8041189335909	-0.735751544701331	0.0690612670516525
Abt1	23.2551567253292	14.1331741108984	-0.71846515181388	0.115590779075428
Abtb1	4.66647807927865	3.18859606353267	-0.549412772325681	0.582297779120494
Abtb2	15.412514839858	19.7236856790029	0.355826883309049	0.0856612382033298
Ac1576	0.762873138434736	1.20336530987474	0.657559603107606	0.628966462728956
Acaa1a	20.4066698179474	17.5059486512339	-0.221195523082063	0.41963221115434
Acaa1b	1.17520293039977	0.259927607732283	-2.17672811815125	0.21664514738787
Acaa2	24.6342104036663	22.7531007482165	-0.114600063544939	0.644875302006995
Acaca	11.2051586704181	12.6651658234375	0.17670288795411	0.66066226878875
Acad10	3.67176241780342	2.22106365168179	-0.725221973353674	0.219594308762788
Acad11	17.2854392307776	12.0732870660381	-0.517738746719049	0.136584096487959
Acad9	10.5478154868906	5.95543284305891	-0.824665966826652	0.0452534331276418
Acadl	58.8504946899084	71.6721626750944	0.284358345413572	0.138539514478037
Acadm	30.3260370193969	35.9855821123517	0.246862015835754	0.0403059937746088
Acads	12.3938859742439	14.0919705920386	0.18524476879151	0.569681750620558
Acadsb	15.2680657137109	13.0899172438379	-0.222061324628782	0.45096045069047
Acadvl	21.5612250604445	27.245867600911	0.337598280837907	0.052295819439614
Acan	9.26625585912424	2.08633667669898	-2.1510145310136	0.0311077514247344
Acap2	18.2367835584444	28.7060194383055	0.654501988791018	0.0234711257948817
Acap3	13.182720678208	17.0223519433493	0.368782237425604	0.123294159354616
Acat1	40.9242028079993	38.7042169895262	-0.0804635509664189	0.652022801495341
Acat2	34.0279602052623	22.8687283213434	-0.573344529074553	0.0499980583876442
Acbd3	40.4262581478579	29.984452710506	-0.431078033682809	0.0129123943343693
Acbd4	6.94850294991587	5.18366547107103	-0.422729567078811	0.145209282285432
Acbd5	5.79160930596895	4.64909164796235	-0.317015417357704	0.726743895800196
Acbd6	16.2947488600087	10.457404064802	-0.639882354060644	0.104408842163688
Acbd7	0.187892637120573	2.19246734850234	3.54457491875704	0.184985289431245
Accs	2.20208190905709	1.44430782016504	-0.608489881224622	0.505453326599466
Acd	29.920731794417	32.9455338624731	0.138937444192483	0.459602667283735
Ace	0.89488203588332	0.20469825665533	-2.12819870213808	0.268701022548083
Acer2	0.622562305104163	0.612327479799474	-0.0239147979041611	0.984088032526135
Ache	2.11366219473382	1.54213450641058	-0.454816219827734	0.532989344504292
Acin1	41.3596768941768	29.1846544039253	-0.503014930870843	0.0420833246279195
Ackr3	25.9457266228526	13.9859692067538	-0.891516705940033	0.0353417231940515
Acly	91.0215678834654	208.660315299096	1.19687590057267	0.00270242883998183
Aco1	50.7533375527805	54.430776006347	0.100919906940865	0.431625431603856
Aco2	99.9244024216358	78.0754817871327	-0.355967473079254	0.11256563876348
Acot12	0.161227681584357	0.847998292972671	2.39496189557834	0.46108582240815
Acot13	4.42427624683262	7.27686178114851	0.717874939352393	0.318831160781611
Acot2	1.9807991509446	0.982095017663903	-1.01214808415625	0.42327614632959
Acot3	2.45923972787469	0.727774197773957	-1.75664956795266	0.031157639812871
Acot7	61.7781418001412	60.9904559496058	-0.0185129761983595	0.884966106743989
Acot8	6.37405509934751	5.79653458052829	-0.137020837914023	0.614461727143349
Acot9	64.7030955346605	40.4674440822134	-0.677073004010126	0.111731799420868
Acox1	22.7158342634771	20.793498020566	-0.127565812526545	0.668672111027495
Acox3	5.22076872878619	4.4306293203857	-0.236750619435445	0.0654741904509828
Acp1	32.974720137976	21.7870697212799	-0.597888242673514	0.610852561219288
Acp2	18.0255541822076	5.01508859153638	-1.84569652334796	0.00953564964067755
Acp5	3.94355976930159	3.24443770359735	-0.28153004346867	0.485370334082849
Acp6	17.1913829893153	11.2065030393596	-0.617349450412153	0.14129047275213
Acpp	0.131270064659932	0.0911974910503535	-0.525471916085596	0.250882769399033
Acpt	4.27985951060167	1.08657645134155	-1.97777375404664	0.453393797141711
Acrbp	0.647917612472005	0.857580737740996	0.404462126152044	0.600775726868335
Acsf2	7.59007232448112	6.66719882537356	-0.1870328819175	0.208587668585428
Acsl1	13.6040194936763	17.3600979975584	0.351742113354538	0.127793772538663
Acsl3	58.9223223462114	89.6430398897671	0.605377279553032	0.00452129440222455
Acsl4	97.5813649942836	54.5066840258411	-0.840172509188995	0.00765632263473475
Acsl5	87.6898454376109	34.8836433851593	-1.32985905823005	0.000217625159042073
Acsm3	1.32574014409847	0.445544479540978	-1.57315665214233	0.216800472948222
Acss2	16.405203158442	24.0260139232239	0.550443855555544	0.0301840713705559
Acss3	0.359686981614562	0.549624559492438	0.611704527145698	0.693930155252443
Acta1	26.3142528140866	51.1810573017681	0.959765520491082	0.000200109877912051
Acta2	6011.84353325165	6198.40512074431	0.0440895893611913	0.763007646692433
Actb	5058.68460618805	6234.51748676033	0.301515614427878	0.171067467988968
Actbl2	1.74809950641816	2.78267980197754	0.670687600694726	0.328076205903175
Actg1	2815.5796230687	3251.95643756019	0.207875981438418	0.329058278330043
Actg2	10.7728338450372	6.06438212046803	-0.828965240987032	0.0685089087877971
Actl6a	27.4185152444615	20.9085125133998	-0.391060020579929	0.022661105870387
Actl7a	0.443483881712676	0.191100967979772	-1.21454658517782	0.247234809573209
Actl7b	0.496027939057961	0.478560362127858	-0.0517204762644394	0.947172885061706
Actn1	685.604370196392	684.453131797722	-0.00242454979755424	0.990747257034524
Actn4	549.404814672999	489.995494161096	-0.165101070697044	0.419841257536316
Actr10	97.596797667906	89.0320106233045	-0.132509674259549	0.390300539578124
Actr1a	80.8288240129741	62.4831462255901	-0.371402758288646	0.0285730893281143
Actr1b	58.4635577133051	46.4581754494208	-0.331605128548806	0.0413239163741407
Actr2	232.466082688144	129.044854120572	-0.849147626500077	0.0597715292187112
Actr3	292.672527507116	162.184385448906	-0.851652401099605	0.00160102064312045
