RASMC_RNA_PDGF_JQ1_2H	RASMC_RNA_PDGF_24H	LOG2_FOLD_CHANGE	P_VALUE
A3galt2	21.9892767297224	106.518152665087	2.2762272563184	0.00366724797730483
AA926063	0.0968692399936133	0.267388530437844	1.46482705483953	0.38157499603693
Aaas	6.86034293077494	23.9975352617822	1.80653363725678	0.0225290797609357
Aacs	28.8203288702689	49.9765512446268	0.794164549849825	0.0073979223717987
Aaed1	38.3832998073162	69.4048225458171	0.854557165776926	0.0205136980010719
Aagab	20.2092091157612	30.7724576312769	0.606626805416476	0.0320205252722264
Aak1	2.08342630378025	4.22314738956919	1.0193605296058	0.00623926360852606
Aamdc	1.85424415173904	0.949748065731692	-0.965214444985406	0.221929174876905
Aamp	61.8313137279085	112.965381036751	0.869471153322239	0.0403444069445913
Aar2	6.1429104736966	10.2334209718973	0.736294247262199	0.0691352238169674
Aard	0.211280527193099	0.446916734246539	1.08084625920752	0.541137413920599
Aars	62.8346602197969	173.473399433633	1.46508196696898	2.6532763870231e-05
Aars2	3.29222332837668	6.5342248426818	0.988953894291978	0.0225874064668702
Aarsd1	5.95560785808553	13.2999794182433	1.15910334401673	0.000353659521272455
Aasdhppt	36.7768468960597	60.7154780481332	0.72326655209631	0.0157873608483143
Aass	0.625191911433897	5.76395555680757	3.20468819323456	0.0151572201586818
Aatf	18.6579365126602	25.5690808926949	0.454610863171909	0.0678096930874023
Abca1	2.29436807014559	11.1364493796275	2.27912057635184	6.11914998529455e-06
Abca2	4.43044650315238	13.0934000455889	1.56331577271082	0.00302275675798924
Abca5	2.70393102878023	1.9272436431438	-0.48851938275193	0.208617732245996
Abca7	1.92888237804	13.353761803926	2.79140913507757	0.0143230517974406
Abca8a	1.44032644832746	4.06536119627067	1.49698770362535	0.000443659832669073
Abcb10	6.33965048891388	6.03980975773711	-0.0699001972013241	0.564410348135691
Abcb1a	0.877646701985941	0.797687514888309	-0.13781659997903	0.861367732271276
Abcb1b	41.1260589214066	28.496454332216	-0.529270402812987	0.011071463376648
Abcb6	4.14584647895503	10.6020660251828	1.35460683081582	0.0226116369737833
Abcb7	1.76921248600119	7.7768441442651	2.13607749699345	0.0530897982405731
Abcb8	5.33290078598861	17.5748550367785	1.72052039623218	0.00170256708224941
Abcc1	5.93208473948595	12.3684837645126	1.0600575412771	0.00633853015516716
Abcc10	1.35798793582856	3.83559034168426	1.49797797931658	0.116504763795006
Abcc3	2.40801001098127	6.01033407024897	1.31960379204477	0.00679480511440376
Abcc4	1.85331066524551	8.26092538686811	2.15619866450575	0.0333089007858871
Abcc5	4.68221155637998	12.0475429463006	1.36347691758292	0.0022216919026829
Abcc9	0.872482433886356	6.42734579720649	2.8810251025575	0.000393046290464148
Abcd1	1.8427225954902	10.4995173228316	2.51041219845864	0.0114209369671375
Abcd3	23.6325280121424	25.5754642631474	0.113986463850701	0.47310315869511
Abcd4	10.7123723528237	25.0808719992717	1.22730949443316	0.0061416929971019
Abce1	43.795496705606	70.5395467654973	0.687649774516076	0.0106319484258665
Abcf1	54.9138135391066	52.9484494052177	-0.0525806684870139	0.590439084540027
Abcf2	43.8480209286348	55.1341609476846	0.330434756617569	0.122305314582996
Abcf3	20.7578100655366	40.3415178500934	0.958611117985548	0.00587729250422291
Abcg1	0.498949342688453	3.74213035015422	2.90689455883555	0.00799581681215281
Abcg3	1.27686821569057	2.79956025453877	1.13259059771461	0.0315319419963185
Abcg3l1	8.08080252250334	8.34658478383276	0.0466874258262973	0.789482345741786
Abcg3l2	1.45509397742751	3.17993397457384	1.12788447815288	0.00749414719056108
Abcg3l3	4.86379203460382	18.5379558208732	1.9303287182067	0.00184455642405539
Abcg3l4	0.620046239929793	0.720150993372734	0.215923618314525	0.885668006134891
Abhd1	8.27498164018947	17.7697671517109	1.10259676085221	0.00616932635610419
Abhd11	6.98632007296581	13.6433170219721	0.965589795896154	0.193820570984547
Abhd12	34.2507095579598	41.5132322010504	0.277437387776329	0.011802467814498
