RASMC_RNA_0H_1	RASMC_RNA_0H_0	RASMC_RNA_PDGF_2H_2	RASMC_RNA_PDGF_2H_0	RASMC_RNA_PDGF_2H_1	RASMC_RNA_PDGF_JQ1_2H_0	RASMC_RNA_PDGF_JQ1_2H_1	RASMC_RNA_PDGF_JQ1_2H_2	RASMC_RNA_PDGF_24H_1	RASMC_RNA_PDGF_24H_2	RASMC_RNA_PDGF_24H_0	RASMC_RNA_PDGF_JQ1_24H_2	RASMC_RNA_PDGF_JQ1_24H_1	RASMC_RNA_PDGF_JQ1_24H_0
A1bg	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A1cf	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A1i3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2m	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A3galt2	51.3399	51.1286	79.8859	62.2026	90.9578	21.5881	27.6646	31.6172	72.1805	78.676	87.9395	44.2433	47.5122	49.5564
A4galt	0	0	0	0.0524453	0	0	0	0	0	0	0	0	0	0
AA926063	0	0	1.62333	0.729647	0	0	0	0	0.342695	0	0	0.336832	0.619349	1.93123
Aaas	16.1825	17.2379	12.2749	15.7509	7.66887	8.85268	8.69805	7.67228	15.7986	16.3494	21.3627	12.4062	13.2943	9.98665
Aacs	48.6493	47.538	35.9911	33.9566	29.2508	32.4658	38.8467	34.9817	34.1191	40.0449	37.6802	27.359	24.8077	24.775
Aadac	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aadacl2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aadacl3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aadat	0	0	0	0	0	0	0.0642387	0	0	0	0	0	0	0
Aaed1	73.2667	61.1442	49.4569	51.4018	43.5712	61.2055	43.3185	38.4316	47.2808	47.8393	60.2434	22.4347	26.5189	18.9411
Aagab	18.1204	20.9668	20.2705	15.8154	17.4862	22.5021	30.4552	21.5148	21.9613	23.3825	23.4788	42.5362	41.4414	45.9554
Aak1	2.32895	1.30954	2.82814	2.19034	2.25175	2.41199	2.4027	2.67874	2.75556	3.14641	3.02655	4.27929	3.85127	3.51985
Aamdc	0.726685	0	0.627894	1.016	0.159486	1.97024	1.68579	3.29664	1.37854	0.458357	0.105244	2.81414	6.22856	3.58555
Aamp	62.4435	58.0281	60.917	66.591	71.851	78.8182	74.013	76.6978	77.1314	77.2678	99.1723	78.0184	83.3361	79.6944
Aanat	0.220735	0	0	0	0	0	0	0.190738	0	0.0696144	0	0	0	0
Aar2	6.26691	6.08347	7.93028	6.62644	6.65516	8.40431	5.92612	8.34127	8.85003	5.70615	7.90511	10.0904	9.78333	11.5707
Aard	0	0.69692	0	0.291417	0	0.0847678	0	0.405243	0	0.0739515	0.475443	0.0672643	0	0.154265
Aars	107.93	119.552	134.122	135.457	121.474	79.0559	69.9712	84.3835	131.014	132.566	127.114	166.5	167.489	165.132
