RASMC_RNA_0H	RASMC_RNA_PDGF_JQ1_2H	LOG2_FOLD_CHANGE	P_VALUE
A3galt2	49.8558429333472	21.9892767297224	-1.18096244151519	0.0050748629281971
AA926063	0.104379805853796	0.0968692399936133	-0.107732095777351	0.596028668938952
Aaas	16.3772034770387	6.86034293077494	-1.25533642775781	0.000100203707385182
Aacs	46.89106338518	28.8203288702689	-0.702226198274648	0.0229995422057178
Aaed1	65.6899546989953	38.3832998073162	-0.77519402546854	0.143668948830348
Aagab	19.0933044126112	20.2092091157612	0.0819460565521502	0.698981384780791
Aak1	1.85450800601336	2.08342630378025	0.167921573009936	0.707137303763217
Aamdc	0.429827551444822	1.85424415173904	2.10900135286929	0.0634560480918359
Aamp	58.7069052408915	61.8313137279085	0.0748074524017218	0.643646304931719
Aar2	6.1548848065698	6.1429104736966	-0.00280949807992797	0.985308428818125
Aard	0.45406382143314	0.211280527193099	-1.10373528486019	0.617482260987812
Aars	109.891076781093	62.8346602197969	-0.806441754727439	0.00401574345371984
Aars2	4.12326868549379	3.29222332837668	-0.324726270478148	0.333658089267164
Aarsd1	10.1910964072766	5.95560785808553	-0.77498860280372	0.337747386440129
Aasdhppt	39.7694275569644	36.7768468960597	-0.112862002086042	0.592089097905394
Aass	3.75796428883208	0.625191911433897	-2.58758033881894	0.000110255130240243
Aatf	15.8744758671848	18.6579365126602	0.2330804804281	0.262044215242211
Abca1	7.90831599262971	2.29436807014559	-1.78527366614343	0.0613113988396846
Abca2	6.72310083458424	4.43044650315238	-0.601674685787416	0.0438623949536698
Abca5	1.58648701078006	2.70393102878023	0.769222642804887	0.109792023184427
Abca7	3.35887836868234	1.92888237804	-0.800214382322646	0.0152034485894377
Abca8a	3.89847539667882	1.44032644832746	-1.43651419580087	0.0582530545911845
Abcb10	7.56560947777012	6.33965048891388	-0.255053003783311	0.0530111151618435
Abcb1a	0.502274806954868	0.877646701985941	0.805163383256615	0.140366250883247
Abcb1b	19.7130453302496	41.1260589214066	1.06090216065963	0.00358715242155643
Abcb6	9.9192985616258	4.14584647895503	-1.25857141042352	0.0352284909112832
Abcb7	6.07632702793338	1.76921248600119	-1.78009218875034	0.0551442008232742
Abcb8	13.6689139767494	5.33290078598861	-1.35790622912885	0.00910614378302557
Abcc1	8.73084447354702	5.93208473948595	-0.557581995654162	0.0468776326446778
Abcc10	2.42959404438024	1.35798793582856	-0.839244614227917	0.0412907942141697
Abcc3	8.01798513986848	2.40801001098127	-1.73539835374974	0.000680630088800828
Abcc4	2.46608637276823	1.85331066524551	-0.41211859336213	0.235420076445847
Abcc5	10.174638388091	4.68221155637998	-1.11971549494501	0.0723367223597926
Abcc9	1.58215133564121	0.872482433886356	-0.858689612559292	0.157424137460408
Abcd1	5.39479288575079	1.8427225954902	-1.54972867035349	0.11643991067389
Abcd3	18.6314635753269	23.6325280121424	0.343032956989055	0.0327628130865323
Abcd4	18.2508249017311	10.7123723528237	-0.768683658989921	0.0209758625317685
Abce1	61.3466389394741	43.795496705606	-0.486201772061155	0.0167346425638737
Abcf1	46.4788892715765	54.9138135391066	0.240593511638694	0.0592552445696996
Abcf2	39.9862653450902	43.8480209286348	0.133007186426709	0.039984869005184
Abcf3	20.0644687832035	20.7578100655366	0.0490112878504126	0.791802431011785
Abcg1	0.921603133861447	0.498949342688453	-0.885252273489176	0.0831292028413192
Abcg3	2.29411526416254	1.27686821569057	-0.84532824549469	0.0999766361239305
Abcg3l1	4.5694226192929	8.08080252250334	0.822486695854971	0.0805093994327708
Abcg3l2	3.25068042313546	1.45509397742751	-1.15962939776977	0.192067028626102
Abcg3l3	11.0437904728649	4.86379203460382	-1.18308197327739	0.284988467846717
Abcg3l4	0.120216130861401	0.620046239929793	2.36674531546057	0.26002004371157
Abhd1	6.60587808178946	8.27498164018947	0.325005767534712	0.211315078129619
Abhd11	9.64533876129049	6.98632007296581	-0.465299168927656	0.0479981167686916
Abhd12	24.0676424532518	34.2507095579598	0.509039046615797	0.0735223664152115
Abhd13	4.69070023413581	6.23690448731186	0.411026859182198	0.177588477105247
Abhd14a	3.21368699106151	3.56115670357868	0.148116501585349	0.726512127395088
Abhd14b	27.3987743966573	21.9495807245687	-0.319917977900611	0.0769364080673139
Abhd16a	30.5444069640953	26.2428556517793	-0.218983512691277	0.427100698614141
Abhd17a	35.1093123331507	49.3233204162711	0.490416185153901	0.19932068424687
Abhd17b	11.9663454299113	23.7792004133683	0.99071758993692	0.000260330693345488
Abhd17c	13.4842758135412	13.2388091740853	-0.0265046841765036	0.585648465483368
Abhd2	13.597391943707	54.4305232578194	2.0010859442303	0.0293383125245498
Abhd3	0.921771424403841	2.19610905578344	1.25246874952527	0.354329838645842
Abhd4	61.4393734329192	48.0181845443387	-0.355582643672165	0.0223818344255073
Abhd5	11.7618522174004	38.4830299593745	1.71010712521395	0.0911069339920693
Abhd6	12.4441566265505	6.56354391939542	-0.922921559390052	0.0409971387957522
Abhd8	17.3164071382216	9.9438347926144	-0.800265393586882	0.0286945326707454
Abi1	42.5152182892152	39.4148660258107	-0.109239474548639	0.14095958727175
Abi2	16.7060621748556	13.6563440933754	-0.290800397495927	0.142230265776963
Abl1	1.48293797648574	0.396304194893324	-1.90377811521571	0.116577939790185
Abl2	2.73544119422067	4.19604261382917	0.617255788211077	0.0752689817216866
Abr	8.53175331984526	8.2325213532171	-0.0515079045382658	0.504623222945812
Abra	1.20279398289244	0.488724113487494	-1.29929736225039	0.588782220802428
Abracl	129.842849836857	66.8041189335909	-0.958757607497418	0.00534153713857285
Abt1	13.8478242779936	14.1331741108984	0.029426188100531	0.87662207480633
Abtb1	9.32322652888859	3.18859606353267	-1.5479079746958	0.0150897772689485
Abtb2	4.66167612767078	19.7236856790029	2.0810084859426	0.0044361292381764
Ac1576	0.456281666215226	1.20336530987474	1.39907808170548	0.44094325124225
Acaa1a	28.5820556606263	17.5059486512339	-0.707264436921822	0.109570594831395
Acaa1b	1.23694790692097	0.259927607732283	-2.25060296337888	0.0967837936349163
Acaa2	26.6165352955765	22.7531007482165	-0.226259619853687	0.330995806051041
Acaca	15.9443870077223	12.6651658234375	-0.332182667111372	0.324210596150085
Acad10	5.26430567360492	2.22106365168179	-1.24499252354026	0.0618503520671683
Acad11	20.3436697223359	12.0732870660381	-0.752761428429155	0.000288691314476595
Acad9	15.792848187174	5.95543284305891	-1.40699310725089	0.0544376941493008
Acadl	59.4831528957707	71.6721626750944	0.268931768587096	0.198202581396354
Acadm	32.2590856131402	35.9855821123517	0.157713450215618	0.13217050322912
Acads	14.4426227003102	14.0919705920386	-0.0354593821994644	0.903702258743258
Acadsb	20.0334472703701	13.0899172438379	-0.613954718930636	0.292762236209334
Acadvl	20.595691625692	27.245867600911	0.403694857667358	0.0764622386699863
Acan	1.57514651330599	2.08633667669898	0.405485959391273	0.0800222050198063
Acap2	23.1775810297442	28.7060194383055	0.30862328630207	0.0454144249401872
Acap3	8.35097461246384	17.0223519433493	1.02741390068372	0.0206459877736135
Acat1	39.6638553387384	38.7042169895262	-0.0353341520651713	0.854154698895883
Acat2	37.2594241592492	22.8687283213434	-0.70422923479455	0.0141226473763427
Acbd3	33.4156708829154	29.984452710506	-0.156310198978709	0.173671767416928
Acbd4	11.5537446797631	5.18366547107103	-1.15631599705541	0.154725591152541
Acbd5	6.02864941939803	4.64909164796235	-0.374885969480848	0.40284570431467
Acbd6	14.3959385478917	10.457404064802	-0.461137086039498	0.0640527536078756
Acbd7	0.106825354756575	2.19246734850234	4.35922934418817	0.174630394902837
Accs	7.08937479703557	1.44430782016504	-2.29528015219563	0.029723430261834
Acd	40.6331820066568	32.9455338624731	-0.302575442273884	0.213429620395773
Ace	0.265945601163028	0.20469825665533	-0.377632358978367	0.792014883104242
Acer2	0.400553731092025	0.612327479799474	0.612307647601637	0.418593632470663
Ache	1.78849937502436	1.54213450641058	-0.213821010247399	0.834235210359694
Acin1	49.6677270022832	29.1846544039253	-0.767098740326047	0.000970905694140451
Ackr3	92.2257351837918	13.9859692067538	-2.72118915062113	0.0673571998350814
Acly	97.858458115861	208.660315299096	1.09238778664105	0.00655091561135858
Aco1	72.2511482720927	54.430776006347	-0.408597911877909	0.0574704956377495
Aco2	86.8268068363897	78.0754817871327	-0.15327096107757	0.409953014053524
Acot12	0.101680246236507	0.847998292972671	3.06002193143656	0.429042975638458
Acot13	6.28518682984664	7.27686178114851	0.21136077798735	0.777465252029931
Acot2	3.20784677325603	0.982095017663903	-1.70767071422896	0.00331871098433993
Acot3	3.96652241147552	0.727774197773957	-2.44631189201945	0.00405050541630292
Acot7	27.1726645289313	60.9904559496058	1.16642745920156	0.00192336205730964
Acot8	9.23034193793864	5.79653458052829	-0.671193441118826	0.238724844898912
Acot9	42.1631337301167	40.4674440822134	-0.0592203662568967	0.570164398151197
Acox1	24.2258952986424	20.793498020566	-0.220417504877777	0.475557321661531
Acox3	7.39084392911919	4.4306293203857	-0.738227477286082	0.0613495535331416
Acp1	16.6305147028993	21.7870697212799	0.389639352731204	0.22577721537782
Acp2	24.2870244162628	5.01508859153638	-2.27583865413451	0.0601825938091408
Acp5	4.54797082621502	3.24443770359735	-0.487254534710617	0.211134855696765
Acp6	18.3279426256852	11.2065030393596	-0.709708688440985	0.267414103901662
Acpp	0.0975859771075087	0.0911974910503535	-0.0976797158369095	0.56460594881175
Acpt	0.100057766769848	1.08657645134155	3.44088462306219	0.0327730608245671
Acrbp	1.1232280613395	0.857580737740996	-0.389306477045726	0.697935075812766
Acsf2	11.5142621184666	6.66719882537356	-0.788269304136719	0.00631311966631969
Acsl1	8.03721685427442	17.3600979975584	1.11100717852686	0.0142857222043443
Acsl3	32.7515274637981	89.6430398897671	1.45262938043907	0.0212477964462889
Acsl4	20.4158868903177	54.5066840258411	1.41674091371451	0.0019395118857952
Acsl5	85.7863106832391	34.8836433851593	-1.29819671985938	0.0706433794512573
Acsm3	1.42470717508535	0.445544479540978	-1.67702405672271	0.270869748174158
Acss2	15.9974074863531	24.0260139232239	0.58675919228116	0.107265506013372
Acss3	0.888885796568294	0.549624559492438	-0.693551603339605	0.496982450847601
Acta1	25.5344400705883	51.1810573017681	1.00316552757416	0.0028442415300576
Acta2	5251.23664315476	6198.40512074431	0.239239839788578	0.259713291157322
Actb	4130.33831285514	6234.51748676033	0.59401795213541	0.0335560256853035
Actbl2	1.64203502810117	2.78267980197754	0.760990006664914	0.252649133834487
Actg1	1797.82491683457	3251.95643756019	0.85505540229757	0.020642978617381
Actg2	7.88857423999715	6.06438212046803	-0.379403913441076	0.018318369538897
Actl6a	26.31287705149	20.9085125133998	-0.33167857303041	0.139706069423657
Actl7a	0.211704416845399	0.191100967979772	-0.147716283001615	0.894837563304408
Actl7b	0.173526439468303	0.478560362127858	1.46354541054583	0.225625457358878
Actn1	368.971089862428	684.453131797722	0.891443975085225	0.0111569404060636
Actn4	449.846875596393	489.995494161096	0.123334479985904	0.509210327434154
Actr10	74.8094720473567	89.0320106233045	0.25110318740402	0.162773386659194
Actr1a	69.767313104526	62.4831462255901	-0.15908417369196	0.27293558705083
Actr1b	36.6874976704681	46.4581754494208	0.340643989722262	0.0445037525178195
Actr2	125.080343036228	129.044854120572	0.0450175316895352	0.768367913613687
Actr3	208.396191607137	162.184385448906	-0.361693984376946	0.101407729815402
Actr3b	4.2271269139533	10.9155348442049	1.36863348870836	0.00356868304378344
Actr5	3.14029771207277	1.872032896713	-0.746295551311937	0.354206685867915
Actr6	15.489753838767	9.98195243761683	-0.63392028241957	0.0357512873369723
Actr8	17.1171980345056	8.3463528057591	-1.03622875132654	0.202847029598764
Actrt3	0.0985749631541935	0.120053782708549	0.284387690179721	0.46255180367405
Acvr1	16.973563722993	24.8125692709112	0.54778162894306	0.083328035357945
Acvr1b	3.2164546645751	2.2505341025169	-0.515203928108772	0.0877865051052653
Acvr2a	3.80556431033611	8.02059256405492	1.07559842693649	0.0609670998849256
Acvr2b	0.729666307620315	1.15076423899523	0.657283549984771	0.599482159070565
Acvrl1	1.49905619961377	0.262292804939136	-2.5148043328312	0.00653369566530385
Acy1	26.5442959781384	14.8205747138449	-0.840800484335495	0.0107000306199987
Acy3	19.0753306567082	4.36285696191011	-2.1283629850828	0.0955682836365467
Acyp1	27.4221956692092	10.095237682987	-1.44166921298324	0.239676582388723
Acyp2	2.43408118146219	2.61810161233972	0.105143805856044	0.894216930905364
