RASMC_RNA_PDGF_24H	RASMC_RNA_PDGF_JQ1_24H	LOG2_FOLD_CHANGE	P_VALUE
A3galt2	106.518152665087	44.2485222809554	-1.26739813232613	0.00468285661343446
AA926063	0.267388530437844	0.996967520692918	1.89860892240024	0.333120809120859
Aaas	23.9975352617822	10.9452824918612	-1.13257704697521	0.0386913627459818
Aacs	49.9765512446268	24.0251017128115	-1.05670880931028	0.00575153279499325
Aaed1	69.4048225458171	20.9939065527298	-1.72506526219068	0.0155061819968114
Aagab	30.7724576312769	40.7432453699487	0.404921232982541	0.122649770113641
Aak1	4.22314738956919	3.53251856391414	-0.257621456506522	0.120364076880875
Aamdc	0.949748065731692	3.52100150176574	1.89036906873873	0.0474486168659231
Aamp	112.965381036751	75.2324918126373	-0.586452936766788	0.0546599753215654
Aar2	10.2334209718973	9.77556059436917	-0.0660371666604329	0.811778329966776
Aard	0.446916734246539	0.162723123273497	-1.45758679032299	0.468019622842469
Aars	173.473399433633	156.346364566229	-0.149968782134593	0.223397649488869
Aars2	6.5342248426818	7.26546670241162	0.153039374607294	0.532166050509172
Aarsd1	13.2999794182433	15.9082926647744	0.258354995599365	0.262915331185883
Aasdhppt	60.7154780481332	60.5852085194367	-0.00309873390828251	0.981274877407303
Aass	5.76395555680757	0.327044624636202	-4.1394998042557	0.0139054377713138
Aatf	25.5690808926949	24.3956144222242	-0.0677784832317725	0.72937109763253
Abca1	11.1364493796275	6.77553193295923	-0.716883214293473	0.0262635272305219
Abca2	13.0934000455889	7.60506514325557	-0.783807268721317	0.0133823998276698
Abca5	1.9272436431438	2.93424908709059	0.606452376524793	0.225221886748696
Abca7	13.353761803926	14.3761098948438	0.10642713067213	0.683986612438036
Abca8a	4.06536119627067	0.274245614315866	-3.88984308290157	0.000231545091710852
Abcb10	6.03980975773711	5.87140072592288	-0.0407983835011226	0.816411127580247
Abcb1a	0.797687514888309	0.76431053894116	-0.0616647740064071	0.942744185064969
Abcb1b	28.496454332216	12.1346660991408	-1.23164801185731	0.00503389380606519
Abcb6	10.6020660251828	5.20280658549459	-1.02698344905713	0.02400950581656
Abcb7	7.7768441442651	5.81213592822977	-0.420116382396482	0.371159448524285
Abcb8	17.5748550367785	15.2941485233861	-0.200533000067044	0.378596010406464
Abcc1	12.3684837645126	9.32418095450248	-0.407619744891593	0.0950725114959982
Abcc10	3.83559034168426	2.16597151930234	-0.824434369410216	0.222746230281201
Abcc3	6.01033407024897	3.53401584124084	-0.766136675176961	0.0416434907608788
Abcc4	8.26092538686811	8.76243308802073	0.0850281213626138	0.739857309295554
Abcc5	12.0475429463006	9.10730330162814	-0.403643107638684	0.103873957937067
Abcc9	6.42734579720649	0.155491541399211	-5.36931508651999	0.00341494638370659
Abcd1	10.4995173228316	2.98382558522224	-1.81508789402516	0.00953243882563065
Abcd3	25.5754642631474	31.6230315999105	0.306215251946034	0.121796202724429
Abcd4	25.0808719992717	9.56216427632891	-1.39117841165239	0.00932269136117762
Abce1	70.5395467654973	51.2366261689664	-0.461256825934928	0.0262672411880605
Abcf1	52.9484494052177	69.6480786598664	0.395495119078015	0.0268818109960923
Abcf2	55.1341609476846	63.7355899703052	0.2091527137675	0.303713758200871
Abcf3	40.3415178500934	39.4633349513714	-0.0317524864944908	0.835240023240053
Abcg1	3.74213035015422	0.640912198375657	-2.54566117924729	0.00804193928572626
Abcg3	2.79956025453877	2.17580843218752	-0.36364869038843	0.164536698772064
Abcg3l1	8.34658478383276	6.36506475102425	-0.391010812616146	0.0737200340404166
Abcg3l2	3.17993397457384	3.05555395901473	-0.0575628526682882	0.884957384670108
Abcg3l3	18.5379558208732	10.18590328953	-0.863908242163211	0.0083116663490555
Abcg3l4	0.720150993372734	0.960885299847154	0.416064801093325	0.760223404344547
Abhd1	17.7697671517109	7.606080442043	-1.22419967483139	0.00898832772422874
Abhd11	13.6433170219721	10.4794580706905	-0.380630329222511	0.482493972282006
Abhd12	41.5132322010504	45.8621411628085	0.143732447617853	0.210140726721907
Abhd13	6.20298833886415	5.53484611430882	-0.164420206538545	0.136385547176741
Abhd14a	4.08212360472937	3.44739284217898	-0.243814159044288	0.502390971056483
Abhd14b	49.2814355757084	23.4965514088713	-1.06859525473416	0.00878820686666923
Abhd16a	46.4409344219573	30.0101769655383	-0.629945174143972	0.0169112692984794
Abhd17a	75.1682150478389	269.463685015527	1.84189620650419	0.00250850666868726
Abhd17b	17.6215292160257	18.7045239657127	0.0860481210656314	0.0198438854527983
Abhd17c	13.1742255280391	11.6612486967172	-0.175995870919279	0.2409201023932
Abhd2	24.1821198160089	27.4705329907118	0.183944184787741	0.211919773303272
Abhd3	3.30462331779048	2.78236794155791	-0.248172618328205	0.521264151787806
Abhd4	138.048486860013	74.5573199665934	-0.888753167732691	0.00328739081442185
Abhd5	24.6323948876818	44.2420603003061	0.84486167087271	0.0169600919388896
Abhd6	50.2662065823027	21.9591384754143	-1.19476736382257	0.00106145530591364
Abhd8	29.0751436024527	22.97508835121	-0.339715907762062	0.075858154671093
Abi1	45.8306483613983	40.39494361235	-0.182137978821038	0.338350461163725
Abi2	26.9999386872215	16.0172580460441	-0.753328933574862	0.00606855109055131
Abl1	2.49598407551457	0.660977973838252	-1.91693462791072	0.0986286595891861
Abl2	4.23766954609956	2.22968192273081	-0.926433174718343	0.00801638184045037
Abr	24.601645423339	12.7515985228314	-0.948076697380142	0.000242296297962344
Abra	0.238462454544738	0.0865035609849017	-1.46293070582556	0.160624083553718
Abracl	150.891783329682	57.0634471111057	-1.4028754418474	0.000232772778235213
Abt1	16.5139583519371	19.9441561070192	0.272280108387038	0.0986583204275995
Abtb1	15.4175191527016	8.53756997401075	-0.852673235624832	0.0826039259203367
