RASMC_RNA_PDGF_2H	RASMC_RNA_PDGF_24H	LOG2_FOLD_CHANGE	P_VALUE
A3galt2	79.9216493533161	106.518152665087	0.414441051712903	0.135367247274322
AA926063	0.815474722803193	0.267388530437844	-1.60870257581528	0.335724295067063
Aaas	12.0823921160831	23.9975352617822	0.989980124187812	0.0267309628647991
Aacs	33.7294484871697	49.9765512446268	0.567242619194122	0.0188248478336996
Aaed1	49.0306580653912	69.4048225458171	0.501351786050589	0.0683809775439936
Aagab	18.361500767929	30.7724576312769	0.744955687077452	0.0154060313111661
Aak1	2.6972437727439	4.22314738956919	0.646832682639178	0.03675950470644
Aamdc	0.722948442875377	0.949748065731692	0.39365210374781	0.696401165065634
Aamp	67.7700555249374	112.965381036751	0.737160858668242	0.0403931037780762
Aar2	7.39924144188298	10.2334209718973	0.467839229401868	0.146902424566786
Aard	0.186821761332838	0.446916734246539	1.258343553149	0.50275656636892
Aars	133.510614894062	173.473399433633	0.377760006238838	0.0441409204463401
Aars2	3.75993233780567	6.5342248426818	0.797309398777023	0.0555578255966429
Aarsd1	8.19031889501193	13.2999794182433	0.699432482878339	0.00654490395354363
Aasdhppt	24.6738904469039	60.7154780481332	1.29907913608047	0.00458438112949276
Aass	2.85615218054149	5.76395555680757	1.01298636099438	0.035743955289086
Aatf	13.6312095944423	25.5690808926949	0.907486713888746	0.0157205460258814
Abca1	2.11407506363504	11.1364493796275	2.39719082536403	9.17673152725353e-05
Abca2	5.35025008486039	13.0934000455889	1.29116154604366	0.0191687569183022
Abca5	1.19448372640974	1.9272436431438	0.690151770702198	0.157734168109344
Abca7	3.35571921878936	13.353761803926	1.99255229955082	0.00677220077763396
Abca8a	3.18755543842612	4.06536119627067	0.350933103769263	0.485171404057936
Abcb10	4.01829508663322	6.03980975773711	0.587919594780705	0.261432924556386
Abcb1a	1.1064456288843	0.797687514888309	-0.472036955680477	0.600451018064667
Abcb1b	47.240237738284	28.496454332216	-0.729233801877618	0.0625761556307889
Abcb6	6.28588553204941	10.6020660251828	0.754157524687275	0.0406054663964266
Abcb7	4.36148202285266	7.7768441442651	0.834366382828666	0.205021282781011
Abcb8	10.0052937791369	17.5748550367785	0.812749260709646	0.0113854592350125
Abcc1	6.29615463563668	12.3684837645126	0.974125773684625	0.0114836660621583
Abcc10	0.599735436303095	3.83559034168426	2.67705051793873	0.0769974721492113
Abcc3	2.68894082706694	6.01033407024897	1.16040717440883	0.00563663505237783
Abcc4	2.7348858376959	8.26092538686811	1.59482278917314	0.0299341073726926
Abcc5	7.510309226901	12.0475429463006	0.681794728806078	0.0579785677679006
Abcc9	1.28528192868189	6.42734579720649	2.32213824116704	0.00181444945363591
Abcd1	3.67000822226796	10.4995173228316	1.51646780636059	0.00685109524414671
Abcd3	9.99981826284118	25.5754642631474	1.35478664835373	0.0115618519190097
Abcd4	9.427868906353	25.0808719992717	1.41158390461609	0.0101917670257626
Abce1	81.8619167320663	70.5395467654973	-0.214760140628448	0.352550920688051
Abcf1	57.9795602061281	52.9484494052177	-0.130955954601271	0.288147031915497
Abcf2	49.2791091414332	55.1341609476846	0.161970309518416	0.368214532368261
Abcf3	24.2997744089352	40.3415178500934	0.731322446000445	0.00923902127639938
Abcg1	1.35433907238608	3.74213035015422	1.46627083572915	0.0119605108697168
Abcg3	2.48354261561127	2.79956025453877	0.172800728821801	0.701062132048
Abcg3l1	13.7264878513662	8.34658478383276	-0.717704627057011	0.43900886606528
Abcg3l2	2.56199869095817	3.17993397457384	0.311727072394982	0.590911059908433
Abcg3l3	7.85070061610087	18.5379558208732	1.23958885228459	0.0105506905513032
Abcg3l4	1.02651381818196	0.720150993372734	-0.511381716209818	0.768875112354866
Abhd1	5.55089597041058	17.7697671517109	1.67863221610855	0.00546427489382407
Abhd11	6.70115504010208	13.6433170219721	1.02571274995573	0.180686840120811
Abhd12	19.6990553223059	41.5132322010504	1.07544481767861	0.00479448835884637
Abhd13	5.98952844029129	6.20298833886415	0.0505209896490517	0.830231801932917
Abhd14a	3.65666693314493	4.08212360472937	0.158790642097234	0.729958763977033
Abhd14b	18.3762658510236	49.2814355757084	1.42320064899766	0.000761091264493238
Abhd16a	44.9728095445812	46.4409344219573	0.0463439854924833	0.779987546965357
Abhd17a	54.3343774124379	75.1682150478389	0.468257464413921	0.0373141719970614
Abhd17b	10.9985359283369	17.6215292160257	0.68002763640451	0.10240262133506
Abhd17c	13.3600393775661	13.1742255280391	-0.0202061072604832	0.873410620593882
Abhd2	44.2858469630847	24.1821198160089	-0.872904993094465	0.0949790704429561
Abhd3	0.589064434241804	3.30462331779048	2.48798847785193	0.0288622440205307
Abhd4	54.5871008314093	138.048486860013	1.33854309329309	0.00263115179941651
Abhd5	23.5515758637241	24.6323948876818	0.064733305367436	0.756032118243573
Abhd6	4.86194936520829	50.2662065823027	3.3699820443053	0.00273299843499151
Abhd8	13.3670347151601	29.0751436024527	1.12110685747113	0.00668362226106422
Abi1	38.4432603106666	45.8306483613983	0.253582001581852	0.227153851712449
Abi2	20.9157895746332	26.9999386872215	0.368363670143058	0.0869892776600582
Abl1	0.42592889662393	2.49598407551457	2.55092421357532	0.0779879823182603
Abl2	7.59822437644916	4.23766954609956	-0.842391224993386	0.123623129677415
Abr	6.19357278961086	24.601645423339	1.98991103042604	6.02184620800274e-05
Abra	2.30191363960502	0.238462454544738	-3.27099966954671	0.176144404866751
Abracl	111.246543191375	150.891783329682	0.439753740068588	0.107187162298558
Abt1	23.2551567253292	16.5139583519371	-0.493864690894293	0.200426253558383
