RNA_RASMC_0H	RASMC_RNA_PDGF_2H	RASMC_RNA_PDGF_JQ1_2H	RASMC_RNA_PDGF_24H	RASMC_RNA_PDGF_JQ1_24H
A3galt2	49.8558429333472	79.9216493533161	21.9892767297224	106.518152665087	44.2485222809554
AA926063	0.104379805853796	0.815474722803193	0.0968692399936133	0.267388530437844	0.996967520692918
Aaas	16.3772034770387	12.0823921160831	6.86034293077494	23.9975352617822	10.9452824918612
Aacs	46.89106338518	33.7294484871697	28.8203288702689	49.9765512446268	24.0251017128115
Aaed1	65.6899546989953	49.0306580653912	38.3832998073162	69.4048225458171	20.9939065527298
Aagab	19.0933044126112	18.361500767929	20.2092091157612	30.7724576312769	40.7432453699487
Aak1	1.85450800601336	2.6972437727439	2.08342630378025	4.22314738956919	3.53251856391414
Aamdc	0.429827551444822	0.722948442875377	1.85424415173904	0.949748065731692	3.52100150176574
Aamp	58.7069052408915	67.7700555249374	61.8313137279085	112.965381036751	75.2324918126373
Aar2	6.1548848065698	7.39924144188298	6.1429104736966	10.2334209718973	9.77556059436917
Aard	0.45406382143314	0.186821761332838	0.211280527193099	0.446916734246539	0.162723123273497
Aars	109.891076781093	133.510614894062	62.8346602197969	173.473399433633	156.346364566229
Aars2	4.12326868549379	3.75993233780567	3.29222332837668	6.5342248426818	7.26546670241162
Aarsd1	10.1910964072766	8.19031889501193	5.95560785808553	13.2999794182433	15.9082926647744
Aasdhppt	39.7694275569644	24.6738904469039	36.7768468960597	60.7154780481332	60.5852085194367
Aass	3.75796428883208	2.85615218054149	0.625191911433897	5.76395555680757	0.327044624636202
Aatf	15.8744758671848	13.6312095944423	18.6579365126602	25.5690808926949	24.3956144222242
Abca1	7.90831599262971	2.11407506363504	2.29436807014559	11.1364493796275	6.77553193295923
Abca2	6.72310083458424	5.35025008486039	4.43044650315238	13.0934000455889	7.60506514325557
Abca5	1.58648701078006	1.19448372640974	2.70393102878023	1.9272436431438	2.93424908709059
Abca7	3.35887836868234	3.35571921878936	1.92888237804	13.353761803926	14.3761098948438
Abca8a	3.89847539667882	3.18755543842612	1.44032644832746	4.06536119627067	0.274245614315866
Abcb10	7.56560947777012	4.01829508663322	6.33965048891388	6.03980975773711	5.87140072592288
Abcb1a	0.502274806954868	1.1064456288843	0.877646701985941	0.797687514888309	0.76431053894116
Abcb1b	19.7130453302496	47.240237738284	41.1260589214066	28.496454332216	12.1346660991408
