FILE_PATH	UNIQUE_ID	GENOME	NAME	BACKGROUND	ENRICHED_REGION	ENRICHED_MACS	COLOR	FASTQ_FILE
/storage/cylin/grail/bam/rn6/rasmc_chiprx_new/	ACAGTG-s_2_1	rn6	RASMC_H3K27AC_PDGF_24H_NEW	RASMC_WCE_PDGF_24H_NEW		RASMC_H3K27AC_PDGF_24H_NEW_peaks.bed	0,0,0	/storage/cylin/grail/data/rasmc/170112_WIGTC-HISEQ2B_CAJ0MANXX/QualityScore/ACAGTG-s_2_1_sequence.txt.tar.gz
/storage/cylin/grail/bam/rn6/rasmc_chiprx/	20151022_5278	rn6	RASMC_H3K27AC_PDGF_24H_REP2	RASMC_WCE_PDGF_24H_REP2		RASMC_H3K27AC_PDGF_24H_REP2_peaks.bed	0,0,0	/storage/cylin/grail/data/rasmc/H3K27AC/20151022_5278/RASMC_H3K27ac_PDGF_24h_B_merged_1_rerun.txt.gz
/storage/cylin/grail/bam/rn6/rasmc_chiprx_new/	TTAGGC-s_1_1	rn6	RASMC_H3K27AC_PDGF_2H_NEW	RASMC_WCE_PDGF_2H_NEW		RASMC_H3K27AC_PDGF_2H_NEW_peaks.bed	0,0,0	/storage/cylin/grail/data/rasmc/170112_WIGTC-HISEQ2B_CAJ0MANXX/QualityScore/TTAGGC-s_1_1_sequence.txt.tar.gz
/storage/cylin/grail/bam/rn6/rasmc_chiprx/	20151022_5276	rn6	RASMC_H3K27AC_PDGF_2H_REP2	RASMC_WCE_PDGF_2H_REP2		RASMC_H3K27AC_PDGF_2H_REP2_peaks.bed	0,0,0	/storage/cylin/grail/data/rasmc/H3K27AC/20151022_5276/RASMC_H3K27ac_PDGF_2h_B_merged_1_rerun.txt.gz
/storage/cylin/grail/bam/rn6/rasmc_chiprx_new/	GCCAAT-s_2_1	rn6	RASMC_H3K27AC_PDGF_JQ1_24H_NEW	RASMC_WCE_PDGF_JQ1_24H_NEW		RASMC_H3K27AC_PDGF_JQ1_24H_NEW_peaks.bed	0,0,0	/storage/cylin/grail/data/rasmc/170112_WIGTC-HISEQ2B_CAJ0MANXX/QualityScore/GCCAAT-s_2_1_sequence.txt.tar.gz
/storage/cylin/grail/bam/rn6/rasmc_chiprx/	20151022_5279	rn6	RASMC_H3K27AC_PDGF_JQ1_24H_REP2	RASMC_WCE_PDGF_JQ1_24H_REP2		RASMC_H3K27AC_PDGF_JQ1_24H_REP2_peaks.bed	0,0,0	/storage/cylin/grail/data/rasmc/H3K27AC/20151022_5279/RASMC_H3K27ac_PDGF-JQ1_24h_B_merged_1_rerun.txt.gz
/storage/cylin/grail/bam/rn6/rasmc_chiprx_new/	TGACCA-s_1_1	rn6	RASMC_H3K27AC_PDGF_JQ1_2H_NEW	RASMC_WCE_PDGF_JQ1_2H_NEW		RASMC_H3K27AC_PDGF_JQ1_2H_NEW_peaks.bed	0,0,0	/storage/cylin/grail/data/rasmc/170112_WIGTC-HISEQ2B_CAJ0MANXX/QualityScore/TGACCA-s_1_1_sequence.txt.tar.gz
/storage/cylin/grail/bam/rn6/rasmc_chiprx/	20151022_5277	rn6	RASMC_H3K27AC_PDGF_JQ1_2H_REP2	RASMC_WCE_PDGF_JQ1_2H_REP2		RASMC_H3K27AC_PDGF_JQ1_2H_REP2_peaks.bed	0,0,0	/storage/cylin/grail/data/rasmc/H3K27AC/20151022_5277/RASMC_H3K27ac_PDGF-JQ1_2h_B_merged_1_rerun.txt.gz
/storage/cylin/grail/bam/rn6/rasmc_chiprx_new/	CGATGT-s_1_1	rn6	RASMC_H3K27AC_UNSTIM_NEW	RASMC_WCE_UNSTIM_NEW		RASMC_H3K27AC_UNSTIM_NEW_peaks.bed	0,0,0	/storage/cylin/grail/data/rasmc/170112_WIGTC-HISEQ2B_CAJ0MANXX/QualityScore/CGATGT-s_1_1_sequence.txt.tar.gz
/storage/cylin/grail/bam/rn6/rasmc_chiprx/	20141224_2914	rn6	RASMC_H3K27AC_UNSTIM_REP1	RASMC_WCE_UNSTIM_REP2		RASMC_H3K27AC_UNSTIM_REP1_peaks.bed	0,0,0	/storage/cylin/grail/data/rasmc/H3K27AC/20141224_2914/TTAGGC-s_1_1_sequence.txt.tar.gz
/storage/cylin/grail/bam/rn6/rasmc_chiprx_new/	ATGTCA-s_5_1	rn6	RASMC_WCE_PDGF_24H_NEW	NONE		NONE	0,0,0	/storage/cylin/grail/data/rasmc/170112_WIGTC-HISEQ2B_CAJ0MANXX/QualityScore/ATGTCA-s_5_1_sequence.txt.tar.gz
/storage/cylin/grail/bam/rn6/rasmc_chiprx/	20151022_5268	rn6	RASMC_WCE_PDGF_24H_REP2	NONE		NONE	0,0,0	/storage/cylin/grail/data/rasmc/NONE/20151022_5268/RASMC_PDGF_24h_WCE_B_merged_1.txt.gz
/storage/cylin/grail/bam/rn6/rasmc_chiprx_new/	AGTCAA-s_4_1	rn6	RASMC_WCE_PDGF_2H_NEW	NONE		NONE	0,0,0	/storage/cylin/grail/data/rasmc/170112_WIGTC-HISEQ2B_CAJ0MANXX/QualityScore/AGTCAA-s_4_1_sequence.txt.tar.gz
/storage/cylin/grail/bam/rn6/rasmc_chiprx/	20151022_5266	rn6	RASMC_WCE_PDGF_2H_REP2	NONE		NONE	0,0,0	/storage/cylin/grail/data/rasmc/NONE/20151022_5266/RASMC_PDGF_2h_WCE_B_merged_1.txt.gz
/storage/cylin/grail/bam/rn6/rasmc_chiprx_new/	CCGTCC-s_5_1	rn6	RASMC_WCE_PDGF_JQ1_24H_NEW	NONE		NONE	0,0,0	/storage/cylin/grail/data/rasmc/170112_WIGTC-HISEQ2B_CAJ0MANXX/QualityScore/CCGTCC-s_5_1_sequence.txt.tar.gz
/storage/cylin/grail/bam/rn6/rasmc_chiprx/	20151022_5269	rn6	RASMC_WCE_PDGF_JQ1_24H_REP2	NONE		NONE	0,0,0	/storage/cylin/grail/data/rasmc/NONE/20151022_5269/RASMC_PDGF-JQ1_24h_WCE_B_merged_1.txt.gz
/storage/cylin/grail/bam/rn6/rasmc_chiprx_new/	AGTTCC-s_5_1	rn6	RASMC_WCE_PDGF_JQ1_2H_NEW	NONE		NONE	0,0,0	/storage/cylin/grail/data/rasmc/170112_WIGTC-HISEQ2B_CAJ0MANXX/QualityScore/AGTTCC-s_5_1_sequence.txt.tar.gz
/storage/cylin/grail/bam/rn6/rasmc_chiprx/	20151022_5267	rn6	RASMC_WCE_PDGF_JQ1_2H_REP2	NONE		NONE	0,0,0	/storage/cylin/grail/data/rasmc/NONE/20151022_5267/RASMC_PDGF-JQ1_2h_WCE_B_merged_1.txt.gz
/storage/cylin/grail/bam/rn6/rasmc_chiprx_new/	CTTGTA-s_4_1	rn6	RASMC_WCE_UNSTIM_NEW	NONE		NONE	0,0,0	/storage/cylin/grail/data/rasmc/170112_WIGTC-HISEQ2B_CAJ0MANXX/QualityScore/CTTGTA-s_4_1_sequence.txt.tar.gz
/storage/cylin/grail/bam/rn6/rasmc_chiprx/	20151022_5265	rn6	RASMC_WCE_UNSTIM_REP2	NONE		NONE	0,0,0	/storage/cylin/grail/data/rasmc/NONE/20151022_5265/RASMC_unstim_WCE_B_merged_1.txt.gz
