NAME	RN6_MAPPED_READS	DM6_MAPPED_READS	RPM_SCALE_FACTOR
RASMC_H3K27AC_PDGF_24H_NEW	54.4087	1.5097	36.0401
RASMC_H3K27AC_PDGF_24H_REP2	42.4114	2.7222	15.5798
RASMC_H3K27AC_PDGF_2H_NEW	58.6821	1.9088	30.7436
RASMC_H3K27AC_PDGF_2H_REP2	44.0828	2.1121	20.871
RASMC_H3K27AC_PDGF_JQ1_24H_NEW	70.0944	1.9499	35.9486
RASMC_H3K27AC_PDGF_JQ1_24H_REP2	36.6021	1.2819	28.5523
RASMC_H3K27AC_PDGF_JQ1_2H_NEW	73.098	2.4443	29.9056
RASMC_H3K27AC_PDGF_JQ1_2H_REP2	33.1361	1.7726	18.6935
RASMC_H3K27AC_UNSTIM_NEW	79.761	2.867	27.8205
RASMC_H3K27AC_UNSTIM_REP1	10.3269	0.5735	18.0069
RASMC_WCE_PDGF_24H_NEW	61.2602	1.7477	35.0521
RASMC_WCE_PDGF_24H_REP2	53.4711	5.0647	10.5576
RASMC_WCE_PDGF_2H_NEW	48.1923	1.3331	36.1517
RASMC_WCE_PDGF_2H_REP2	43.5968	1.525	28.5876
RASMC_WCE_PDGF_JQ1_24H_NEW	57.1938	1.4501	39.4416
RASMC_WCE_PDGF_JQ1_24H_REP2	39.1885	1.7725	22.1096
RASMC_WCE_PDGF_JQ1_2H_NEW	43.3823	1.2348	35.1325
RASMC_WCE_PDGF_JQ1_2H_REP2	40.4547	2.5352	15.9573
RASMC_WCE_UNSTIM_NEW	66.4091	1.7127	38.7744
RASMC_WCE_UNSTIM_REP2	33.3171	2.387	13.9578
