NM_001108089	Mettl25
NM_031616	Zranb2
NM_001047855	Dtx4
NM_053550	Pip4k2b
NM_031057	Aldh6a1
NM_031045	Itpka
NM_001271189	Nt5c
NM_031076	Pcm1
NM_001107584	Ranbp6
NM_001011958	Raly
NM_001107216	Arap2
NM_175764	Kdm3a
NM_053570	Cxadr
NM_001109065	RGD1563482
NM_001270865	Esd
NM_001173527	Ndnl2
NM_012848	Fth1
NM_053995	Bdh1
NM_001009668	Etfa
NM_001170455	Tada2b
NM_001108718	Alkbh1
NM_001191793	Pih1d2
NM_001107939	Pappa
NM_001286966	Jund
NM_139060	Csnk1d
NM_001025014	Tmem50b
NM_001012182	Sike1
NM_001008861	Usp11
NM_001017472	LOC497899
NM_031981	Nsfl1c
NM_001025125	Sumf2
NM_199386	Atp6v1d
NM_001107880	Mtmr14
NM_001080153	Tmub1
NM_001039099	Zdhhc1
NM_001100568	Fbxl3
NM_017041	Ppp3ca
NM_138873	Nbn
NM_001109089	Msantd1
NM_001100894	Wdr20
NM_001007731	Golga7
NM_030860	Mef2d
NM_001004252	Farsb
NM_001025403	Rbms2
NM_181090	Slc38a2
NM_001013434	Rras2
NM_001009685	Drg1
NM_031104	Rpl22
NM_138840	Tgoln2
NM_001109134	RGD1559896
NM_001134862	Pbx1
NM_001106294	Ndufab1
NM_001164718	Pfdn6
NM_001108978	Pik3cd
NM_001109198	Rpl12
NM_001130537	Zbtb39
NM_001163063	Zfp709l1
NM_001013112	Hibch
NM_001126120	Adh5
NM_001160228	Adam19
NM_001008333	Amn1
NM_001191983	Otud3
NM_001017378	Kat8
NM_001100846	Mtmr10
NM_001108006	Vps13d
NM_001134861	Cerk
NM_001106476	Metap1
NM_001107117	Cers4
NM_001107874	Xpc
NM_133578	Dusp5
NM_001009687	Riok2
NM_001107179	Lmod1
NM_001039002	Fam43a
NM_001108827	Iba57
NM_012815	Gclc
NM_053990	Ptpn2
NM_130403	Ppp1r14a
NM_001107861	Kbtbd2
NM_130755	Cs
NM_001100532	Anapc2
NM_019288	App
NM_019372	Pdp1
NM_023092	Myo1c
NM_001010920	Cndp2
NM_001191816	Fam120a
NM_001025719	Pxdc1
NM_001014156	Dbndd1
NM_001004198	Tbp
NM_001191892	Micu3
NM_001024980	Ankrd34a
NM_013043	Tsc22d1
NM_001040180	Tbcb
NM_001192018	Glb1l2
NM_031099	Rpl5
NM_001106917	Pi15
NM_172334	Fibp
NM_031855	Khk
NM_001009619	Nubp1
NM_145778	Tubg1
NM_001108256	Ocrl
NM_017180	Phlda1
NM_001106059	Thoc3
NM_053515	Slc25a4
NM_001035001	Tmem69
NM_001013203	Trim44
NM_024392	Hsd17b4
NM_001011983	Coq6
NM_001009455	Armc5
NM_001191738	Fastkd1
NM_001276456	Chmp4bl1
NM_001108155	Kif23
NM_001105816	Poldip2
NM_001009625	Ifi35
NM_031331	Psmd4
NM_053326	Pdlim5
NM_152847	Snx27
NM_001006965	Mrpl34
NM_001044244	Tomm34
NM_031101	Rpl13
NM_001193292	Med12
NM_001134766	Ccdc62
NM_001031653	Polr3d
NM_212526	Kcne4
NM_001134523	Plekhn1
NM_001191689	Cln5
NM_001305212	Ybx2
NM_001013062	Thbs1
NM_001007629	Nutf2
NM_001014152	Phkb
NM_022501	Crip2
NM_031514	Jak2
NM_001012347	Rgs7bp
NM_001013206	Mrps26
NM_001012275	Arih2
NM_001191593	Nsun5
NM_001006995	Acat2
NM_001010945	Tmem120a
NM_201991	Gpn3
NM_001025043	Itpripl1
NM_001171802	Triqk
NM_001109398	Mthfd2
NM_001134695	Fam229b
NM_001100672	Tspan6
NM_001107080	Dgcr6
NM_001108265	Nagpa
NM_001007235	Itpr1
NM_001025046	Fam131b
NM_001100988	Spidr
NM_001007741	Isg20l2
NM_001107141	Pptc7
NM_001108809	Atg16l1
NM_001106804	Tmem205
NM_012649	Sdc4
NM_001047871	Ifrd2
NM_031041	Gtf2b
NM_001106837	Khdc3
NM_001107712	Cttnbp2nl
NM_001037653	Fubp1
NM_138888	Phf5a
NM_001006996	Ddx18
NM_001034126	Nit2
NM_145082	Cep104
NM_001008381	Ube2f
NM_001191629	Ints4
NM_001108984	Rbm25
NM_001106070	Map1s
NM_001107678	Dhx36
NM_001109212	Uckl1
NM_001014071	Errfi1
NM_001107063	Cdc42ep4
NM_017348	Slc6a8
NM_001031627	Kif1bp
NM_001108566	Ostc
NM_001006954	Coasy
NM_001172103	Pim2
NM_173133	Phax
NM_001108296	Mien1
NM_212496	Dhx16
NM_001013135	Sdccag3
NM_001106761	Brf1
NM_080581	Abcc3
NM_001048043	Tmem230
NM_001013189	Pqlc1
NM_022269	Cd55
NM_001107381	Spire1
NM_030857	Lyn
NM_001308255	Ahr
NM_001109883	Abcf1
NM_001025022	Lurap1l
NM_001025726	Srpk1
NM_001080783	Ppip5k1
NM_001135667	Wdr4
NM_012796	Gstt2
NM_001105983	Disp1
NM_001109673	Ccdc94
NM_001014225	Cluap1
NM_012821	Adcy6
NM_001083336	Stk38l
NM_053774	Usp2
NM_001024793	Cdc27
NM_017040	Ppp2cb
NM_001013983	Mlec
NM_001024970	Sde2
NM_001106276	Cpeb1
NM_001127580	Oxct1
NM_139098	Ddx46
NM_001173450	Aak1
NM_213563	Vars2
NM_001008379	Prr13
NM_001002851	Nenf
NM_001191726	Hs6st2
NM_001009651	Clic2
NM_001024878	Znrf4
NM_001107707	Slc22a15
NM_001127296	Pwwp2a
NM_181768	Acad9
NM_181382	Gldn
NM_001130572	Tonsl
NM_001305241	Dpp9
NM_001108769	Fbxl22
NM_001025728	Smarcb1
NM_001108850	Trappc5
NM_001009682	Oasl2
NM_019331	Furin
NM_001012038	Mtmr3
NM_031338	Camkk2
NM_001110336	Vegfa
NM_001108212	Lipt1
NM_001177368	Lrrn2
NM_001024760	Ift46
NM_024404	Hnrnpd
NM_001305280	Dpy19l4
NR_126575	Fendrr
NM_001107552	Fbxl19
NM_001105726	Ptpmt1
NM_001108064	Wiz
NM_001108876	Lsm1
NM_001106805	Rgl3
NM_031599	Eif2ak3
NM_001039454	Pced1b
NM_001044241	Atl3
NR_002597	LOC360231
NM_001011951	Sf3b4
NM_001106316	Ptdss2
NM_001012235	Impact
NM_001130540	Ext1
NM_024360	Hes1
NM_001012179	Fxr1
NM_053654	Pafah1b3
NM_001115024	Lman2
NM_001033060	Rpain
NM_019240	Gjb3
NM_182667	Myocd
NM_001039034	Wdr5
NM_053414	Ddx1
NM_080887	Txnl1
NM_001012035	Cdkl2
NM_021751	Prom1
NM_001108707	Twistnb
NM_001106143	Tcof1
NM_001108009	Rasgrp3
NM_001106715	Pum2
NM_001134981	Trip4
NM_001271205	Sox4
NM_001009673	Fastkd2
NM_001034108	March2
NM_001191680	Mfsd10
NM_001105992	Xpr1
NM_022933	Chd8
NM_057133	Nr0b2
NM_053882	Ecm1
NM_001037212	Zfp94
NM_001108734	Mob3a
NM_001105755	Pkn2
NM_019384	Scaf1
NM_001107038	Stxbp4
NM_024144	Pigm
NM_001047857	Ube2e3
NM_001134503	Camsap2
NM_022509	Smn1
NM_199114	Fgfrl1
NM_013217	Mllt4
NM_001109249	Eefsec
NM_001033695	L3mbtl2
NM_001107306	Armc6
NM_181639	Slc29a3
NM_053668	Mpp3
NM_001077429	Lnp
NM_001024687	Mrc2
NM_001271222	Sf3b6
NM_017223	Slc20a2
NM_001011950	Dap3
NM_001130490	Lrp1
NM_001013221	Rabl2a
NM_019350	Syt5
NM_001034088	Carm1
NM_001108163	Fam81a
NM_019237	Pcolce
NM_021597	Ago2
NM_001108257	Rab33a
NM_053477	Mlycd
NM_001191000	Lemd3
NM_001024984	Ergic2
NM_001107272	Pnma2
NM_001013071	Tm7sf2
NM_001047887	Arsj
NM_019238	Fdft1
NM_057147	Sec22a
NM_001012210	Trim13
NM_012744	Pc
NM_001127684	Ndufa4
NM_001191548	Ddx54
NM_001100732	Nudt18
NM_001134505	Eno4
NM_001105723	Ubtf
NM_001047874	RGD1304704
NM_017200	Tfpi
NM_001108730	Mfsd12
NM_001305154	Srrd
NM_053551	Pdk4
NM_001007800	Glyr1
NM_001195506	Srsf5
NM_031047	Jup
NM_001135017	Myl12a
NM_001004256	Sirt5
NM_001108694	Dnajc11
NM_001106167	Setd6
NM_019620	Zfp386
NM_001105860	Mzt2b
NM_001012180	Bbs7
NM_001135596	Agfg1
NM_020075	Eif5
NM_001081958	Gnl3l
NM_001136241	Ngef
NM_001100655	Nacad
NM_001100756	Ttc7a
NM_001024991	Fahd1
NM_001025023	Ndc1
NM_001025132	Cnih2
NM_012671	Tgfa
NM_001107839	Rc3h2
NM_017008	Gapdh
NM_001108004	Dnajb5
NM_133521	Fbxo32
NM_138532	Nme7
NM_001310047	Tssc4
NM_001270787	Gls2
NM_022707	Pln
NM_001108915	Asb7
NM_001271134	Fam168b
NM_030995	Map1a
NM_001107520	Herc2
NM_199270	Bre
NM_001142371	Pnpt1
NM_145677	Slc25a25
NM_001106826	Bbs4
NM_001007634	Pelo
NM_001109203	Prrg4
NM_001034835	Kansl3
NM_019251	Bet1
NM_001267055	Cdc26
NM_001170554	Mphosph9
NM_001109225	Zfp800
NM_031138	Ube2b
NM_001106187	Sf3b3
NM_001108389	Rnf219
NM_001169115	Trappc11
NM_031667	Syt11
NM_001108094	Krr1
NM_001013153	Ubtd1
NM_001127373	Adnp2
