GFER	NM_013222	Rattus norvegicus	growth factor, augmenter of liver regeneration(Gfer)
RPLP2	NM_001030021	Rattus norvegicus	ribosomal protein, large P2(Rplp2)
SART3	XM_006249501	Rattus norvegicus	squamous cell carcinoma antigen recognized by T-cells 3(Sart3)
SART3	XM_006249502	Rattus norvegicus	squamous cell carcinoma antigen recognized by T-cells 3(Sart3)
SART3	NM_001107156	Rattus norvegicus	squamous cell carcinoma antigen recognized by T-cells 3(Sart3)
AMOTL2	XM_006243680	Rattus norvegicus	angiomotin like 2(Amotl2)
AMOTL2	NM_031717	Rattus norvegicus	angiomotin like 2(Amotl2)
SART1	NM_031596	Rattus norvegicus	squamous cell carcinoma antigen recognized by T cells 1(Sart1)
CLPTM1L	NM_001108240	Rattus norvegicus	CLPTM1-like(Clptm1l)
CLPTM1L	XM_006227791	Rattus norvegicus	CLPTM1-like(Clptm1l)
BTBD1	NM_001011932	Rattus norvegicus	BTB domain containing 1(Btbd1)
RPLP0	NM_022402	Rattus norvegicus	ribosomal protein lateral stalk subunit P0(Rplp0)
RPLP1	NM_001007604	Rattus norvegicus	ribosomal protein, large, P1(Rplp1)
ARHGEF40	XR_001841260	Rattus norvegicus	Rho guanine nucleotide exchange factor 40(Arhgef40)
ARHGEF40	NM_001271313	Rattus norvegicus	Rho guanine nucleotide exchange factor 40(Arhgef40)
HIGD1A	NM_080902	Rattus norvegicus	HIG1 hypoxia inducible domain family, member 1A(Higd1a)
LRRC7	NM_057142	Rattus norvegicus	leucine rich repeat containing 7(Lrrc7)
CCAR2	XM_017599702	Rattus norvegicus	cell cycle and apoptosis regulator 2(Ccar2)
CCAR2	NM_001170472	Rattus norvegicus	cell cycle and apoptosis regulator 2(Ccar2)
CCAR2	XM_006252268	Rattus norvegicus	cell cycle and apoptosis regulator 2(Ccar2)
CCAR1	XM_006256462	Rattus norvegicus	cell division cycle and apoptosis regulator 1(Ccar1)
CCAR1	NM_001108535	Rattus norvegicus	cell division cycle and apoptosis regulator 1(Ccar1)
CCAR1	XM_006256463	Rattus norvegicus	cell division cycle and apoptosis regulator 1(Ccar1)
CCAR1	XM_006256464	Rattus norvegicus	cell division cycle and apoptosis regulator 1(Ccar1)
CCAR1	XM_008772894	Rattus norvegicus	cell division cycle and apoptosis regulator 1(Ccar1)
CCAR1	XM_008772897	Rattus norvegicus	cell division cycle and apoptosis regulator 1(Ccar1)
ACAA2	NM_130433	Rattus norvegicus	acetyl-CoA acyltransferase 2(Acaa2)
TMEFF1	XM_017593606	Rattus norvegicus	transmembrane protein with EGF-like and two follistatin-like domains 1(Tmeff1)
TMEFF1	NM_023020	Rattus norvegicus	transmembrane protein with EGF-like and two follistatin-like domains 1(Tmeff1)
TFPT	XM_006228036	Rattus norvegicus	TCF3 (E2A) fusion partner(Tfpt)
TFPT	XM_006228037	Rattus norvegicus	TCF3 (E2A) fusion partner(Tfpt)
TFPT	NM_138870	Rattus norvegicus	TCF3 (E2A) fusion partner(Tfpt)
NOXA1	XM_017591817	Rattus norvegicus	NADPH oxidase activator 1(Noxa1)
NOXA1	XM_017591819	Rattus norvegicus	NADPH oxidase activator 1(Noxa1)
NOXA1	NM_001100171	Rattus norvegicus	NADPH oxidase activator 1(Noxa1)
NOXA1	XM_017591818	Rattus norvegicus	NADPH oxidase activator 1(Noxa1)
NOXA1	XM_006233600	Rattus norvegicus	NADPH oxidase activator 1(Noxa1)
NOXA1	XM_017591820	Rattus norvegicus	NADPH oxidase activator 1(Noxa1)
LRRC1	NM_001014268	Rattus norvegicus	leucine rich repeat containing 1(Lrrc1)
UGCG	XM_017593658	Rattus norvegicus	UDP-glucose ceramide glucosyltransferase(Ugcg)
UGCG	NM_031795	Rattus norvegicus	UDP-glucose ceramide glucosyltransferase(Ugcg)
BTBD6	XM_017594375	Rattus norvegicus	BTB domain containing 6(Btbd6)
BTBD6	NM_001077683	Rattus norvegicus	BTB domain containing 6(Btbd6)
BTBD6	XM_006240664	Rattus norvegicus	BTB domain containing 6(Btbd6)
GEM	NM_001106637	Rattus norvegicus	GTP binding protein overexpressed in skeletal muscle(Gem)
SARS2	NM_001106240	Rattus norvegicus	seryl-tRNA synthetase 2, mitochondrial(Sars2)
LOC100125364	XM_017588625	Rattus norvegicus	hypothetical protein LOC100125364(LOC100125364)
LOC100125364	NM_001103356	Rattus norvegicus	hypothetical protein LOC100125364(LOC100125364)
LOC100125364	XM_006227970	Rattus norvegicus	hypothetical protein LOC100125364(LOC100125364)
LOC100125364	XM_006227969	Rattus norvegicus	hypothetical protein LOC100125364(LOC100125364)
LOC100125367	NM_001103357	Rattus norvegicus	hypothetical protein LOC100125367(LOC100125367)
LOC100125367	XM_017598635	Rattus norvegicus	hypothetical protein LOC100125367(LOC100125367)
LOC100125367	XM_008769815	Rattus norvegicus	hypothetical protein LOC100125367(LOC100125367)
PPP1CA	NM_031527	Rattus norvegicus	protein phosphatase 1 catalytic subunit alpha(Ppp1ca)
LOC100125368	XM_008765080	Rattus norvegicus	zinc finger protein LOC100125368(LOC100125368)
LOC100125368	NM_001139487	Rattus norvegicus	zinc finger protein LOC100125368(LOC100125368)
LOC100125368	XM_006240835	Rattus norvegicus	zinc finger protein LOC100125368(LOC100125368)
TAGLN	NM_031549	Rattus norvegicus	transgelin(Tagln)
HSD11B1	XM_006250471	Rattus norvegicus	hydroxysteroid 11-beta dehydrogenase 1(Hsd11b1)
HSD11B1	NM_017080	Rattus norvegicus	hydroxysteroid 11-beta dehydrogenase 1(Hsd11b1)
HSD11B1	XM_006250473	Rattus norvegicus	hydroxysteroid 11-beta dehydrogenase 1(Hsd11b1)
TFPI	XM_008761984	Rattus norvegicus	tissue factor pathway inhibitor(Tfpi)
TFPI	XM_008761983	Rattus norvegicus	tissue factor pathway inhibitor(Tfpi)
TFPI	XM_008761986	Rattus norvegicus	tissue factor pathway inhibitor(Tfpi)
TFPI	XM_008761985	Rattus norvegicus	tissue factor pathway inhibitor(Tfpi)
TFPI	NM_001177321	Rattus norvegicus	tissue factor pathway inhibitor(Tfpi)
TFPI	XM_006234441	Rattus norvegicus	tissue factor pathway inhibitor(Tfpi)
TFPI	XM_008761980	Rattus norvegicus	tissue factor pathway inhibitor(Tfpi)
TFPI	XM_008761981	Rattus norvegicus	tissue factor pathway inhibitor(Tfpi)
TFPI	XM_008761982	Rattus norvegicus	tissue factor pathway inhibitor(Tfpi)
TFPI	XM_006234440	Rattus norvegicus	tissue factor pathway inhibitor(Tfpi)
TFPI	NM_017200	Rattus norvegicus	tissue factor pathway inhibitor(Tfpi)
TFPI	XM_006234444	Rattus norvegicus	tissue factor pathway inhibitor(Tfpi)
ADSL	NM_001130503	Rattus norvegicus	adenylosuccinate lyase(Adsl)
HSD11B2	XM_006255445	Rattus norvegicus	hydroxysteroid 11-beta dehydrogenase 2(Hsd11b2)
HSD11B2	NM_017081	Rattus norvegicus	hydroxysteroid 11-beta dehydrogenase 2(Hsd11b2)
HIGD2A	NM_001106102	Rattus norvegicus	HIG1 hypoxia inducible domain family, member 2A(Higd2a)
ORAI2	NM_001170403	Rattus norvegicus	ORAI calcium release-activated calcium modulator 2(Orai2)
ORAI2	XM_017598356	Rattus norvegicus	ORAI calcium release-activated calcium modulator 2(Orai2)
ADSS	NM_001105975	Rattus norvegicus	adenylosuccinate synthase(Adss)
ORAI1	NM_001013982	Rattus norvegicus	ORAI calcium release-activated calcium modulator 1(Orai1)
RALGPS2	NM_001100680	Rattus norvegicus	Ral GEF with PH domain and SH3 binding motif 2(Ralgps2)
SCN1B	NM_001271046	Rattus norvegicus	sodium voltage-gated channel beta subunit 1(Scn1b)
SCN1B	NM_001271045	Rattus norvegicus	sodium voltage-gated channel beta subunit 1(Scn1b)
SCN1B	NM_017288	Rattus norvegicus	sodium voltage-gated channel beta subunit 1(Scn1b)
ARHGEF25	XM_006241454	Rattus norvegicus	Rho guanine nucleotide exchange factor 25(Arhgef25)
ARHGEF25	XM_006241455	Rattus norvegicus	Rho guanine nucleotide exchange factor 25(Arhgef25)
ARHGEF25	XM_006241456	Rattus norvegicus	Rho guanine nucleotide exchange factor 25(Arhgef25)
ARHGEF25	XM_006241457	Rattus norvegicus	Rho guanine nucleotide exchange factor 25(Arhgef25)
ARHGEF25	XM_006241458	Rattus norvegicus	Rho guanine nucleotide exchange factor 25(Arhgef25)
ARHGEF25	NM_199395	Rattus norvegicus	Rho guanine nucleotide exchange factor 25(Arhgef25)
CACNB1	XM_006247409	Rattus norvegicus	calcium voltage-gated channel auxiliary subunit beta 1(Cacnb1)
CACNB1	NM_017346	Rattus norvegicus	calcium voltage-gated channel auxiliary subunit beta 1(Cacnb1)
CACNB1	XM_006247411	Rattus norvegicus	calcium voltage-gated channel auxiliary subunit beta 1(Cacnb1)
CACNB1	XM_006247410	Rattus norvegicus	calcium voltage-gated channel auxiliary subunit beta 1(Cacnb1)
CACNB3	XM_006257330	Rattus norvegicus	calcium voltage-gated channel auxiliary subunit beta 3(Cacnb3)
CACNB3	XM_006257329	Rattus norvegicus	calcium voltage-gated channel auxiliary subunit beta 3(Cacnb3)
CACNB3	NM_012828	Rattus norvegicus	calcium voltage-gated channel auxiliary subunit beta 3(Cacnb3)
CACNB3	XM_017594673	Rattus norvegicus	calcium voltage-gated channel auxiliary subunit beta 3(Cacnb3)
ORAI3	NM_001014024	Rattus norvegicus	ORAI calcium release-activated calcium modulator 3(Orai3)
ATN1	NM_017228	Rattus norvegicus	atrophin 1(Atn1)
ATN1	XM_017592506	Rattus norvegicus	atrophin 1(Atn1)
ATN1	XM_017592505	Rattus norvegicus	atrophin 1(Atn1)
DHX8	XM_017597136	Rattus norvegicus	DEAH-box helicase 8(Dhx8)
DHX8	NM_001047844	Rattus norvegicus	DEAH-box helicase 8(Dhx8)
DHX8	XM_006247286	Rattus norvegicus	DEAH-box helicase 8(Dhx8)
DHX9	XM_006249996	Rattus norvegicus	DExH-box helicase 9(Dhx9)
DHX9	NM_001107184	Rattus norvegicus	DExH-box helicase 9(Dhx9)
DHX9	XM_008769633	Rattus norvegicus	DExH-box helicase 9(Dhx9)
DHX9	XM_006249995	Rattus norvegicus	DExH-box helicase 9(Dhx9)
ARHGEF39	NM_001106676	Rattus norvegicus	Rho guanine nucleotide exchange factor 39(Arhgef39)
SZRD1	NR_102345	Rattus norvegicus	SUZ RNA binding domain containing 1(Szrd1)
SZRD1	XM_006239264	Rattus norvegicus	SUZ RNA binding domain containing 1(Szrd1)
SZRD1	XR_354340	Rattus norvegicus	SUZ RNA binding domain containing 1(Szrd1)
SZRD1	NM_001114599	Rattus norvegicus	SUZ RNA binding domain containing 1(Szrd1)
SZRD1	XR_354339	Rattus norvegicus	SUZ RNA binding domain containing 1(Szrd1)
GGH	NM_012960	Rattus norvegicus	gamma-glutamyl hydrolase(Ggh)
PIBF1	XM_006252407	Rattus norvegicus	progesterone immunomodulatory binding factor 1(Pibf1)
PIBF1	XM_006252405	Rattus norvegicus	progesterone immunomodulatory binding factor 1(Pibf1)
PIBF1	NM_001305419	Rattus norvegicus	progesterone immunomodulatory binding factor 1(Pibf1)
PIBF1	XM_006252406	Rattus norvegicus	progesterone immunomodulatory binding factor 1(Pibf1)
PIBF1	XM_224451	Rattus norvegicus	progesterone immunomodulatory binding factor 1(Pibf1)
NXF1	NM_021579	Rattus norvegicus	nuclear RNA export factor 1(Nxf1)
GGN	XM_006228719	Rattus norvegicus	gametogenetin(Ggn)
GGN	NM_001309827	Rattus norvegicus	gametogenetin(Ggn)
GGN	NM_001013065	Rattus norvegicus	gametogenetin(Ggn)
BFAR	NM_001108822	Rattus norvegicus	bifunctional apoptosis regulator(Bfar)
BFAR	NM_001013125	Rattus norvegicus	bifunctional apoptosis regulator(Bfar)
BFAR	NR_138253	Rattus norvegicus	bifunctional apoptosis regulator(Bfar)
PARP9	XM_008768727	Rattus norvegicus	poly (ADP-ribose) polymerase family, member 9(Parp9)
PARP9	XM_017597997	Rattus norvegicus	poly (ADP-ribose) polymerase family, member 9(Parp9)
PARP9	XM_017597996	Rattus norvegicus	poly (ADP-ribose) polymerase family, member 9(Parp9)
PARP9	XM_006248411	Rattus norvegicus	poly (ADP-ribose) polymerase family, member 9(Parp9)
PARP9	XM_017597995	Rattus norvegicus	poly (ADP-ribose) polymerase family, member 9(Parp9)
PARP9	NM_001103351	Rattus norvegicus	poly (ADP-ribose) polymerase family, member 9(Parp9)
PARP9	XM_017597994	Rattus norvegicus	poly (ADP-ribose) polymerase family, member 9(Parp9)
PARP9	XM_017597993	Rattus norvegicus	poly (ADP-ribose) polymerase family, member 9(Parp9)
LASP1	NM_032613	Rattus norvegicus	LIM and SH3 protein 1(Lasp1)
LASP1	XM_017597169	Rattus norvegicus	LIM and SH3 protein 1(Lasp1)
LASP1	XM_006247288	Rattus norvegicus	LIM and SH3 protein 1(Lasp1)
POP1	XM_006241543	Rattus norvegicus	POP1 homolog, ribonuclease P/MRP subunit(Pop1)
POP1	NM_001130550	Rattus norvegicus	POP1 homolog, ribonuclease P/MRP subunit(Pop1)
PARP6	XR_593888	Rattus norvegicus	poly (ADP-ribose) polymerase family, member 6(Parp6)
PARP6	XR_593889	Rattus norvegicus	poly (ADP-ribose) polymerase family, member 6(Parp6)
PARP6	NM_001106828	Rattus norvegicus	poly (ADP-ribose) polymerase family, member 6(Parp6)
PARP6	XR_356353	Rattus norvegicus	poly (ADP-ribose) polymerase family, member 6(Parp6)
PARP6	XM_008766233	Rattus norvegicus	poly (ADP-ribose) polymerase family, member 6(Parp6)
PARP6	XM_008766232	Rattus norvegicus	poly (ADP-ribose) polymerase family, member 6(Parp6)
PARP6	XR_593890	Rattus norvegicus	poly (ADP-ribose) polymerase family, member 6(Parp6)
PARP6	XM_006243191	Rattus norvegicus	poly (ADP-ribose) polymerase family, member 6(Parp6)
PARP6	XM_006243193	Rattus norvegicus	poly (ADP-ribose) polymerase family, member 6(Parp6)
PARP3	XM_008766500	Rattus norvegicus	poly (ADP-ribose) polymerase family, member 3(Parp3)
PARP3	XM_006243725	Rattus norvegicus	poly (ADP-ribose) polymerase family, member 3(Parp3)
PARP3	NM_001008328	Rattus norvegicus	poly (ADP-ribose) polymerase family, member 3(Parp3)
POP4	NM_001009642	Rattus norvegicus	POP4 homolog, ribonuclease P/MRP subunit(Pop4)
PARP1	NM_013063	Rattus norvegicus	poly (ADP-ribose) polymerase 1(Parp1)
ACAD11	NM_001108181	Rattus norvegicus	acyl-CoA dehydrogenase family, member 11(Acad11)
POP5	XM_017598249	Rattus norvegicus	POP5 homolog, ribonuclease P/MRP subunit(Pop5)
POP5	NM_001105752	Rattus norvegicus	POP5 homolog, ribonuclease P/MRP subunit(Pop5)
PARP2	XM_006251856	Rattus norvegicus	poly (ADP-ribose) polymerase 2(Parp2)
PARP2	NM_001106030	Rattus norvegicus	poly (ADP-ribose) polymerase 2(Parp2)
ACAD10	XM_006249386	Rattus norvegicus	acyl-CoA dehydrogenase family, member 10(Acad10)
