BRD4_UNSTIM	BRD4_2H	BRD4_24H
Abhd2	10255.5134	10752.63355	14725.3106
Abl2	1930.10075	2162.11745	2235.65335
Abtb2	2748.8379	2408.9107	3092.45
Acsl4	2753.4797	3862.11585	2633.2114
Adamts1	4249.90595	5470.42245	5684.66295
Adss	2720.00435	3262.26675	3150.36155
Afg3l2	5387.6762	5995.7862	8150.97445
Agpat2	7017.6014	8363.72265	11021.9982
Ahr	13443.28235	17803.395	12058.45995
Akap12	6212.534	7968.73495	7537.98645
Akap2	4426.07935	5979.5433	6247.76545
Alkbh1	2276.06425	2575.15735	2984.8474
Alkbh3	5194.1012	5308.7926	5838.80915
Alyref	8149.6504	9692.19485	12953.732
Amd1	3390.42185	3875.37895	4670.96295
Anxa3	2421.321	3246.35675	2333.9912
Apol9a	3168.40475	3343.4402	4580.3402
Arc	2458.3835	3640.42435	4122.0711
Areg	903.0526	1107.7921	1238.3799
Arf2	1551.1483	1709.77335	2034.146
Arf6	6025.2435	6164.7126	7655.6749
Arfgap3	4721.1082	5243.93615	9048.8606
Arhgef3	2614.2799	3179.87135	3392.7377
Arl10	2308.6348	2248.56355	3139.72
Arl4c	7052.25325	8076.703	10405.1556
Armc6	3509.68335	3716.29165	4727.9521
Arntl	12589.28605	14538.60925	20372.58505
Atf3	184.1741	314.3904	402.6276
Atf4	6833.93705	10324.9653	10672.5483
Atp10a	5929.62295	5105.5962	5206.83215
Atp2b1	1596.4599	1739.491	2328.3321
Azin1	8149.53285	7430.1795	13383.22465
Azin2	2622.7109	2946.4493	3688.1855
B3gnt2	3358.6879	3011.39275	5006.08755
B4galt1	5199.3312	5760.05865	7257.47005
B4galt5	11516.6084	12867.4946	15878.6246
Bach1	2477.6985	2862.67245	3194.15225
Bag3	12846.3278	11892.00695	18673.74335
Baiap2	4057.3231	5068.6906	6964.0202
Bak1	3267.56245	3559.20675	5962.82115
Bcar3	6533.999	7599.3049	8889.51345
Bcat1	10769.92155	15583.88105	14438.31655
Bcl10	12378.6382	16550.4415	13514.54935
Bmp2	176.41915	147.4539	213.29665
Bok	3986.7333	4061.724	5721.1642
Btg2	9627.35955	11347.84835	14500.8309
Cab39	2371.00615	2769.3094	2838.0811
Cars	6302.822	7466.3398	8954.5209
Ccdc137	3932.66415	4220.63265	5238.5207
Ccl2	15590.97735	21973.91505	20109.97385
Ccl7	15792.97735	21550.81505	20438.97385
Ccnl1	4619.04335	4723.6021	6579.72145
Cd274	1750.47525	2434.2077	2725.10735
Cd3eap	9678.59005	13647.195	15234.3063
Cd44	12581.2689	17397.00015	14911.8389
Cdc42se1	5355.56925	5865.97775	7227.8326
Cdca4	8016.92185	8580.28735	13402.57815
Cdhr1	5151.22955	10724.5734	7330.9005
Cdk17	6214.5855	6924.7442	6607.92195
Cdk5r1	6749.0446	7152.91475	9911.29215
Cdr2	9142.9522	8635.5616	8502.2933
Cebpa	2232.34585	2486.54785	3572.09635
Cebpb	13477.5433	13662.03675	21781.8172
Chac1	1615.99885	2804.5182	2359.4414
Chchd4	8036.0381	8253.6574	10840.0806
Chst11	4380.06875	5296.77765	8473.3535
Cish	4078.992	4681.38025	6859.6038
Cited2	5920.6151	4938.5908	6669.5648
Clcf1	22018.7982	25126.8318	32172.68025
Clic4	23276.043	25792.38515	32471.57175
Cmip	1940.99025	1779.4633	3187.68785
Cnn3	6197.8294	5974.43085	8183.0681
Coq10b	4307.84225	5143.0063	5104.5651
Cpeb4	3887.39335	3628.33515	4382.54295
Creb3l1	4203.5302	4178.71075	6794.8357
Creld2	7082.3616	6105.40815	10369.6505
Crem	3465.58225	3596.7824	4764.92475
Cry1	1109.0282	1283.6714	1336.3946
Csf1	10176.23605	10358.24445	13114.3443
Csnk2a2	2682.5012	3114.08675	3389.448
Csrnp1	8998.51725	9148.7673	12316.4903
Csrnp2	2707.57235	2693.4504	3739.93605
Cstf2t	3671.59005	5660.3207	3702.69355
Cttnbp2nl	10400.62295	14729.70075	13628.06935
Ctu2	2405.4432	2292.6321	3443.61225
Cxcl10	1815.2994	2137.007	2352.16215
Cyp1b1	14030.0471	14402.49855	22529.3572
Ddx21	1526.60315	2035.6582	1691.8725
Dhrs9	10285.01755	12039.65825	10595.72915
Dlc1	4874.07435	5741.70625	5574.29725
Dnaja1	3465.6027	3663.4567	3936.09525
Dnajb4	6772.89985	6383.10875	7093.85995
Dnajc25	2052.90315	2446.43375	2648.7348
Dok5	2462.84315	3126.7115	4206.1468
Dot1l	5619.514	10130.7075	8021.7839
Dtx3l	2610.23375	3053.26585	3536.49185
Dusp10	6751.42685	10450.4497	9075.64755
Dusp5	4903.9152	11621.50615	10271.34715
Dusp6	14629.20505	22175.7998	17782.2735
Dusp7	9950.8675	11229.84415	16591.3917
E2f6	12794.4203	16008.57325	14805.19545
Eaf1	3197.67645	3811.38475	3887.4621
Edrf1	3315.0092	3782.6892	4349.33315
Efhd2	2842.9718	3758.38885	3992.49245
Egr1	7130.6422	8848.16245	10324.53045
Egr2	3908.17765	4699.835	5025.2162
Egr3	3743.9947	3965.3145	5175.12065
Eif1	3294.7778	4157.34095	4026.4697
Eif1b	1383.02565	1342.754	1709.1193
Eif2ak2	2353.34845	2141.6717	2867.40325
Eif4e	2093.6662	2566.01775	2737.3247
Eif5a	3853.1179	4538.1082	5911.31335
Eif6	5954.8266	7857.70855	7711.6965
Emp1	2820.0129	3772.58525	3727.25385
Enpp3	3517.8174	3269.8328	3496.9559
Epha2	8477.081	8538.5587	12905.87085
Erf	14446.82565	13187.8801	22262.46415
Errfi1	10207.85835	11465.6682	13419.86245
Esm1	15363.0866	20533.4149	18635.34505
Etf1	5237.5489	7211.03085	6819.9097
Ethe1	3192.6236	3779.89965	5076.6757
Ets1	14996.61165	19517.9739	19304.77975
Ets2	2872.97075	3475.35245	4176.4975
Ezr	5535.268	6364.16645	8644.2155
Fam101b	2837.1459	2932.80415	4321.33695
Fam129b	21416.0594	25039.26655	31169.4955
Fbxo27	3564.63695	4049.5228	4878.5551
Fermt2	7779.56115	9550.369	10857.2285
Fhl3	5305.93335	5878.9042	8752.20275
Fjx1	3639.31275	5566.04555	4040.83585
Fkbp5	4718.5707	5675.5203	7436.9455
Flnc	4332.9365	5502.2075	7815.05995
Flt1	880.90975	1067.69275	1253.92375
Fosb	10396.212	12933.78075	16423.2012
Fosl1	27212.06625	35760.34615	40883.39365
Fosl2	8194.71555	9734.02035	11276.58575
Foxc2	8386.76905	9571.50065	11704.9754
Foxp4	1467.5712	1443.28965	2109.20615
Foxq1	5387.34485	6086.3518	7453.1086
Foxs1	11738.24805	13907.08555	18310.68595
Fpgs	4118.91835	3966.74615	6232.759
Frmd6	14054.69505	16936.43	14786.8436
Fst	3121.3303	3522.5913	4144.7591
Gar1	1309.41335	1473.4799	1590.1837
Gars	5079.2453	4816.29485	6391.0169
Gbp2	1393.6234	1203.2866	2070.63525
Gclc	4175.5288	4237.86845	4736.75585
Gcnt2	6034.629	4777.7625	7310.5859
Gem	8163.056	11237.36365	16430.7316
Ggct	7251.3602	7462.5966	8390.3087
Gja1	4342.72615	4655.838	5158.9932
Gmeb2	1760.9583	2099.22985	2052.7574
Gnl2	2828.99735	2399.05565	3823.2216
Gnl3	2992.95635	3350.90785	3022.06685
Gpkow	3842.59385	3939.9537	4991.71755
Gprc5a	4070.0305	5613.20965	5741.77325
Gprc5b	4761.3331	5367.62295	6836.4252
Gpx1	3550.9079	3325.605	4714.8598
Grasp	10892.1051	12745.9608	17749.6371
Grem1	2494.02355	2475.4376	2770.18935
H3f3b	5786.38805	5672.625	7614.9713
Helz2	1090.61085	1218.852	1110.8922
Herpud1	1635.8154	1524.17435	2620.4821
Hip1r	7260.36985	7512.7165	12328.8778
Hivep2	3708.48995	4910.6128	5460.25245
Hk2	7241.6508	6741.956	11309.315
Hmga1	4242.52635	6280.4455	7714.29445
Hmgcr	2441.6934	2351.7364	2627.5604
Hmox1	1999.83175	1957.5385	2807.9732
Hnrnpd	1571.469	1248.4367	1794.47075
Hnrnpdl	1167.57345	1406.93285	1603.36645
Hnrnpk	7914.86995	10653.1153	10914.6187
Hspa5	4875.13555	5034.8285	5738.1218
Icam1	5631.797	5633.88755	7589.77815
Idi1	2655.39215	3035.88435	3245.3888
Ier2	11474.3264	11332.8137	17135.99885
Ier3	18345.6862	21810.70515	24310.3168
Ier5	14038.74915	16957.9145	22596.9038
Iffo2	9112.41145	9668.63255	15382.34515
Ifi47	2837.8928	3024.7413	2728.0485
Ifih1	1534.67515	1280.5769	1556.57755
Ifrd1	7833.88835	7136.61085	7993.61275
Igf2bp2	2539.1236	3432.77015	3985.9292
Igsf3	3388.7538	4356.9153	5081.0453
Il11	5238.52725	5783.10305	6627.32485
Il1rap	5282.8469	6609.55445	6093.83885
Il1rl1	11844.7567	16003.34035	13923.70815
Il6r	4813.5377	4981.0793	7392.15865
Inhba	10284.1102	14792.9648	10755.30795
Ints6	2974.5301	2949.76915	3789.81505
Ippk	2302.2324	2476.6112	3269.968
Irf7	7099.4835	7410.5104	9303.15925
Irgm	9083.08795	8902.15215	11608.3467
Isg20	4366.57465	6516.55525	6418.53375
Itga5	11726.0851	17381.15175	21027.3399
Itpkc	6035.18355	7440.51215	9504.7309
Jmjd6	8677.02265	8315.9061	11278.918
Junb	10539.99925	13784.28095	15678.3372
Kcnn4	16133.89525	32852.94105	28325.9722
Kctd5	2474.8036	2112.6524	3348.0095
Kdm1a	2160.55155	4916.21185	2824.8496
Kdm6b	11529.13685	11435.1446	16761.2538
Kitlg	576.33795	531.7731	863.97835
