BRD4_UNSTIM	BRD4_2H	BRD4_24H
Aarsd1	6253.55585	5926.38945	9174.58845
Aasdhppt	988.8211	942.7816	1095.6755
Abcb8	4096.10385	4943.23565	6406.7495
Abcc1	2870.36665	2256.9747	3643.8776
Abcc3	2837.43545	2618.76515	4293.24855
Abcd1	2046.1951	1816.7588	2764.42435
Abcd3	1008.5812	1082.7964	1234.4798
Abcd4	2569.02105	2355.1112	3790.6147
Abhd1	7441.37485	7513.8198	10104.9501
Abhd14b	4646.55285	4842.58675	7441.23185
Abhd4	4167.313	5687.88415	6311.843
Abhd6	5712.1535	5698.88735	8233.27565
Abhd8	5175.34765	4611.4028	7573.65675
Abtb1	6647.79205	5381.9768	10552.86645
Acbd4	13754.5498	12274.1923	19300.1774
Acd	1322.42095	1332.19505	1796.81025
Acot8	7832.84945	7308.5273	11248.7382
Acox3	9058.70565	6429.4897	12565.22185
Acp2	2463.9197	1952.881	3252.51495
Acsf2	1359.96525	1515.50075	1912.6645
Actr6	1883.51955	2519.72915	2115.20605
Acy3	3557.0838	3942.8921	5039.95345
Adam10	1707.79465	1710.06275	2236.3845
Adamts10	10003.447	6148.8731	11162.63195
Adcy3	3746.36355	3631.79375	6016.94755
Adh7	2150.31985	2217.8648	2767.32695
Adi1	1106.07205	1095.81615	1526.28125
Adpgk	5167.454	5097.6832	6445.99705
Agfg2	4911.88595	4337.69285	7382.00145
Agl	1670.6567	1761.1715	1906.52995
Ago1	601.6999	548.51185	774.0883
Agpat5	6778.00865	4317.87215	6270.7658
Agtrap	3301.75955	3268.69345	5436.71195
Aifm1	1347.17795	1256.0405	1608.19315
Ak1	6358.47575	6230.9753	9966.32145
Akap8l	4995.88735	5252.58695	6364.2935
Alad	1721.8957	1512.43985	2133.4752
Aldh16a1	5443.5326	5940.0106	7163.8056
Alkbh2	833.15075	555.60415	1282.96085
Alkbh5	5343.13845	4838.1277	8047.7322
Amz2	1866.9793	1868.4111	2871.70295
Angel2	2180.83865	2210.77295	3286.05605
Ankmy2	5648.7307	6834.6458	6386.22425
Ankrd10	2924.26605	2929.2977	3329.6395
Ankrd13d	10254.3293	10093.05855	12610.18155
Ankrd34a	7054.98465	6528.0141	9670.5369
Ankrd40	6713.5039	6008.5771	7876.51095
Ankrd46	2616.09975	2400.8882	3688.36835
Anks3	1710.9756	1365.04385	2801.0147
Ap3m1	3015.8483	2794.76715	3759.0059
Ap4b1	4246.4482	4489.2551	5015.1825
Ap5m1	1093.28905	885.65135	1237.59605
Ap5z1	5637.9523	5198.65715	9226.17025
Apbb3	7191.04105	7371.79495	10434.66785
Apex1	2755.32065	2116.3418	3322.8013
Apobec3b	6511.9773	4916.573	10052.766
Appl2	2809.4929	2423.57305	3692.2106
Arfgef2	1819.29625	2184.77775	2472.21455
Arhgap29	2792.3772	2736.60135	2979.74905
Arhgef25	3193.28985	2988.577	4974.41815
Arhgef40	3369.2642	3012.64555	4899.1293
Arl14ep	1941.2424	1652.1074	2342.16235
Arl6	1014.7065	983.24505	1321.3165
Armc1	2245.71925	2503.39775	2681.1419
Armc10	1846.25505	2058.49545	2563.70345
Armc5	6726.5006	6488.3343	9272.50175
Armt1	8581.0951	9101.5156	9308.046
Arrdc2	6242.6159	5722.4647	10832.77675
Arvcf	3790.1241	3735.21815	5245.8206
Asah1	1686.50585	1511.24785	1762.9869
Asb13	10395.11425	10604.3538	16127.98145
Asb8	5026.21235	4444.6879	6472.0979
Ascc1	4015.67555	4066.59465	5849.7394
Asf1a	2270.7061	2074.2146	2429.802
Ash2l	1752.09845	1866.77165	2271.30395
Asrgl1	16982.60365	16274.41855	20175.1954
Atg16l2	5383.43695	4252.36725	8325.37105
