GENE	test_TSS_SIGNAL	test_DISTAL_SIGNAL	regionID
A3galt2	801.6	7388.8819	6_RASMC_H3K27AC_UNSTIM_REP1_10799_lociStitched_1,6_RASMC_H3K27AC_UNSTIM_REP1_10799_lociStitched_1,6_RASMC_H3K27AC_UNSTIM_REP1_10799_lociStitched_2,6_RASMC_H3K27AC_UNSTIM_REP1_10799_lociStitched_3,2_RASMC_H3K27AC_PDGF_2H_REP2_20541_lociStitched,1_RASMC_H3K27AC_PDGF_2H_REP2_20534_lociStitched,5_RASMC_H3K27AC_PDGF_24H_REP2_14107_lociStitched,6_RASMC_H3K27AC_PDGF_24H_REP2_14102_lociStitched,2_RASMC_H3K27AC_PDGF_2H_NEW_23101_lociStitched,12_RASMC_H3K27AC_PDGF_24H_REP2_14103_lociStitched,6_RASMC_H3K27AC_PDGF_24H_NEW_23658_lociStitched
AA926063	390.6246	4484.8591	3_RASMC_H3K27AC_PDGF_2H_NEW_16873_lociStitched_1,3_RASMC_H3K27AC_PDGF_2H_NEW_16873_lociStitched_1,3_RASMC_H3K27AC_PDGF_2H_NEW_16873_lociStitched_3,2_RASMC_H3K27AC_PDGF_2H_REP2_15142_lociStitched,4_RASMC_H3K27AC_PDGF_24H_NEW_17288_lociStitched_1,4_RASMC_H3K27AC_PDGF_24H_NEW_17288_lociStitched_5,5_RASMC_H3K27AC_PDGF_24H_NEW_17293_lociStitched_1,5_RASMC_H3K27AC_PDGF_24H_NEW_17293_lociStitched_2,4_RASMC_H3K27AC_UNSTIM_NEW_18139_lociStitched_1,4_RASMC_H3K27AC_UNSTIM_NEW_18139_lociStitched_3,5_RASMC_H3K27AC_PDGF_24H_REP2_10415_lociStitched_1,5_RASMC_H3K27AC_PDGF_24H_REP2_10415_lociStitched_3,6_RASMC_H3K27AC_PDGF_24H_NEW_17290_lociStitched_1,6_RASMC_H3K27AC_PDGF_24H_NEW_17290_lociStitched_3,6_RASMC_H3K27AC_PDGF_2H_REP2_15145_lociStitched,5_RASMC_H3K27AC_PDGF_2H_NEW_16875_lociStitched_1,5_RASMC_H3K27AC_PDGF_2H_NEW_16875_lociStitched_9,4_RASMC_H3K27AC_PDGF_2H_REP2_15140_lociStitched_1,4_RASMC_H3K27AC_PDGF_2H_REP2_15140_lociStitched_3,2_RASMC_H3K27AC_PDGF_2H_REP2_15147_lociStitched_1,2_RASMC_H3K27AC_PDGF_2H_REP2_15147_lociStitched_3,4_RASMC_H3K27AC_PDGF_24H_NEW_17292_lociStitched_1,4_RASMC_H3K27AC_PDGF_24H_NEW_17292_lociStitched_3
Aaas	363.6042	6075.3242	5_RASMC_H3K27AC_PDGF_24H_REP2_16707_lociStitched,5_RASMC_H3K27AC_PDGF_24H_REP2_16707_lociStitched,6_RASMC_H3K27AC_PDGF_24H_NEW_27805_lociStitched_1,6_RASMC_H3K27AC_PDGF_24H_NEW_27805_lociStitched_3,4_RASMC_H3K27AC_PDGF_24H_NEW_27806_lociStitched_1,4_RASMC_H3K27AC_PDGF_24H_NEW_27806_lociStitched_3,15_RASMC_H3K27AC_PDGF_24H_REP2_16709_lociStitched_1,5_RASMC_H3K27AC_PDGF_2H_REP2_24304_lociStitched,4_RASMC_H3K27AC_UNSTIM_NEW_29106_lociStitched_1,4_RASMC_H3K27AC_UNSTIM_NEW_29106_lociStitched_2,2_RASMC_H3K27AC_PDGF_24H_NEW_27804_lociStitched
Aacs	631.4	2231.1026	5_RASMC_H3K27AC_PDGF_2H_NEW_6997_lociStitched,5_RASMC_H3K27AC_PDGF_2H_NEW_6997_lociStitched,4_RASMC_H3K27AC_UNSTIM_NEW_7419_lociStitched_1,4_RASMC_H3K27AC_UNSTIM_NEW_7419_lociStitched_2,4_RASMC_H3K27AC_UNSTIM_NEW_7419_lociStitched_3,5_RASMC_H3K27AC_PDGF_24H_NEW_7220_lociStitched_1,5_RASMC_H3K27AC_PDGF_24H_NEW_7220_lociStitched_3,3_RASMC_H3K27AC_UNSTIM_NEW_7422_lociStitched_1,3_RASMC_H3K27AC_UNSTIM_NEW_7422_lociStitched_3,3_RASMC_H3K27AC_PDGF_24H_NEW_7217_lociStitched,4_RASMC_H3K27AC_PDGF_2H_NEW_7000_lociStitched
Aaed1	788.8	4067.5659	3_RASMC_H3K27AC_PDGF_2H_NEW_11452_lociStitched,3_RASMC_H3K27AC_PDGF_2H_NEW_11452_lociStitched,4_RASMC_H3K27AC_PDGF_2H_NEW_11453_lociStitched,4_RASMC_H3K27AC_UNSTIM_NEW_12186_lociStitched_1,4_RASMC_H3K27AC_UNSTIM_NEW_12186_lociStitched_3,3_RASMC_H3K27AC_UNSTIM_NEW_12191_lociStitched,1_RASMC_H3K27AC_PDGF_2H_NEW_11449_lociStitched,5_RASMC_H3K27AC_PDGF_24H_REP2_7356_lociStitched_1,7_RASMC_H3K27AC_PDGF_2H_NEW_11450_lociStitched_1,7_RASMC_H3K27AC_PDGF_2H_NEW_11450_lociStitched_2,7_RASMC_H3K27AC_PDGF_2H_NEW_11450_lociStitched_3,2_RASMC_H3K27AC_PDGF_2H_NEW_11451_lociStitched
Aagab	739.0	4789.4349	3_RASMC_H3K27AC_UNSTIM_REP1_13027_lociStitched,3_RASMC_H3K27AC_UNSTIM_REP1_13027_lociStitched,7_RASMC_H3K27AC_PDGF_24H_NEW_28667_lociStitched,4_RASMC_H3K27AC_PDGF_24H_NEW_28664_lociStitched_1,4_RASMC_H3K27AC_PDGF_24H_NEW_28664_lociStitched_2,4_RASMC_H3K27AC_PDGF_24H_NEW_28664_lociStitched_3,7_RASMC_H3K27AC_PDGF_2H_NEW_28052_lociStitched
Aak1	614.2	2483.8156	2_RASMC_H3K27AC_PDGF_24H_REP2_12739_lociStitched,2_RASMC_H3K27AC_PDGF_24H_REP2_12739_lociStitched,5_RASMC_H3K27AC_PDGF_24H_NEW_21263_lociStitched,2_RASMC_H3K27AC_UNSTIM_NEW_22282_lociStitched,5_RASMC_H3K27AC_PDGF_2H_REP2_18552_lociStitched_1,5_RASMC_H3K27AC_PDGF_2H_REP2_18552_lociStitched_2,5_RASMC_H3K27AC_PDGF_2H_REP2_18552_lociStitched_3,1_RASMC_H3K27AC_UNSTIM_NEW_22284_lociStitched
Aamdc	752.2	1105.224	3_RASMC_H3K27AC_UNSTIM_NEW_1920_lociStitched,3_RASMC_H3K27AC_UNSTIM_NEW_1920_lociStitched,6_RASMC_H3K27AC_PDGF_24H_NEW_1839_lociStitched_1,6_RASMC_H3K27AC_PDGF_24H_NEW_1839_lociStitched_2,6_RASMC_H3K27AC_PDGF_24H_NEW_1839_lociStitched_3
Aamp	427.8876	7653.3381	1_RASMC_H3K27AC_UNSTIM_REP1_13770_lociStitched,1_RASMC_H3K27AC_UNSTIM_REP1_13770_lociStitched,4_RASMC_H3K27AC_PDGF_24H_REP2_18332_lociStitched_1,4_RASMC_H3K27AC_PDGF_24H_REP2_18332_lociStitched_3,6_RASMC_H3K27AC_UNSTIM_REP1_13767_lociStitched,6_RASMC_H3K27AC_PDGF_2H_REP2_26490_lociStitched_1,6_RASMC_H3K27AC_PDGF_2H_REP2_26490_lociStitched_3,6_RASMC_H3K27AC_PDGF_2H_REP2_26490_lociStitched_4,6_RASMC_H3K27AC_PDGF_2H_REP2_26490_lociStitched_5,6_RASMC_H3K27AC_UNSTIM_NEW_31840_lociStitched_1,6_RASMC_H3K27AC_UNSTIM_NEW_31840_lociStitched_3,1_RASMC_H3K27AC_PDGF_2H_REP2_26492_lociStitched,9_RASMC_H3K27AC_PDGF_24H_REP2_18331_lociStitched,13_RASMC_H3K27AC_UNSTIM_NEW_31837_lociStitched_1,13_RASMC_H3K27AC_UNSTIM_NEW_31837_lociStitched_3
Aar2	710.6	925.7136	3_RASMC_H3K27AC_PDGF_2H_NEW_19356_lociStitched,3_RASMC_H3K27AC_PDGF_2H_NEW_19356_lociStitched,5_RASMC_H3K27AC_PDGF_24H_NEW_19851_lociStitched_1,5_RASMC_H3K27AC_PDGF_24H_NEW_19851_lociStitched_2,5_RASMC_H3K27AC_PDGF_24H_NEW_19851_lociStitched_3
