BRD4_UNSTIM	BRD4_2H	BRD4_24H
A3galt2	8752.11845	9361.54105	12819.05045
Aars	4964.66605	5498.6604	6481.0026
Abcf3	2346.5227	2735.95375	2794.1637
Acot7	3127.729	3389.543	4976.31135
Acot9	2430.4231	2929.3742	1922.22365
Actr10	5740.1833	5222.11955	8533.08135
Actr2	3424.8282	4654.3924	5267.7682
Adam23	347.8194	375.2901	349.96365
Adgre5	5421.2507	5378.19205	7566.44925
Adprhl2	4425.29555	3671.55465	5546.5842
Adrm1	9364.7604	10100.6087	14933.9445
Aes	4273.80975	4386.93705	6511.67735
Aftph	1782.5885	1724.7573	2188.355
Agps	1170.85065	1354.4011	1901.30645
Ahcyl2	1358.31715	1310.3235	1763.66015
Aig1	5462.79235	8610.6983	4654.2096
Akr1c13	1132.93835	1449.6154	1451.9369
Aldoa	8387.4504	9053.39905	11613.17705
Alg2	2879.6389	3292.9855	3878.1023
Ankh	1886.9277	1688.83825	2672.692
Anks1a	2563.9318	2743.02775	3283.48125
Ano1	13674.7039	16057.6275	16868.27375
Anxa2	10381.9082	11934.23395	12406.6673
Anxa5	9434.88275	10533.51165	11791.57755
Anxa7	1765.722	2054.20175	2151.758
Ap1s1	15325.94085	26484.95985	21116.72125
Ap2a1	4366.2171	4424.98975	6191.84415
Ap2m1	2695.40835	3361.087	3340.39585
Ap3b1	1543.9408	1453.7508	1781.8368
Ap3d1	6002.25605	9369.675	9154.11805
Ap3s1	2882.8167	3386.8936	2763.62435
Aph1a	3542.20845	3695.34245	4613.0232
Arap2	832.73195	1187.1438	1006.70375
Arf5	2010.17895	2425.9354	2972.2235
Arhgap22	3625.12465	3443.741	5488.7628
Arhgdia	8847.29365	9848.3096	13954.3594
Arl1	1181.04365	1311.0726	1814.40685
Arpc1b	5106.85705	4677.54635	7506.3746
Arpc2	7804.07875	8435.76405	9616.79615
Arpc3	5107.7517	4982.8748	7265.6863
Arpc5l	3317.4495	3376.77445	4343.6829
Arrdc3	3588.11045	3674.1103	4180.28025
Arsj	2619.16895	2866.12085	3212.07635
Asb7	4862.91855	4696.71655	5180.80405
Asna1	11447.129	14742.64115	16829.64945
Asnsd1	1063.2829	1169.3228	1135.8546
Atf6	3943.3709	5959.8287	5153.60025
Atg101	10519.93225	11063.85715	16010.2299
Atox1	17920.6814	17016.2993	24593.83825
Atp11a	2270.9683	2428.34445	3483.04415
Atp1a1	2236.17715	2744.6007	3215.6163
Atp1b1	4651.564	4933.0542	6310.43905
Atp1b3	3857.8325	3881.59885	5668.21945
Atp5h	8871.9908	9235.0339	15143.33195
Atp5j	1843.755	1797.35275	2077.021
Atp6ap2	1453.58155	1066.96435	1617.48185
Atp6v0a1	15308.98595	14357.43255	20984.4653
Atp6v0c	3149.4023	2856.77075	4756.22035
Atp6v0d1	7983.38235	7545.22115	9447.79795
Atp6v1b2	3812.708	4260.03525	4410.6273
Atp6v1c1	2345.85145	2215.0558	3268.83045
Atpif1	5260.5753	4976.0281	7350.46635
Atxn10	1256.993	995.708	1864.9284
Aup1	11070.29385	13317.854	15526.436
Axl	16984.09555	20604.80105	26953.439
B3galnt1	3147.3127	2488.0793	3863.2832
Babam1	7115.71475	6858.44235	11142.2039
Bcap31	1980.4051	1734.67005	2647.5706
Bcl2l1	18008.6956	19370.38645	23818.58885
Blvrb	8334.26695	7520.3486	11294.83865
Bri3bp	10116.2654	8790.75345	15141.64845
Brsk1	1249.6223	1119.2191	1566.33965
