BRD4_UNSTIM	BRD4_2H	BRD4_24H
Acta2	19992.1401	17852.5576	20271.95825
Adamts12	24325.2354	20220.07025	23558.12735
Adamts9	3770.07075	2718.66465	3551.8679
Adarb1	13587.49025	9335.17485	14469.52305
Agtr1a	5524.7037	4879.397	5000.2859
Aif1l	1980.47435	2058.075	2260.9801
Aldh1a2	2473.70635	2663.1024	2430.84715
Amotl2	27875.14715	20691.06625	34148.9225
Aoc3	1676.7281	1334.71295	2009.61555
Arhgap11a	2904.17695	2643.62795	3364.32075
Asf1b	4369.6602	3820.84085	6005.32445
Bcam	3191.62955	2764.89785	4930.26525
Birc5	4543.8431	4199.01345	6658.82645
C1s	2835.87615	2701.97335	4616.16115
Cald1	15993.6327	17828.3827	16172.9771
Casq2	3008.8323	2524.3706	3940.60465
Ccna2	1375.23885	1331.9862	1848.01005
Cd200	25512.9389	21600.9478	21140.84415
Cdc45	751.9057	938.16025	1027.6231
Cdc6	14207.2442	14101.8391	22337.18015
Cdca3	4453.1671	4072.99645	7485.60095
Cdca8	532.1005	568.9608	821.61365
Cdk1	4980.9172	4697.26905	7737.97655
Cenpa	2853.9009	2944.2365	4072.56115
Cenpq	921.9971	938.3775	1178.5474
Cenpt	4249.61375	4494.77785	5501.36995
Cep55	32429.11735	44494.397	39895.01905
Cks2	1352.7817	1282.5727	1977.6534
Col11a1	2544.87235	2093.4675	1759.5766
Cxcl12	2784.51315	3142.2083	4818.9482
Dcdc2	4610.02295	4880.394	4131.987
Ddah2	3023.73205	3213.10675	4921.19015
Diaph3	3656.4758	3441.6245	4184.0343
Dscc1	2681.1592	1897.39105	3192.0039
Edn1	8388.0591	6628.64195	8793.0856
Eln	23400.52205	17858.87535	23375.283
Fabp5	294.8517	366.165	362.8233
Fam46b	2927.1179	2801.40655	4772.1852
Fbln5	26590.44715	16951.70485	24385.9615
Fgfr2	7277.2698	6873.1325	9728.4594
Fgfr3	5976.8106	6078.1015	7706.10455
Fhl1	15847.5207	11512.54645	10871.4574
Fmod	6548.8088	7120.59305	8347.765
Gadd45b	13591.27245	14033.31385	21069.59185
Glipr1	3643.9433	3324.3435	3771.2616
Gpc4	4053.37395	2926.09345	3802.59235
Gpr176	12273.5138	12009.842	13361.2037
Grb14	14349.6923	12683.6959	14216.12455
Gstm2	2699.02505	2483.1131	4038.3019
Igfbp2	2999.4372	2271.8006	2732.5609
Iqgap3	2719.46615	2704.64505	4003.1548
Itga4	2532.495	2623.91145	2339.9633
Itgbl1	7188.7566	3420.97255	4744.5081
Kcnd3	1242.5678	1212.8024	1309.5583
Kif11	6922.1636	6570.14845	8575.8073
Kif23	2940.2148	2922.7186	3098.42365
Kif26b	2987.72105	2326.97875	3480.96775
Knstrn	551.375	550.26125	839.9741
Kntc1	6052.0705	5856.4878	8166.0488
Lmod1	8712.5732	7412.5381	14895.19435
Mcm4	1193.4895	1021.63165	1324.4766
Mcm5	1802.13175	1811.4385	2533.5732
Mcm8	797.4511	1030.58715	1066.90665
Mical1	2725.57405	2208.9732	3264.96115
Mis18a	742.4185	610.48525	914.93425
Mms22l	930.40035	1044.1534	1166.44595
Myh1	602.60775	455.57535	580.58335
Myl9	10081.1188	9801.2195	13780.6743
Myocd	10114.92155	10385.93515	11381.75535
Nek2	2354.94815	2952.15555	3716.0639
Nfyb	3654.00185	4340.2721	5356.87795
Nkain4	5353.36635	5619.5753	7967.01735
Nov	6320.3148	7470.1296	4126.3586
Npr3	7841.182	4557.46205	5167.4095
Nrbp2	5900.28115	5410.49475	8615.1951
Nrm	9568.997	10416.8131	12783.4575
Nuak2	14014.99965	14641.48985	19731.702
Nuf2	1544.34645	1383.81555	1478.92395
Nusap1	1329.967	963.80785	1773.8565
P4ha3	9960.29665	8883.34925	10774.00735
Pcbp3	1864.969	2308.02815	2304.70855
Pdlim1	28224.7416	22024.7765	28365.4443
Pdzrn3	7528.32565	7888.6062	7440.9003
Picalm	9119.98345	6679.0418	6245.4716
Pim3	7142.1616	5860.00815	10502.7705
Pkdcc	1753.92345	1438.8774	2524.7723
Pla2r1	1283.20965	1347.9441	1478.11485
Plcb4	5280.6805	4193.1988	4506.1153
Poc1a	3741.79155	3746.1841	5779.47075
Prc1	4997.59125	5203.1953	7312.805
