BRD4_UNSTIM	BRD4_2H	BRD4_24H
A3galt2	8752.11845	9361.54105	12819.05045
AA926063	4485.0211	5486.5748	6217.794
Aaas	9125.7973	7621.2032	13462.60245
Aacs	3179.1821	3385.5105	4380.97615
Aaed1	5076.0113	5824.07935	7200.3354
Aagab	5595.96115	5493.97145	7265.46325
Aak1	3457.72695	4056.9636	5184.2419
Aamdc	2892.60275	2590.90325	3191.6427
Aamp	11813.85255	12385.7585	15558.29525
Aar2	1567.0271	1524.1337	1996.11135
Aars	4964.66605	5498.6604	6481.0026
Aars2	1226.40485	1087.95315	1903.34165
Aarsd1	6253.55585	5926.38945	9174.58845
Aasdhppt	988.8211	942.7816	1095.6755
Aass	4308.7659	4311.6325	5058.3162
Aatf	895.83905	1141.68485	1174.3095
Abca2	4677.7887	4899.6151	7490.48925
Abca5	517.5956	496.8735	675.9756
Abca7	8273.86515	7397.51595	13023.87555
Abca8a	282.6174	191.1039	341.4528
Abcb10	4074.203	4072.80515	5730.5441
Abcb1b	1638.3286	1428.94775	2235.7246
Abcb6	3342.7069	3646.4798	4368.75325
Abcb7	233.0284	184.0027	285.9953
Abcb8	4096.10385	4943.23565	6406.7495
Abcc1	2870.36665	2256.9747	3643.8776
Abcc10	6817.29565	7043.69265	9928.47335
Abcc3	2837.43545	2618.76515	4293.24855
Abcc4	1664.0536	1632.15815	2456.2898
Abcc5	807.5528	772.41545	1132.37835
Abcc9	3645.10935	2614.77255	3707.2168
Abcd1	2046.1951	1816.7588	2764.42435
Abcd3	1008.5812	1082.7964	1234.4798
Abcd4	2569.02105	2355.1112	3790.6147
Abce1	1059.31975	1313.3958	1291.6008
Abcf1	5108.62295	6072.1639	6455.49135
Abcf2	5608.64915	5124.42055	8572.03865
Abcf3	2346.5227	2735.95375	2794.1637
Abcg3l1	583.21025	578.65105	736.66065
Abcg3l2	583.21025	578.65105	736.66065
Abcg3l3	1112.1241	1002.9116	1434.93615
Abcg3l4	583.21025	578.65105	736.66065
Abhd1	7441.37485	7513.8198	10104.9501
Abhd11	1877.4959	1693.9748	2746.57675
Abhd12	2274.4035	1993.79535	2567.0152
Abhd13	1658.15755	1749.78215	1989.6662
Abhd14a	4953.63865	5188.12665	7801.65015
Abhd14b	4646.55285	4842.58675	7441.23185
Abhd16a	3084.30805	3252.0931	4661.6141
Abhd17a	5158.06135	5319.73305	7661.5437
Abhd17b	8229.19735	9262.1579	6855.97645
Abhd17c	7478.6097	6420.3955	7307.95635
Abhd2	10255.5134	10752.63355	14725.3106
Abhd3	1071.8633	950.77975	1298.6193
Abhd4	4167.313	5687.88415	6311.843
Abhd5	3116.6455	3305.03295	4993.5135
Abhd6	5712.1535	5698.88735	8233.27565
Abhd8	5175.34765	4611.4028	7573.65675
Abi1	5396.41685	5673.3495	5280.4752
Abl1	3623.767	3427.70675	4508.8741
Abl2	1930.10075	2162.11745	2235.65335
Abracl	1937.12745	1686.08805	2396.01405
Abt1	6288.9614	6243.5052	7545.16065
Abtb1	6647.79205	5381.9768	10552.86645
Abtb2	2748.8379	2408.9107	3092.45
Ac1576	6402.802	6961.9511	8061.845
Acaa2	2013.657	1558.84235	3003.76885
Acad10	1950.59865	2023.3945	2905.62745
Acad11	2290.15815	1947.7502	2938.73755
Acad9	776.6736	841.7583	995.4565
Acadl	7302.3434	8060.99545	7433.3013
Acadm	1577.44995	1426.3565	1823.19435
Acads	1865.5266	2018.1417	2594.8727
Acadsb	4613.61375	3821.7119	4435.02365
Acadvl	7481.48255	7740.46895	10852.8273
Acap2	4196.57355	3413.08225	5071.9921
Acap3	4408.1142	4188.80815	5388.19995
Acat1	708.1266	552.0084	862.1833
Acat2	2416.6828	1975.02295	2719.11535
Acbd3	2218.5396	2000.1555	3455.0763
Acbd4	13754.5498	12274.1923	19300.1774
Acbd5	3324.36525	3561.0208	3630.4796
Acbd6	3957.126	4718.7658	5592.1353
Accs	6482.97565	4651.305	8317.82555
Acd	1322.42095	1332.19505	1796.81025
Ace	2591.9299	2110.67295	4033.0304
Acer2	2226.0058	1985.44995	2527.91795
Ache	5010.81575	6814.82985	7126.40845
Acin1	4323.07975	4572.2272	5740.03035
Ackr3	14875.02525	15214.5403	21452.64075
Acly	2562.98205	2850.7373	3610.5541
Aco1	1813.6687	1459.2339	1726.54905
Aco2	5500.92525	5374.7518	7986.80795
Acot13	2520.51495	2228.08475	2607.16765
Acot2	3176.8673	3449.9382	4224.59925
Acot3	1509.63575	1367.20655	2356.0243
Acot7	3127.729	3389.543	4976.31135
Acot7	3127.729	3389.543	4976.31135
Acot8	7832.84945	7308.5273	11248.7382
Acot9	2430.4231	2929.3742	1922.22365
Acox1	3082.9247	3120.64415	4819.775
Acox3	9058.70565	6429.4897	12565.22185
Acp1	742.83685	551.82335	1002.4577
Acp1	742.83685	551.82335	1002.4577
