GENE_ID	locusLine	RASMC_H3K27AC_PDGF_24H_NEW	RASMC_H3K27AC_PDGF_24H_REP2	RASMC_H3K27AC_PDGF_2H_NEW	RASMC_H3K27AC_PDGF_2H_REP2	RASMC_H3K27AC_PDGF_JQ1_24H_NEW	RASMC_H3K27AC_PDGF_JQ1_24H_REP2	RASMC_H3K27AC_PDGF_JQ1_2H_NEW	RASMC_H3K27AC_PDGF_JQ1_2H_REP2	RASMC_H3K27AC_UNSTIM_NEW	RASMC_H3K27AC_UNSTIM_REP1	RASMC_WCE_PDGF_24H_NEW	RASMC_WCE_PDGF_24H_REP2	RASMC_WCE_PDGF_2H_NEW	RASMC_WCE_PDGF_2H_REP2	RASMC_WCE_PDGF_JQ1_24H_NEW	RASMC_WCE_PDGF_JQ1_24H_REP2	RASMC_WCE_PDGF_JQ1_2H_NEW	RASMC_WCE_PDGF_JQ1_2H_REP2	RASMC_WCE_UNSTIM_NEW	RASMC_WCE_UNSTIM_REP2
RASMC_H3K27AC_UNSTIM_REP1_7266	chr2(.):150241003-150241560	0.4599	0.7409	0.2318	0.1509	0.897	0.5567	0.2895	0.0154	0.7155	0.8759	0.1718	0.0205	0.1602	0.1085	0.2017	0.1803	0.1781	0.018	0.2606	0.0397
RASMC_H3K27AC_UNSTIM_REP1_656	chr1(.):141458779-141460139	1.9223	2.1495	2.188	2.478	2.1132	1.3417	2.3338	3.1247	2.0266	1.7904	0.2174	1.2429	0.2749	0.1794	0.2194	0.4209	0.2562	0.4523	0.2122	0.7354
RASMC_H3K27AC_UNSTIM_REP1_1381	chr1(.):242613957-242614595	0.877	0.6931	1.0988	0.5242	1.1287	0.7478	0.9548	0.3701	0.9031	0.7437	0.1805	0.1743	0.3215	0.3596	0.2377	0.4406	0.2046	0.1667	0.2651	0.1847
RASMC_H3K27AC_UNSTIM_REP1_13941	chr9(.):102386473-102386999	0.3327	0.0	0.233	0.0517	0.3529	0.3359	0.3808	0.0007	0.4481	0.7903	0.1266	0.022	0.1699	0.1368	0.0937	0.0206	0.2193	0.0572	0.1229	0.0
RASMC_H3K27AC_UNSTIM_REP1_1646	chr1(.):276530692-276533075	1.0754	2.7712	1.6247	1.6894	0.7986	1.0669	1.7752	1.8878	1.4074	1.8662	0.236	0.3337	0.2355	0.3188	0.1859	0.3885	0.2257	0.5805	0.2117	0.4275
RASMC_H3K27AC_UNSTIM_REP1_10592	chr5(.):116489949-116490544	0.2471	0.4684	0.1814	0.1203	0.3301	0.5685	0.1162	0.0145	0.2625	0.8118	0.1299	0.2476	0.1423	0.1707	0.1255	0.0859	0.0802	0.0846	0.1296	0.0
RASMC_H3K27AC_UNSTIM_REP1_860	chr1(.):170311402-170311977	0.9441	1.1609	2.2655	0.5237	3.1781	1.8676	2.6565	0.6152	1.0103	0.7499	0.3009	0.0132	0.3568	0.1913	0.2773	0.1062	0.5082	0.2509	0.2536	0.0
RASMC_H3K27AC_UNSTIM_REP1_11237	chr6(.):35126150-35128462	0.4061	0.1262	0.1639	0.0932	0.3264	0.2175	0.1893	0.1084	0.8187	0.8236	0.1539	0.066	0.166	0.1223	0.1235	0.0652	0.1387	0.0573	0.1815	0.1354
RASMC_H3K27AC_UNSTIM_REP1_202	chr1(.):37862494-37864375	1.0905	1.0942	0.8131	0.9469	1.3203	0.9918	1.0103	0.6991	1.1336	1.2234	0.2659	0.1854	0.1854	0.2646	0.218	0.4862	0.2188	0.3514	0.233	0.2723
RASMC_H3K27AC_UNSTIM_REP1_11207	chr6(.):34028078-34031084	2.7984	2.2642	2.1647	1.3387	3.7193	1.7295	2.486	1.0884	3.0163	2.0226	0.2371	0.6482	0.2764	0.2596	0.2498	0.5557	0.2145	0.5656	0.2365	0.6487
RASMC_H3K27AC_UNSTIM_REP1_5836	chr18(.):3554377-3556310	0.7982	1.2327	0.9449	1.7444	0.7486	0.6683	0.7319	1.3838	1.0183	1.2605	0.2524	0.6486	0.2373	0.2467	0.2233	0.3884	0.2523	0.6467	0.224	0.7221
