DENSITY	POSITIONS	SUBPEAK_LENGTH
0.0		1183
0.0		820
0.0015143866734	54,106,1497	1981
0.000505561172902	1867	1978
0.0		1026
0.0		1017
0.000631313131313	318	1584
0.0		692
0.0		1129
0.0		992
0.0		1449
0.0		1144
0.00168776371308	144,675	1185
0.0		2190
0.0		1309
0.0		773
0.0		939
0.000836120401338	489,2145	2392
0.000726216412491	839	1377
0.0010183299389	1160,1543	1964
0.0		1239
0.000517866390471	387	1931
0.0		1156
0.000654022236756	20	1529
0.000636132315522	1040	1572
0.00277392510402	20,271,378,1007	1442
0.0		946
0.000358422939068	143	2790
0.000374812593703	1881	2668
0.0		2059
0.0		997
0.0		1278
0.00131319763624	1062,420	1523
0.0		1157
0.00059488399762	1828,2819	3362
0.0		1103
0.0		1618
0.0		1104
0.000641642605069	925,2072	3117
0.00125	696,1155,2690,2802	3200
0.000520156046814	571,1458	3845
0.000729128691214	723,793	2743
0.00159574468085	568,674,1707	1880
0.000554323725055	441	1804
0.0		788
0.0		1202
0.000823723228995	1173	1214
0.00227014755959	792,693	881
0.000211954217889	1218	4718
0.000363768643143	769	2749
0.0		1120
0.00163265306122	105,187	1225
0.0		3266
0.0		1051
0.0		1078
0.0		3848
0.0		1315
0.000501882057716	88,3839	3985
0.0		1078
0.0		1159
0.0		1144
0.0		922
0.00126103404792	791	793
0.00184501845018	243	542
0.000441696113074	807	2264
0.0		1172
0.000607164541591	180	1647
0.000861326442722	559	1161
0.00146627565982	121	682
0.0		1121
0.00167224080268	186,1132,1184	1794
0.0		1374
0.00111856823266	345	894
0.000714285714286	890	1400
0.0		810
0.0		1451
0.0		3272
0.0		2626
0.0		1097
0.00126262626263	252	792
0.0		891
0.0		3080
0.0		714
0.0011135857461	500	898
0.00120627261761	367	829
0.00081499592502	866	1227
0.0		845
0.00157480314961	31,716	1270
0.000589275191514	829	1697
0.0		932
0.00124921923798	1450,1474	1601
0.00179211469534	1054,21	1116
0.0		984
0.0		1008
0.00113164843455	1859,344,2526	2651
0.000647668393782	1188	1544
0.0		3046
0.0		746
0.00103305785124	857,1273	1936
0.0		799
0.0		877
0.0		1562
0.0		689
0.00248756218905	293,712	804
0.000582580833091	2074,2221	3433
0.0		865
0.00167644593462	976,514	1193
0.0		1507
0.0		908
0.0		850
0.0		1405
0.000344115622849	1762	2906
0.0		1885
0.00116009280742	548	862
0.0		719
0.0		1103
0.0		772
0.0		1087
0.0		764
0.0		1440
0.00100704934542	500	993
0.000813008130081	654	1230
0.00118063754427	612	847
0.000668449197861	1249	1496
0.0		943
0.00116822429907	279	856
0.00249221183801	472,488,1062,1271	1605
0.0		806
0.00060624431646	1580,1453	3299
0.0		1023
0.0		726
0.00183654729109	28,491	1089
0.00115074798619	697	869
0.000879507475814	610	1137
0.0		1226
0.0		734
0.000801924619086	702	1247
0.000430292598967	146	2324
0.00144997583374	833,1963,955	2069
0.0		1221
0.0		713
0.0		1351
0.000656167979003	516	1524
0.000881834215168	828	1134
0.000699300699301	2486,2842	2860
0.0		1005
0.0		1255
0.000789889415482	830	1266
0.000535618639529	503	1867
0.0		2336
0.0		2156
0.000598444045482	290	1671
0.00087260034904	184	1146
0.000351741118537	2796	2843
0.000826446280992	341,1388	2420
0.00100502512563	341	995
0.000322684737012	2140	3099
0.0		1260
0.0		805
0.0		946
0.00181818181818	104,1267,196	1650
0.0		821
0.000888888888889	158	1125
0.0		590
0.0		1628
0.00170842824601	667,1027,1375	1756
0.00138696255201	168,214	1442
0.0		1086
0.0		1635
0.0		801
0.000508905852417	241	1965
0.0		789
0.000879507475814	543	1137
0.0		871
0.0		1261
0.0		1138
0.0		1110
0.0		1639
0.0		1176
0.0		1787
0.0		824
0.0		1085
0.0		1517
0.000816993464052	513	1224
0.0		1019
0.00126582278481	450	790
0.0		1139
0.0015600624025	71,681	1282
0.0		2035
0.0		590
0.0		969
0.0		1115
0.0011641443539	343	859
0.000512557662737	536	1951
0.0		1155
0.0		806
0.000834028356964	238	1199
0.0		1718
0.0010183299389	453	982
0.0		1876
0.0		692
0.0		2654
0.0		1400
0.0		765
0.000444839857651	53	2248
0.0		980
0.0		859
0.0		3288
0.0		926
0.00044286979628	349	2258
0.00222551928783	628,980,1269	1348
0.0		1292
0.000624609618988	826	1601
0.000967117988395	1854,2042	2068
0.0		1551
0.0		1895
0.0		919
0.0		1308
0.000958772770853	164	1043
0.0		5277
0.0		1596
0.0		1178
0.000484966052376	919	2062
0.0		1063
0.0		880
0.00029429075927	1081	3398
0.00146412884334	393,157	1366
0.0		1736
0.0		2139
0.0		740
0.0		727
0.0		1062
0.000667111407605	1475	1499
0.0		1495
0.0		1108
0.0		617
0.0		1271
0.000444642063139	1856	2249
0.0		499
0.00243506493506	494,618,883	1232
0.000619962802232	464	1613
0.0		874
0.0		1043
0.00109170305677	38	916
0.0		931
0.000920810313076	27	1086
0.0		1802
0.000871080139373	289	1148
0.00439238653001	0,634,645	683
0.0		670
0.0		819
0.0		807
0.0		983
0.0		1218
0.00153139356815	536	653
0.000400962309543	438	2494
0.00053050397878	1318	1885
0.0		672
0.000979431929481	494	1021
0.000901713255185	1486,1909	2218
0.0		2085
0.0		1014
0.0		938
0.0		2367
0.0015503875969	9,82	1290
0.00146198830409	352,373	1368
0.000896860986547	171	1115
0.0		1572
0.0		3179
0.000871839581517	228	1147
0.00174825174825	442	572
0.0		784
0.000607902735562	1449	1645
0.0		1738
0.000561167227834	1736	1782
0.0		651
0.0		988
0.00159872102318	341,240	1251
0.0		1374
0.0		820
0.0		2426
0.00145137880987	481	689
0.0		855
0.0		1116
0.0		1685
0.0		920
0.0		1005
