DENSITY	POSITIONS	SUBPEAK_LENGTH
0.0		1183
0.0		820
0.0		1981
0.000505561172902	665	1978
0.0		1026
0.0		1017
0.000631313131313	336	1584
0.0		692
0.0		1129
0.0		992
0.0		1449
0.0		1144
0.0		1185
0.0		2190
0.0		1309
0.0		773
0.0		939
0.0		2392
0.000726216412491	702	1377
0.0		1964
0.0		1239
0.0		1931
0.0		1156
0.0		1529
0.0		1572
0.0		1442
0.0		946
0.0		2790
0.0		2668
0.0		2059
0.0		997
0.0		1278
0.0		1523
0.0		1157
0.0		3362
0.0		1103
0.0		1618
0.0		1104
0.0		3117
0.0		3200
0.0		3845
0.000364564345607	2314	2743
0.000531914893617	93	1880
0.0		1804
0.0		788
0.000831946755408	864	1202
0.0		1214
0.0		881
0.000211954217889	3137	4718
0.000363768643143	2042	2749
0.0		1120
0.0		1225
0.0		3266
0.0		1051
0.0		1078
0.0		3848
0.0		1315
0.0		3985
0.0		1078
0.0		1159
0.0		1144
0.0		922
0.0		793
0.0		542
0.0		2264
0.0		1172
0.0		1647
0.0		1161
0.0		682
0.000892060660125	679	1121
0.0		1794
0.0		1374
0.0		894
0.0		1400
0.00123456790123	186	810
0.0		1451
0.000305623471883	1705	3272
0.0		2626
0.0		1097
0.00126262626263	441	792
0.0		891
0.0		3080
0.0		714
0.0		898
0.0		829
0.0		1227
0.0		845
0.0		1270
0.0		1697
0.0		932
0.0		1601
0.0		1116
0.0		984
0.0		1008
0.000754432289702	857,2458	2651
0.000647668393782	691	1544
0.0		3046
0.0		746
0.0		1936
0.0		799
0.0		877
0.000640204865557	198	1562
0.0		689
0.0		804
0.0		3433
0.0		865
0.0		1193
0.0		1507
0.0011013215859	258	908
0.0		850
0.0		1405
0.0		2906
0.00053050397878	1451	1885
0.0		862
0.0		719
0.0		1103
0.0		772
0.0		1087
0.0		764
0.0		1440
0.00100704934542	683	993
0.0		1230
0.0		847
0.0		1496
0.0		943
0.0		856
0.0		1605
0.0		806
0.0		3299
0.0		1023
0.0		726
0.0		1089
0.0		869
0.0		1137
0.0		1226
0.0		734
0.0		1247
0.0		2324
0.000966650555824	488,1975	2069
0.0		1221
0.0		713
0.000740192450037	489	1351
0.0		1524
0.0		1134
0.0		2860
0.0		1005
0.0		1255
0.0		1266
0.0		1867
0.000428082191781	1449	2336
0.0		2156
0.0		1671
0.0		1146
0.0		2843
0.0		2420
0.00100502512563	317	995
0.000645369474024	1562,1705	3099
0.0		1260
0.0		805
0.00105708245243	499	946
0.0		1650
0.0		821
0.0		1125
0.0		590
0.000614250614251	759	1628
0.0		1756
0.0		1442
0.0		1086
0.0		1635
0.0		801
0.0		1965
0.0		789
0.0		1137
0.0		871
0.0		1261
0.0		1138
0.0		1110
0.000610128126907	1050	1639
0.0		1176
0.0		1787
0.0		824
0.0		1085
0.000659195781147	141	1517
0.0		1224
0.0		1019
0.0		790
0.0		1139
0.0		1282
0.0004914004914	646	2035
0.0		590
0.0		969
0.0		1115
0.0		859
0.0		1951
0.0		1155
0.0		806
0.0		1199
0.0		1718
0.0		982
0.0		1876
0.0		692
0.000753579502638	1583,2553	2654
0.0		1400
0.0		765
0.0		2248
0.0		980
0.0		859
0.0		3288
0.00107991360691	750	926
0.0		2258
0.0		1348
0.0		1292
0.0		1601
0.0		2068
0.000644745325596	301	1551
0.0		1895
0.0		919
0.0		1308
0.0		1043
0.0		5277
0.0		1596
0.0		1178
0.0		2062
0.0		1063
0.0		880
0.0		3398
0.0		1366
0.0		1736
0.0		2139
0.0		740
0.00137551581843	163	727
0.0		1062
0.0		1499
0.0		1495
0.0		1108
0.0		617
0.000786782061369	305	1271
0.0		2249
0.0		499
0.0		1232
0.0		1613
0.0		874
0.0		1043
0.0		916
0.0		931
0.0		1086
0.000554938956715	603	1802
0.0		1148
0.0		683
0.0		670
0.0		819
0.0		807
0.00101729399797	527	983
0.0		1218
0.00153139356815	344	653
0.000400962309543	2219	2494
0.0		1885
0.0		672
0.0		1021
0.0		2218
0.000479616306954	648	2085
0.0		1014
0.0		938
0.0		2367
0.0		1290
0.0		1368
0.0		1115
0.0		1572
0.0		3179
0.0		1147
0.0		572
0.0		784
0.0		1645
0.0		1738
0.0		1782
0.0		651
0.0		988
0.0		1251
0.0		1374
0.0		820
0.000412201154163	314	2426
0.0		689
0.0		855
0.0		1116
0.0		1685
0.0		920
0.0		1005
0.0		1604
0.0		1170
0.0		967
0.0		920
0.0		1679
0.0		1214
0.0		1486
0.0		1324
0.0		1253
0.0		1702
0.0		1427
0.0		961
0.0		921
0.0		1203
0.0		689
0.0		1378
0.0		1329
0.0		1882
0.0		981
0.0		1990
0.0		1278
0.0		1491
0.00112866817156	582	886
0.0		981
0.0		3549
0.0		1485
0.0		576
0.0		1153
0.0		937
0.0		1771
0.000565610859729	611	1768
0.0		1079
0.0		1462
0.0		1817
0.0		1275
0.0		619
0.000452898550725	391	2208
0.000540832882639	1487	1849
0.0		1274
0.0		1277
0.0		958
0.0		1369
0.0		755
0.0		765
0.00059880239521	822	1670
0.000744047619048	821	1344
0.0		1704
0.0		2442
0.0		1267
0.0		1869
0.0		1201
0.0		1491
0.0		1712
0.0		2005
0.0		694
0.0		1821
0.0		950
0.0		1487
0.0		1784
0.0		934
0.0		877
0.0		636
0.0		2202
0.0		780
0.0		1202
0.0		705
0.0		920
0.0		1356
0.0		767
0.0		723
0.0		808
0.0		1024
0.0		1063
0.0		1784
0.0		1223
0.0		1039
0.0		1085
0.0		1206
0.0		2597
0.0		1067
0.0		950
0.0		787
0.0		3623
0.000631711939356	958	1583
0.0		1269
0.0		880
0.00119331742243	589	838
0.0		1249
