GENE_ID	locusLine	RASMC_H3K27AC_PDGF_24H_NEW	RASMC_H3K27AC_PDGF_24H_REP2	RASMC_H3K27AC_PDGF_2H_NEW	RASMC_H3K27AC_PDGF_2H_REP2	RASMC_H3K27AC_PDGF_JQ1_24H_NEW	RASMC_H3K27AC_PDGF_JQ1_24H_REP2	RASMC_H3K27AC_PDGF_JQ1_2H_NEW	RASMC_H3K27AC_PDGF_JQ1_2H_REP2	RASMC_H3K27AC_UNSTIM_NEW	RASMC_H3K27AC_UNSTIM_REP1	RASMC_WCE_PDGF_24H_NEW	RASMC_WCE_PDGF_24H_REP2	RASMC_WCE_PDGF_2H_NEW	RASMC_WCE_PDGF_2H_REP2	RASMC_WCE_PDGF_JQ1_24H_NEW	RASMC_WCE_PDGF_JQ1_24H_REP2	RASMC_WCE_PDGF_JQ1_2H_NEW	RASMC_WCE_PDGF_JQ1_2H_REP2	RASMC_WCE_UNSTIM_NEW	RASMC_WCE_UNSTIM_REP2
6_RASMC_H3K27AC_PDGF_24H_REP2_3881_lociStitched	chr11(.):24164305-24168512	0.6141	1.0379	0.8056	1.3363	0.5834	0.6964	0.6083	0.9468	0.8483	1.0594	0.1542	0.3833	0.1655	0.2237	0.1508	0.2933	0.1763	0.3408	0.1524	0.4629
10_RASMC_H3K27AC_UNSTIM_REP1_12592_lociStitched	chr7(.):139258779-139269248	0.497	0.969	0.2835	0.4209	0.2791	0.3074	0.3052	0.4529	1.0029	1.2114	0.1404	0.4774	0.1402	0.162	0.1505	0.3447	0.1443	0.3981	0.1796	0.4247
7_RASMC_H3K27AC_PDGF_24H_NEW_29297_lociStitched	chr8(.):116306097-116313966	1.1511	1.4871	1.6318	2.3361	0.9073	0.8982	1.417	2.6173	1.3819	1.1444	0.2047	0.6972	0.2249	0.2498	0.1788	0.5679	0.2018	0.591	0.1987	0.7001
6_RASMC_H3K27AC_PDGF_24H_REP2_6648_lociStitched	chr15(.):52132189-52135624	1.0479	1.3887	1.536	2.5254	1.093	1.037	1.4354	3.2465	1.3552	1.3701	0.2392	0.5596	0.2072	0.2146	0.236	0.3834	0.235	0.5104	0.2213	0.6017
6_RASMC_H3K27AC_UNSTIM_REP1_6133_lociStitched	chr18(.):61257861-61261732	0.8557	2.2158	0.924	2.4341	1.1824	1.1583	0.9232	3.1032	1.0997	1.2363	0.1632	0.6558	0.1517	0.2046	0.1617	0.4519	0.1642	0.4116	0.1642	0.6112
7_RASMC_H3K27AC_PDGF_24H_REP2_9611_lociStitched	chr2(.):142404918-142414593	0.4311	0.5764	0.4708	0.3703	0.6852	0.5572	0.5595	0.3245	0.4083	0.6173	0.1686	0.2909	0.1834	0.1747	0.1601	0.1794	0.1871	0.3415	0.1509	0.3111
8_RASMC_H3K27AC_PDGF_2H_REP2_3077_lociStitched	chr1(.):266252694-266266793	2.0096	2.5149	2.4258	2.6584	2.2218	1.3344	2.4187	3.2266	1.8958	1.0757	0.3178	0.8272	0.3694	0.2956	0.3243	0.6368	0.3338	0.724	0.3266	1.0133
6_RASMC_H3K27AC_PDGF_24H_REP2_4510_lociStitched	chr12(.):13088701-13092996	1.1278	1.7036	1.7687	2.6033	1.2807	1.1777	1.9036	2.8744	1.3816	1.2629	0.1944	0.597	0.2268	0.2551	0.2081	0.406	0.2477	0.498	0.2069	0.6008
6_RASMC_H3K27AC_PDGF_2H_REP2_7972_lociStitched	chr13(.):101595846-101598594	0.5949	0.9255	0.8057	1.1345	0.6974	0.5885	0.9055	1.4771	0.6209	0.5752	0.1879	0.5727	0.1939	0.1977	0.1657	0.3534	0.2193	0.327	0.1813	0.1908
6_RASMC_H3K27AC_UNSTIM_NEW_10188_lociStitched	chr15(.):9238613-9242615	0.4322	2.0279	0.3829	1.8305	0.6641	1.4954	0.4798	3.1515	0.4732	1.915	0.1758	0.7886	0.1984	0.2249	0.1681	0.6133	0.1679	0.6904	0.175	0.8613
7_RASMC_H3K27AC_PDGF_2H_REP2_14710_lociStitched	chr2(.):227227511-227231960	0.263	0.3209	0.9708	0.6497	0.3319	0.5869	1.0729	0.321	0.4391	0.6965	0.1423	0.1138	0.1741	0.2087	0.1362	0.2354	0.167	0.1049	0.1337	0.081
8_RASMC_H3K27AC_UNSTIM_REP1_11709_lociStitched	chr6(.):125759793-125767459	0.6456	0.6077	0.4369	0.1996	1.1459	0.8403	0.2869	0.0866	0.9534	1.433	0.17	0.1252	0.1743	0.1468	0.1656	0.1624	0.1487	0.0979	0.1724	0.2051
8_RASMC_H3K27AC_PDGF_2H_NEW_27889_lociStitched	chr8(.):61075153-61084040	0.9248	0.8979	1.5663	1.6206	1.5275	1.5367	2.1712	1.9498	1.1268	1.4479	0.2209	0.3476	0.2327	0.2598	0.2288	0.2519	0.2422	0.3344	0.2125	0.3795
6_RASMC_H3K27AC_UNSTIM_NEW_26982_lociStitched	chr6(.):130791928-130795112	0.8847	1.1543	0.9893	0.8445	1.1106	0.749	1.1759	0.7745	0.6216	0.6568	0.1811	0.2594	0.1768	0.179	0.168	0.2152	0.2195	0.3278	0.1671	0.3704
8_RASMC_H3K27AC_UNSTIM_NEW_3377_lociStitched	chr1(.):261236419-261249447	0.7667	0.9308	0.9352	0.8004	0.814	0.6918	1.2881	0.8357	0.6303	0.5896	0.2437	0.4394	0.2372	0.2541	0.2266	0.3987	0.2758	0.3939	0.2133	0.419
7_RASMC_H3K27AC_PDGF_2H_REP2_7186_lociStitched	chr13(.):35534840-35539061	0.7521	1.6776	0.7471	0.7983	0.5026	0.5005	0.8472	0.7333	0.7854	0.6744	0.138	0.3038	0.14	0.1466	0.1434	0.1837	0.1705	0.373	0.1461	0.4232
6_RASMC_H3K27AC_PDGF_2H_REP2_11602_lociStitched	chr18(.):3553849-3556921	0.5544	0.8511	0.6376	1.1671	0.5075	0.4767	0.4952	0.901	0.6865	0.8449	0.2081	0.6334	0.1933	0.2121	0.1892	0.3338	0.2161	0.5282	0.184	0.5445
7_RASMC_H3K27AC_PDGF_24H_REP2_6189_lociStitched	chr14(.):104608940-104614855	1.5427	2.3452	1.9793	2.3863	1.0569	1.1927	1.5463	2.2867	1.9383	1.6544	0.2061	0.7621	0.2482	0.2713	0.2158	0.533	0.2432	0.6452	0.2264	0.7993
6_RASMC_H3K27AC_UNSTIM_REP1_1752_lociStitched	chr10(.):15125240-15130566	1.143	0.8029	1.6166	1.2742	1.3031	0.865	1.9196	1.1845	1.1728	0.5966	0.1869	0.2588	0.1785	0.2045	0.1782	0.3818	0.2351	0.3938	0.1674	0.3492
6_RASMC_H3K27AC_UNSTIM_REP1_202_lociStitched	chr1(.):37861996-37864974	0.7385	0.6911	0.5427	0.6364	0.8896	0.6878	0.6755	0.4752	0.7603	0.8389	0.2336	0.123	0.1697	0.1861	0.1913	0.325	0.179	0.2311	0.2052	0.1741
7_RASMC_H3K27AC_PDGF_2H_NEW_4742_lociStitched	chr10(.):82668690-82678766	1.0399	1.4392	1.1274	0.934	1.3536	0.9368	1.3554	1.1622	0.8894	0.592	0.1909	0.4457	0.195	0.2224	0.1789	0.4317	0.2059	0.4701	0.1987	0.529
6_RASMC_H3K27AC_PDGF_24H_REP2_6357_lociStitched	chr15(.):18576853-18582193	1.0172	0.4286	0.6647	0.3517	1.1642	0.5147	0.5599	0.2076	1.1468	0.8754	0.1903	0.2455	0.1843	0.1462	0.1825	0.2502	0.181	0.2936	0.1863	0.3854
6_RASMC_H3K27AC_PDGF_24H_REP2_18237_lociStitched	chr9(.):66565104-66571420	1.4902	1.9824	1.761	3.0083	1.5048	1.0881	1.7037	3.9453	1.8038	1.5058	0.1902	0.5731	0.2365	0.272	0.2197	0.402	0.2478	0.5216	0.2245	0.5393
6_RASMC_H3K27AC_PDGF_24H_REP2_18385_lociStitched	chr9(.):90992279-90995755	0.5697	0.6726	0.6665	0.7778	0.9276	0.7257	0.7997	0.9593	0.6698	0.8767	0.1234	0.21	0.1349	0.1705	0.1291	0.2478	0.1425	0.3058	0.1264	0.2694
11_RASMC_H3K27AC_UNSTIM_REP1_2724_lociStitched	chr11(.):47258697-47277125	0.8821	0.56	1.0133	0.7875	0.8516	0.5312	0.9098	0.6452	0.9866	0.5024	0.1555	0.3212	0.1632	0.1666	0.1621	0.2593	0.1669	0.2139	0.1595	0.2525
7_RASMC_H3K27AC_PDGF_24H_REP2_1392_lociStitched	chr1(.):197915682-197921905	1.9446	1.5946	2.8194	2.6743	1.8551	1.0453	2.9504	3.2179	2.4367	0.9656	0.3468	0.6757	0.4051	0.2402	0.3497	0.4527	0.3858	0.6412	0.3545	0.8496
6_RASMC_H3K27AC_UNSTIM_REP1_7123_lociStitched	chr2(.):123320634-123324267	0.7011	0.5833	0.7799	0.7278	0.5319	0.3138	1.0143	0.6189	0.9894	0.661	0.2003	0.3711	0.2198	0.1541	0.1568	0.2765	0.2129	0.2155	0.2203	0.4286
6_RASMC_H3K27AC_UNSTIM_REP1_12646_lociStitched	chr7(.):144062212-144066983	1.0385	1.4699	1.1898	1.1956	1.264	1.0871	1.2413	1.0255	1.1875	1.2321	0.2186	0.4651	0.2086	0.284	0.2542	0.5971	0.2387	0.4629	0.2356	0.6252
7_RASMC_H3K27AC_PDGF_24H_NEW_18195_lociStitched	chr3(.):9677611-9688457	1.2545	1.7245	0.9513	0.9506	1.6174	1.0626	1.1518	1.2391	1.2696	0.8371	0.2349	0.6392	0.2348	0.2175	0.2283	0.5706	0.228	0.4955	0.2012	0.5802
6_RASMC_H3K27AC_PDGF_24H_REP2_6849_lociStitched	chr16(.):7287621-7294320	1.0796	1.8508	1.1895	1.8828	1.1929	0.9437	1.1921	2.1042	1.3029	1.2583	0.1709	0.5728	0.1704	0.2118	0.1929	0.3814	0.1853	0.6257	0.1787	0.7281
