DENSITY	POSITIONS	SUBPEAK_LENGTH
0.000845308537616	599	1183
0.0		820
0.0		1981
0.0		1978
0.000974658869396	389	1026
0.000983284169125	481	1017
0.0		1584
0.0		692
0.0		1129
0.0		992
0.0		1449
0.0		1144
0.0		1185
0.000456621004566	550	2190
0.000763941940413	978	1309
0.0		773
0.0		939
0.000418060200669	869	2392
0.0		1377
0.0		1964
0.0		1239
0.0		1931
0.00173010380623	640,369	1156
0.000654022236756	837	1529
0.000636132315522	773	1572
0.000693481276006	905	1442
0.00105708245243	447	946
0.0		2790
0.0		2668
0.0		2059
0.00100300902708	389	997
0.0		1278
0.0		1523
0.0		1157
0.00029744199881	2975	3362
0.0		1103
0.0		1618
0.0		1104
0.0		3117
0.0003125	778	3200
0.000780234070221	429,1479,2531	3845
0.0		2743
0.0		1880
0.00110864745011	373,931	1804
0.0		788
0.0		1202
0.0		1214
0.0011350737798	421	881
0.000635862653667	1701,3623,2615	4718
0.0		2749
0.0		1120
0.000816326530612	574	1225
0.000306184935701	1775	3266
0.0		1051
0.0		1078
0.000259875259875	249	3848
0.000760456273764	769	1315
0.000250941028858	3327	3985
0.0		1078
0.0		1159
0.0		1144
0.0		922
0.0		793
0.0		542
0.0		2264
0.0		1172
0.000607164541591	1058	1647
0.0		1161
0.0		682
0.0		1121
0.000557413600892	1183	1794
0.0		1374
0.0		894
0.000714285714286	821	1400
0.0		810
0.0		1451
0.000305623471883	2682	3272
0.0003808073115	1824	2626
0.0		1097
0.00126262626263	314	792
0.00112233445567	863	891
0.0		3080
0.00140056022409	327	714
0.0		898
0.0		829
0.0		1227
0.0		845
0.000787401574803	728	1270
0.000589275191514	1227	1697
0.0		932
0.000624609618988	735	1601
0.0		1116
0.0		984
0.0		1008
0.000377216144851	1836	2651
0.0		1544
0.0		3046
0.0		746
0.0		1936
0.0		799
0.00114025085519	562	877
0.0		1562
0.0		689
0.0		804
0.0		3433
0.0		865
0.000838222967309	652	1193
0.000663570006636	671	1507
0.0		908
0.0		850
0.0		1405
0.0		2906
0.00106100795756	1134,1188	1885
0.0		862
0.0		719
0.0		1103
0.0		772
0.0		1087
0.0		764
0.0		1440
0.00100704934542	455	993
0.0		1230
0.0		847
0.000668449197861	1216	1496
0.00106044538706	423	943
0.00116822429907	364	856
0.0		1605
0.00124069478908	729	806
0.0		3299
0.000977517106549	841	1023
0.0		726
0.0		1089
0.0		869
0.000879507475814	204	1137
0.0		1226
0.0		734
0.0		1247
0.0		2324
0.0		2069
0.0		1221
0.0		713
0.000740192450037	1060	1351
0.00131233595801	625,851	1524
0.0		1134
0.0		2860
0.0		1005
0.0		1255
0.0		1266
0.0		1867
0.00128424657534	591,630,582	2336
0.0		2156
0.000598444045482	446	1671
0.0		1146
0.0		2843
0.0		2420
0.00100502512563	425	995
0.000322684737012	981	3099
0.0		1260
0.0		805
0.0		946
0.00121212121212	785,820	1650
0.00121802679659	462	821
0.0		1125
0.0		590
0.0		1628
0.00113895216401	595,955	1756
0.00208044382802	607,779,816	1442
0.0		1086
0.0		1635
0.0		801
0.0		1965
0.0		789
0.0		1137
0.0		871
0.0		1261
0.000878734622144	914	1138
0.0018018018018	344,488	1110
0.000610128126907	1265	1639
0.0		1176
0.0		1787
0.0		824
0.0		1085
0.000659195781147	1076	1517
0.0		1224
0.0		1019
0.0		790
0.000877963125549	279	1139
0.0		1282
0.0		2035
0.0		590
0.0		969
0.0		1115
0.0		859
0.0		1951
0.0		1155
0.0		806
0.000834028356964	150	1199
0.0		1718
0.0		982
0.0		1876
0.0		692
0.0		2654
0.0		1400
0.0		765
0.0		2248
0.0		980
0.0		859
0.0		3288
0.0		926
0.0		2258
0.0		1348
0.0		1292
0.0		1601
0.00145067698259	189,266,1020	2068
0.0		1551
0.00105540897098	498,581	1895
0.00108813928183	183	919
0.0		1308
0.0		1043
0.0		5277
0.0		1596
0.000848896434635	137	1178
0.0		2062
0.0		1063
0.0		880
0.0		3398
0.000732064421669	549	1366
0.000576036866359	1720	1736
0.0		2139
0.0		740
0.0		727
0.0		1062
0.000667111407605	146	1499
0.0		1495
0.0		1108
0.0		617
0.0		1271
0.000444642063139	746	2249
0.00200400801603	242	499
0.0		1232
0.0		1613
0.0		874
0.0		1043
0.0		916
0.0		931
0.0		1086
0.0		1802
0.0		1148
0.0		683
0.0		670
0.0		819
0.00247831474597	402,469	807
0.0		983
0.000821018062397	476	1218
0.0		653
0.000400962309543	1207	2494
0.00053050397878	1120	1885
0.0014880952381	258	672
0.0		1021
0.000901713255185	222,1829	2218
0.000479616306954	429	2085
0.0		1014
0.0		938
0.0		2367
0.00077519379845	750	1290
0.0		1368
0.0		1115
0.0		1572
0.0		3179
0.0		1147
0.0		572
0.00127551020408	357	784
0.0		1645
0.0		1738
0.000561167227834	143	1782
0.0		651
0.00101214574899	470	988
0.0		1251
0.000727802037846	9	1374
0.0		820
0.0		2426
0.00145137880987	310	689
0.0		855
0.0		1116
0.0		1685
0.0		920
0.000995024875622	454	1005
0.0		1604
0.0		1170
0.0		967
0.0		920
0.0		1679
0.00164744645799	606,1122	1214
0.0		1486
0.0		1324
0.000798084596967	609	1253
0.000587544065805	850	1702
0.0		1427
0.0		961
0.0		921
0.000831255195345	1167	1203
0.0		689
0.0		1378
0.0		1329
0.0		1882
0.0		981
0.0		1990
0.0		1278
0.0		1491
0.0		886
0.0		981
0.000281769512539	2209	3549
0.0013468013468	678,1104	1485
0.00347222222222	30,359	576
0.000867302688638	530	1153
0.0		937
0.0		1771
0.0		1768
0.00185356811863	598,738	1079
0.0		1462
0.0		1817
0.0		1275
0.0		619
0.0		2208
0.000540832882639	458	1849
0.0		1274
0.0		1277
0.0		958
0.0		1369
0.0		755
0.0		765
0.00059880239521	294	1670
0.000744047619048	960	1344
0.0		1704
0.0004095004095	2240	2442
0.0		1267
0.00107009095773	730,1638	1869
0.000832639467111	688	1201
0.0		1491
0.0		1712
0.000997506234414	534,1098	2005
0.0		694
0.0		1821
0.00105263157895	425	950
0.0		1487
0.0		1784
0.0		934
0.00114025085519	603	877
0.00314465408805	215,290	636
0.0		2202
0.0		780
0.0		1202
0.0		705
0.0		920
0.0		1356
0.0		767
0.0		723
0.0		808
0.0		1024
0.0		1063
0.0		1784
0.000817661488144	907	1223
0.0		1039
0.0		1085
0.0		1206
0.0		2597
0.000937207122774	1006	1067
0.0		950
0.0		787
0.0		3623
0.0		1583
0.0		1269
0.00227272727273	357,723	880
0.0		838
0.0		1249
0.0		572
0.0		692
0.0		1036
0.000681198910082	120	1468
0.0		786
0.0		1274
0.0		1611
0.0		1680
0.0		1095
0.0		2130
0.0		1353
0.0		2066
0.0		822
0.0		1346
0.0		955
0.0		660
0.00079554494829	660	1257
0.0		1053
0.00124069478908	353	806
0.0		1778
0.0		1082
0.0		975
0.0		1063
0.0		688
0.0		936
0.0		986
0.0		1991
0.000559910414334	1309	1786
0.00070126227209	786	1426
0.0		1631
0.0		5814
0.0		1255
0.000429553264605	1133	2328
0.0		900
0.00182315405652	368,413	1097
0.0		1269
0.00046904315197	681	2132
0.00074794315632	1039	1337
0.00034188034188	5279,4444	5850
0.0		1330
0.0		675
0.0		892
0.0		1537
0.0		1262
0.000691562932227	882	1446
0.0		871
0.0012077294686	415	828
0.0		1241
0.0		976
0.00110741971207	426	903
0.0		1126
0.00102040816327	464	980
0.0		1613
0.0		1241
0.000905797101449	243	1104
0.00161030595813	584	621
0.0		604
0.0		1600
0.0		1012
0.00090661831369	784	1103
0.0		2292
0.000553709856035	89	1806
0.0		903
0.0		574
0.0		1153
0.0		768
0.0		559
0.0		1286
0.0		1057
0.0010298661174	1385,1449	1942
0.0		687
0.000698812019567	582	1431
0.0		1535
0.0		647
0.0		548
0.0		1403
0.0		924
0.0		785
0.0		1612
0.0		1187
0.0		1187
0.0		876
0.0		1013
0.0		3083
0.0		1110
0.00072202166065	101	1385
0.0		1156
0.0		883
0.00168208578638	624,533	1189
0.0		1204
0.0		945
0.00130718954248	334	765
0.0		1540
0.000310655483069	2153	3219
0.0		1867
0.00082304526749	665	1215
0.0		2680
0.0		1294
0.0		1736
0.0		1409
0.0		939
0.0		886
0.0		831
0.0		906
0.0		2901
0.0		1244
0.0		1159
0.0		1734
0.00181323662738	569,627	1103
0.000694444444444	742	1440
0.000327546675401	1957	3053
0.0		3158
0.00153727901614	673,698	1301
0.00166666666667	285	600
0.000311041990669	680	3215
0.0		786
0.00111482720178	377	897
0.0		832
0.00087260034904	433	1146
0.000623830318153	1426	1603
0.00179856115108	913,1057,1343	1668
0.0		603
0.00199600798403	429,527	1002
0.0		1870
0.0		1416
0.0		732
0.000642673521851	940	1556
0.0		1281
0.0		1139
0.0		1219
0.0		999
0.0		2045
0.0		1049
0.0		1238
0.0		1162
0.000459347726229	1118	2177
0.0		2170
0.0		1058
0.0		891
0.00121654501217	462	822
0.0		1763
0.0		2581
0.0		2732
0.0		1384
0.0		1777
0.000668449197861	235	1496
0.0		1042
0.000745990302126	805,1893	2681
0.0		1962
0.0		714
0.0		948
0.0		863
0.000578034682081	936	1730
0.0		789
0.00114416475973	329	874
0.0		1514
0.00070771408351	539	1413
0.0		864
0.000365096750639	1976	2739
0.0		2507
0.0		1239
0.0		941
0.0		1197
0.00038211692778	1808	2617
0.000625782227785	1273	1598
0.00088573959256	1060	1129
0.0		962
0.0		640
0.0		1075
0.0		871
0.000279329608939	573	3580
0.0		1092
0.0		1078
0.0		963
0.0		866
0.0016051364366	295	623
0.0		2262
0.000659195781147	1207	1517
0.0		1671
0.0		1504
0.000684462696783	780	1461
0.0		2879
0.00146412884334	425	683
0.0		856
0.00121951219512	348	820
0.0		2011
0.000204918032787	4746	4880
0.0		748
0.0		1735
0.0		968
0.000547345374932	650	1827
0.00123609394314	521	809
0.0		1113
0.0		668
0.0		1266
0.0		3234
0.0		1425
0.0		777
0.0		1862
0.000841042893188	597	1189
0.000951474785918	376	1051
0.0		3154
0.0		1560
0.00119474313023	483	837
0.0		1454
0.0		1484
0.0		1673
0.0		1281
0.0		1316
0.0		1799
0.000923361034164	1034	1083
0.00091533180778	660,888	2185
0.0		1274
0.0		2099
0.0		3804
0.000646412411118	509	1547
0.0		1268
0.0		760
0.00196656833825	275,318	1017
0.0		710
0.0		1073
0.0		1289
0.000283045570337	2957	3533
0.000521648408972	254	1917
0.0		1674
0.0		943
0.0		2031
0.0		1487
0.000678886625933	939	1473
0.0		5427
0.0		1542
0.000335401643468	4886,5347	5963
0.0		1836
0.0		826
0.0		879
0.0		1156
0.0		1638
0.0		1644
0.00168776371308	559,1085	1185
0.000429184549356	1196	2330
0.0		1156
0.0		1167
0.0		927
0.00107874865156	479	927
0.0		861
0.0		1300
0.0		1564
0.0		940
0.0		972
0.0		912
0.000337040781935	98	2967
0.00036036036036	491	2775
0.00169491525424	284	590
0.0		3050
0.00101936799185	534	981
0.000718907260963	1181	1391
0.000648088139987	800,2051	3086
0.0		4213
0.0		913
0.000600961538462	959	1664
0.0		896
0.000730994152047	1013	1368
0.0		884
0.0		2104
0.0		1246
0.00147492625369	421	678
0.00101317122594	513	987
0.000424448217317	2195	2356
0.000846023688663	613	1182
0.00153022188217	1058,613	1307
0.0		1368
0.0		913
0.0		618
0.000878734622144	396	1138
0.00068073519401	134	1469
0.0		812
0.00108459869848	226	922
0.0		1303
0.000911577028259	509	1097
0.0		1051
0.0		1878
0.0		979
0.0		1036
0.0		527
0.0		2400
0.0		1217
0.0		2353
0.00135869565217	967,1436	1472
0.0		1201
0.0		1507
0.0		1783
0.0		1262
0.0		873
0.000571755288736	643	1749
0.0		831
0.00145348837209	701,1239	1376
0.0		2375
0.0		1260
0.0		1645
0.00175746924429	313	569
0.0		1874
0.0		1021
0.0		1592
0.0		1488
0.0		805
0.0		974
0.0		1479
0.0		1376
0.00119331742243	183	838
0.0		827
0.0		2936
0.0		933
0.000826446280992	567	1210
0.000438788942519	301	2279
0.0		859
0.0		1009
0.0		910
0.0		1961
0.000890471950134	637	1123
0.000650618087183	901	1537
0.0		974
0.00135777325187	776,810	1473
0.000511247443763	350	1956
0.0		1042
0.0		887
0.000590318772137	1087	1694
0.0		1553
0.0		1266
0.0		1148
0.000895255147717	301	1117
0.0		1056
0.0010649627263	772	939
0.0010183299389	373	982
0.0		1399
0.0		2219
0.0		1747
0.0		1296
0.00110987791343	407	901
0.0		1228
0.00152207001522	287	657
0.00114285714286	576	875
0.000910746812386	559	1098
0.00094696969697	337	1056
0.0		594
0.0		828
0.0		941
0.0		2037
0.0		1210
0.00122399020808	426	817
0.0		850
0.000411015207563	653	2433
0.00149142431022	669,604	1341
0.0		802
0.00147275405007	179	679
0.0		2437
0.0		1090
0.000454545454545	1066	2200
0.0		2356
0.0		1556
0.000787401574803	799	1270
0.000673854447439	831	1484
0.0		853
0.0		837
0.0		672
0.0		862
0.0		1233
0.0		822
0.0		1813
0.0		915
0.0		1567
0.00154918667699	557,646	1291
0.0		1284
0.0		1188
0.0		937
0.000372300819062	1687	2686
0.0		819
0.000997008973081	635	1003
0.0		808
0.0		890
0.0		1090
0.0		887
0.0		2975
0.0		1581
0.0		1695
0.000480538202787	777	2081
0.0		2108
0.0		1626
0.0		1103
0.0		1055
0.0		1354
0.0		1112
0.000509424350484	698,3786	3926
0.0		1004
0.0		1053
0.0		940
0.0		1073
0.0		1029
0.00111856823266	615	894
0.0		1501
0.0		1146
0.0		1022
0.0		2565
0.000590318772137	796	1694
0.0		2247
0.00068760027504	250,1350,319	4363
0.0		987
0.00106723585912	787	937
0.0		1155
0.0		1262
0.0		1138
