PEAK_ID	CHROM	START	STOP	SUBPEAK_LENGTH	GENE_LIST	NFIA	BTD	NFIX	TEAD3	E2F3	KLF16	CHD2	E2F6	MAZ	TEAD1	KLF13	TFAP2A	ZFP281	SP1	SMAD6	CTCF	MLX	EGR3	SMAD3	KLF3	NOTCH1	TEF	RFX5	ID1	YY1	RARA	CREB3L2	RARG	DEAF1	HSF2	IRF3	RELA	NFKB2	AHR	STAT3	NR2F6	TCF3	DBP	FOXO1	EGR2	ZBTB7A	HMGA2	MAFF	THRB	RXRB	RXRA	NR3C1	ZFPM1	NR2F2	GLIS2	FOXC1	THRA	ZFP91	ETS1	ARNTL	ESRRA	BHLHE40	SREBF1	MEIS1	GATA2	STAT6	IRF1	ATF6	RUNX1	FOXP1	BCL6	CEBPB	FOXC2	ATF7	IRF7	ERF	FOXJ2	IRF9	SOX4	TGIF1	MNT	ZFP422	ELK3	SF1	GATA6	TBX2	MAFG	SMAD7	MAFK	ZBTB38	NFIL3	CEBPD	NR1D1	CREB3	PRRX2	OSR1	ATF4	SOX9	ETV4	SOX12	PBX1	MEF2D	HEY2	PRRX1	HNF1B	HOXA2	MYC	JUND	NFE2L2	JUN	CAP1	FOSL2	JUNB	FOSL1
5_RASMC_H3K27AC_PDGF_2H_REP2_3163_lociStitched				1578	SMC3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1
5_RASMC_H3K27AC_PDGF_2H_REP2_3163_lociStitched				1578	SMC3,DUSP5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4_RASMC_H3K27AC_UNSTIM_NEW_10008_lociStitched				2056	AHSA2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7_RASMC_H3K27AC_PDGF_24H_NEW_30037_lociStitched				2906	IL1RL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7_RASMC_H3K27AC_PDGF_24H_NEW_30037_lociStitched				2906	IL1RL2,IL1RL1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3_RASMC_H3K27AC_PDGF_24H_NEW_25199_lociStitched				1116	POLE2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3_RASMC_H3K27AC_PDGF_24H_NEW_25199_lociStitched				1116	POLE2,KLHDC1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3_RASMC_H3K27AC_PDGF_24H_NEW_25199_lociStitched				1116	POLE2,KLHDC1,DNAAF2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6_RASMC_H3K27AC_PDGF_24H_NEW_30237_lociStitched				1809	CFLAR	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1
2_RASMC_H3K27AC_PDGF_2H_NEW_28156_lociStitched				673	DAPK2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
