DENSITY	POSITIONS	SUBPEAK_LENGTH
0.0		1183
0.0		820
0.0		1981
0.000505561172902	1918	1978
0.000974658869396	748	1026
0.000983284169125	51	1017
0.00126262626263	1233,1469	1584
0.0014450867052	73	692
0.0		1129
0.0		992
0.000690131124914	1332	1449
0.000874125874126	601	1144
0.00084388185654	587	1185
0.000456621004566	1123	2190
0.000763941940413	1096	1309
0.0		773
0.0010649627263	354	939
0.00167224080268	1847,2354,1028,1796	2392
0.0		1377
0.00050916496945	1316	1964
0.0		1239
0.0		1931
0.00173010380623	375,491	1156
0.000654022236756	16	1529
0.0		1572
0.0		1442
0.0		946
0.0		2790
0.000374812593703	2260	2668
0.0		2059
0.0		997
0.0		1278
0.0		1523
0.0		1157
0.000892325996431	819,1816,3108	3362
0.0		1103
0.0		1618
0.0		1104
0.0		3117
0.0		3200
0.000260078023407	143	3845
0.0		2743
0.0		1880
0.0		1804
0.00126903553299	487	788
0.0		1202
0.00164744645799	58,920	1214
0.0		881
0.000423908435778	1968,2514	4718
0.0		2749
0.0		1120
0.0		1225
0.0		3266
0.0		1051
0.0		1078
0.0		3848
0.0		1315
0.000501882057716	1135,2048	3985
0.0		1078
0.0		1159
0.0		1144
0.0		922
0.0		793
0.00184501845018	239	542
0.000883392226148	1183,1555	2264
0.0		1172
0.000607164541591	1013	1647
0.000861326442722	817	1161
0.0		682
0.000892060660125	808	1121
0.00111482720178	382,613	1794
0.0		1374
0.00111856823266	434	894
0.0		1400
0.00123456790123	394	810
0.0		1451
0.000611246943765	849,1052	3272
0.000761614623001	1010,1055	2626
0.0		1097
0.0		792
0.00112233445567	278	891
0.000324675324675	2519	3080
0.0		714
0.0		898
0.0		829
0.0		1227
0.0		845
0.0		1270
0.000589275191514	1304	1697
0.0		932
0.000624609618988	1135	1601
0.0		1116
0.0		984
0.0		1008
0.00188608072425	537,801,1584,639,2015	2651
0.0		1544
0.0		3046
0.0		746
0.00051652892562	1102	1936
0.0		799
0.0		877
0.0		1562
0.0		689
0.0		804
0.000291290416545	362	3433
0.0		865
0.0		1193
0.0		1507
0.00220264317181	286,668	908
0.0		850
0.0		1405
0.000344115622849	2693	2906
0.00053050397878	1138	1885
0.0		862
0.0		719
0.0		1103
0.0		772
0.000919963201472	275	1087
0.0		764
0.0		1440
0.0		993
0.000813008130081	892	1230
0.0		847
0.0		1496
0.00212089077413	578,613	943
0.0		856
0.0		1605
0.0		806
0.00030312215823	51	3299
0.000977517106549	598	1023
0.0		726
0.000918273645546	487	1089
0.0		869
0.0		1137
0.00244698205546	129,612,936	1226
0.0		734
0.000801924619086	403	1247
0.000860585197935	157,1716	2324
0.000966650555824	257,565	2069
0.0		1221
0.0		713
0.000740192450037	314	1351
0.0		1524
0.0		1134
0.00034965034965	413	2860
0.0		1005
0.0		1255
0.0		1266
0.0		1867
0.0		2336
0.0		2156
0.0		1671
0.00087260034904	778	1146
0.0		2843
0.000826446280992	795,1295	2420
0.0		995
0.0		3099
0.0		1260
0.0		805
0.00105708245243	156	946
0.0		1650
0.0		821
0.0		1125
0.0		590
0.0		1628
0.0		1756
0.0		1442
0.000920810313076	366	1086
0.0		1635
0.0		801
0.0		1965
0.0		789
0.0		1137
0.0		871
0.0		1261
0.00175746924429	479,510	1138
0.0		1110
0.000610128126907	1323	1639
0.000850340136054	576	1176
0.0		1787
0.0		824
0.0		1085
0.000659195781147	316	1517
0.000816993464052	517	1224
0.00196270853778	824,57	1019
0.0		790
0.000877963125549	1042	1139
0.0		1282
0.0004914004914	1781	2035
0.0		590
0.0		969
0.0		1115
0.0		859
0.000512557662737	640	1951
0.0		1155
0.00248138957816	111,363	806
0.0		1199
0.0		1718
0.0010183299389	484	982
0.0		1876
0.0		692
0.00113036925396	2434,2619,1651	2654
0.00142857142857	747,778	1400
0.00130718954248	343	765
0.000444839857651	564	2248
0.0		980
0.0011641443539	326	859
0.0		3288
0.0		926
0.00044286979628	14	2258
0.000741839762611	1305	1348
0.00077399380805	1284	1292
0.0		1601
0.000483558994197	2038	2068
0.000644745325596	386	1551
0.000527704485488	1831	1895
0.0		919
0.0		1308
0.0		1043
0.000189501610764	1436	5277
0.0		1596
0.0		1178
0.000484966052376	1664	2062
0.0		1063
0.0		880
0.00029429075927	3124	3398
0.0		1366
0.0		1736
0.0		2139
0.0		740
0.0		727
0.0		1062
0.0		1499
0.00133779264214	27,499	1495
0.0		1108
0.0		617
0.0		1271
0.000444642063139	37	2249
0.0		499
0.0		1232
0.0		1613
0.0		874
0.0		1043
0.00109170305677	437	916
0.0		931
0.00184162062615	1073,315	1086
0.000554938956715	850	1802
0.0		1148
0.00292825768668	641,33	683
0.0		670
0.0		819
0.0		807
0.0		983
0.0		1218
0.0		653
0.000801924619086	135,731	2494
0.0		1885
0.0		672
0.0		1021
0.000901713255185	1696,1858	2218
0.0		2085
0.000986193293886	685	1014
0.0		938
0.0		2367
0.0		1290
0.0		1368
0.000896860986547	127	1115
0.00127226463104	1234,1262	1572
0.00062912865681	973,1375	3179
0.0		1147
0.0		572
0.0		784
0.0		1645
0.0		1738
0.0		1782
0.00153609831029	445	651
0.0		988
0.000799360511591	1119	1251
0.000727802037846	321	1374
0.00121951219512	482	820
0.0		2426
0.0		689
0.0		855
0.0		1116
0.000593471810089	191	1685
0.0		920
0.0		1005
0.0		1604
0.0		1170
0.0		967
0.0		920
0.0		1679
0.0		1214
0.000672947510094	1412	1486
0.0		1324
0.000798084596967	538	1253
0.0		1702
0.0		1427
0.00104058272633	135	961
0.00108577633008	39	921
0.0		1203
0.0		689
0.0		1378
0.000752445447705	1177	1329
0.000531349628055	1315	1882
0.0		981
