GENE_ID	locusLine	RASMC_WCE_UNSTIM_POOLED	RASMC_WCE_BRD4_UNSTIM_NEW	RASMC_WCE_PDGF_2H_POOLED	RASMC_WCE_BRD4_PDGF_2H_NEW	RASMC_WCE_PDGF_24H_POOLED	RASMC_WCE_PDGF_24H_NEW	RASMC_BRD4_UNSTIM_REP1	RASMC_BRD4_UNSTIM_NEW	RASMC_BRD4_PDGF_2H_REP2	RASMC_BRD4_PDGF_2H_NEW	RASMC_BRD4_PDGF_24H_REP2	RASMC_BRD4_PDGF_24H_NEW
BHLHE40	chr4(.):140516854-140569092	0.231	0.1697	0.2282	0.1857	0.1976	0.1653	0.2601	0.2052	0.2862	0.2066	0.2387	0.2057
OSR1	chr6(.):34960444-34993942	0.3235	0.1828	0.2594	0.1431	0.2431	0.1629	0.3934	0.2013	0.2674	0.2309	0.2144	0.2176
FOXA2	chr3(.):142458955-142490257	0.3407	0.1881	0.2591	0.1723	0.2368	0.1902	0.4783	0.1788	0.2721	0.1904	0.2373	0.2114
HEY2	chr1(.):29177672-29206781	0.3347	0.1913	0.2717	0.191	0.2797	0.1831	0.385	0.2082	0.3243	0.2118	0.3247	0.2297
OSR1	chr6(.):35197095-35221788	0.4324	0.1785	0.296	0.1469	0.2598	0.1716	0.631	0.2162	0.3368	0.2398	0.1891	0.1918
THRB	chr15(.):9401143-9419179	0.2485	0.179	0.1968	0.1607	0.182	0.1614	0.3831	0.1807	0.1763	0.193	0.2006	0.1854
FOXO1	chr2(.):141828133-141843597	0.2229	0.1915	0.199	0.193	0.1722	0.1761	0.2984	0.2109	0.2788	0.2194	0.2367	0.2521
ATF6	chr13(.):89158017-89171635	0.3583	0.1645	0.3776	0.1708	0.2929	0.1636	0.5652	0.186	0.8794	0.1822	0.3931	0.1889
HIC1	chr10(.):61886336-61899660	0.3931	0.2019	0.2956	0.2365	0.3527	0.2203	0.4709	0.2045	0.2498	0.2123	0.587	0.2587
THRB	chr15(.):9340783-9351137	0.3237	0.1633	0.1881	0.1361	0.2014	0.1238	0.5479	0.155	0.175	0.1489	0.1984	0.1248
THRB	chr15(.):9430380-9437092	0.3587	0.2067	0.1998	0.1793	0.2636	0.1779	0.6073	0.2275	0.1598	0.2449	0.3992	0.2422
STAT3,STAT5A	chr10(.):88809987-88889973	0.3208	0.2105	0.3266	0.2303	0.2905	0.2059	0.3414	0.2211	0.3588	0.2373	0.439	0.2648
CEBPB	chr3(.):164459531-164534221	0.2224	0.1925	0.2404	0.1959	0.2231	0.1994	0.2552	0.2334	0.2802	0.242	0.5385	0.3111
FOSL1	chr1(.):220803696-220877176	0.5328	0.4613	0.6076	0.5324	0.518	0.4385	0.5961	0.5558	0.8269	0.5768	1.0881	0.6388
MAFF	chr7(.):120578173-120644869	0.2885	0.1754	0.2701	0.1805	0.2772	0.1791	0.2853	0.169	0.2661	0.1652	0.4544	0.1959
